parallelism,phase,policy,cases,exact_histograms,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_calls_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape
tp,prefill,all,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,prefill,latency,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,prefill,balanced,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,prefill,throughput,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,decode,all,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,decode,latency,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,decode,balanced,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,decode,throughput,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,total,all,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,total,latency,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,total,balanced,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,total,throughput,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp,prefill,all,9,3,0.2876854445481897,0.2434782608695652,0.0,0.0,0.5948749870318497,0.04997964531863463,0.017451975726460654
pp,prefill,mb1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp,prefill,mb4,3,0,0.5575007780890133,0.5875,0.0,0.0,0.7846249610955492,0.10184079765121246,0.043557397565640955
pp,prefill,mb16,3,0,0.3055555555555556,0.375,0.0,0.0,1.0,0.048098138304691423,0.008798529613741007
pp,decode,all,9,3,0.6379550844681332,0.24129443938012762,4.3475632351074676e-17,4.3475632351074676e-17,0.36329312467147956,0.03023088278951687,0.579353802977733
pp,decode,mb1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp,decode,mb4,3,0,0.5199258594650057,0.4707104279185709,4.347563235107468e-17,4.347563235107467e-17,0.46861754310693843,0.029607427563926536,0.4934072534198595
pp,decode,mb16,3,0,1.3939393939393938,0.9869621903520207,8.695126470214934e-17,8.695126470214934e-17,0.6212618309075002,0.06108522080462406,1.2446541555133397
pp,total,all,9,3,0.6054025496238632,0.23133928571428564,0.0,0.0,0.3673675702257132,0.03416020939043644,0.3237041531604679
pp,total,mb1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pp,total,mb4,3,0,0.47784639266846574,0.43667068757539185,0.0,0.0,0.4772599326222345,0.03621554268467312,0.3202758509556667
pp,total,mb16,3,0,1.3383612562031242,0.9659820282413348,0.0,0.0,0.6248427780549051,0.06626508548663619,0.650836608525737
