epoch,train_loss,validation_loss
0,0.736763836656298,0.4653167426586151
1,0.5965909821646554,0.37950992584228516
2,0.5443838426045009,0.36168861389160156
3,0.5312330288546426,0.3519729971885681
4,0.5275640300342015,0.3501836657524109
5,0.5212284931114741,0.34488362073898315
6,0.5196729702608925,0.34346264600753784
7,0.5158524675028665,0.34167373180389404
8,0.5147124784333366,0.3395463526248932
9,0.5133431562355586,0.33817005157470703
10,0.5115629477160317,0.33727550506591797
11,0.5110513951097216,0.33680933713912964
12,0.5090868515627724,0.3359405994415283
13,0.5069618531635829,0.3353876769542694
14,0.5073874235153198,0.3330725431442261
15,0.5054790581975664,0.3339605927467346
16,0.5054290277617318,0.3332221210002899
17,0.5031163837228503,0.33263474702835083
18,0.5044988487448011,0.3330844044685364
19,0.5039143000330244,0.33560365438461304
20,0.5043694938932146,0.3329310417175293
21,0.5012272187641689,0.33512306213378906
22,0.5018284320831299,0.33171340823173523
23,0.5025972664356232,0.3337041139602661
24,0.5012802498681205,0.33241182565689087
25,0.5003790429660252,0.33239543437957764
26,0.5005506643227169,0.3321150243282318
27,0.5009338131972721,0.3343111276626587
28,0.498867597750255,0.3308084011077881
29,0.5004996580736978,0.3315560519695282
30,0.49977009040968756,0.3311702609062195
31,0.4990148024899619,0.3326173424720764
32,0.4976319134235382,0.33011406660079956
33,0.5000211017472403,0.3305965065956116
34,0.49745329192706517,0.32986485958099365
35,0.4971016160079411,0.3310008943080902
36,0.497146498305457,0.33007341623306274
37,0.4958844431809017,0.33149683475494385
38,0.49673809068543573,0.3309907913208008
39,0.4956781838621412,0.33045482635498047
40,0.495390305348805,0.3316035270690918
41,0.49484335609844754,0.3301643133163452
42,0.49570002640996663,0.3311460018157959
43,0.4944790175982884,0.33012691140174866
44,0.49484573772975377,0.3308869004249573
45,0.4959881007671356,0.3301146328449249
46,0.4938334746020181,0.3314613103866577
47,0.4950853271143777,0.3309279978275299
48,0.4932665032999856,0.3299354314804077
49,0.49408651675496784,0.32958030700683594
50,0.4938530470643725,0.3320498466491699
51,0.49262107610702516,0.3329096734523773
52,0.4928123721054622,0.3309750556945801
53,0.49283591849463326,0.33117127418518066
54,0.49353281344686234,0.3323661684989929
55,0.49362095509256637,0.3315328359603882
56,0.4929887890815735,0.3340069353580475
57,0.49121934005192347,0.3324783444404602
58,0.4915962985583714,0.3314895033836365
59,0.4938517723764692,0.3346397578716278
60,0.4908179887703487,0.3337542414665222
61,0.4915572966848101,0.33306884765625
62,0.4909815115588052,0.332969605922699
63,0.49227349162101747,0.334661066532135
64,0.49160673788615633,0.3315228223800659
65,0.49071498683520726,0.332949697971344
66,0.4915589485849653,0.3324928283691406
67,0.4903105957167489,0.33264273405075073
68,0.48881400908742634,0.3323712944984436
69,0.49073753442083085,0.334480881690979
70,0.48909153512545994,0.33286112546920776
71,0.4889820737498147,0.33226317167282104
72,0.48925820078168597,0.332474023103714
73,0.4880239129066467,0.33433616161346436
74,0.4897464777742113,0.33275917172431946
