topology,backend,op,group_size,payload_scope,payload_bytes,input_payload_bytes_per_rank,repeats,pooled_samples,median_latency_us,mean_latency_us,p95_latency_us,p99_latency_us,min_latency_us,max_latency_us,latency_cv,repeat_median_cv,intrinsic_min_median_latency_us,intrinsic_min_mean_latency_us,intrinsic_min_p95_latency_us,intrinsic_min_p99_latency_us,intrinsic_min_latency_cv,intrinsic_min_repeat_median_cv,ring_equivalent_factor,ring_equivalent_bytes,algorithmic_bandwidth_GBps,ring_equivalent_bus_bandwidth_GBps,intrinsic_min_algorithmic_bandwidth_GBps,intrinsic_min_ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,1024,512,5,500,45.21600157022476,48.79359973967075,61.38880159705876,88.48160266876215,32.22399950027466,524.6719717979431,0.580629710335582,0.03679837151246054,36.11199930310249,40.736447930336,55.35680036991832,67.8700821846723,0.4274134419144423,0.04095206328398026,0.5,512.0,0.022646849885866852,0.011323424942933426,0.02835622562476138,0.01417811281238069
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,2048,1024,5,500,42.4639992415905,44.81631991267204,56.58399872481822,106.98944240808486,32.83200040459633,135.96799969673157,0.23800154814090677,0.015386755666264065,34.912001341581345,37.82668794691563,49.3151992559433,64.35392327606648,0.23268504751824126,0.010703531829534221,0.5,1024.0,0.048229089030176135,0.024114544515088068,0.05866177593092506,0.02933088796546253
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,4096,2048,5,500,42.38399863243103,44.068095944821835,55.750399827957146,62.985282689332955,33.28000009059906,117.40799993276596,0.14613720499252503,0.019236220322472915,35.0399985909462,37.24863999336958,47.23519831895828,54.40992072224616,0.13524187067462923,0.0167135149013286,0.5,2048.0,0.0966402447188137,0.04832012235940685,0.11689498186961528,0.05844749093480764
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,8192,4096,5,500,42.33599826693535,60.42431987076998,54.72319945693016,181.27199441194531,32.6399989426136,3769.5679664611816,3.8842125609441758,0.01854184199159426,34.960001707077026,38.86451195180416,46.87359910458324,60.35040032118457,0.49488773634644523,0.014501182944544628,0.5,4096.0,0.19349962999214307,0.09674981499607153,0.2343249313498081,0.11716246567490406
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,16384,8192,5,500,41.471999138593674,42.71366386115551,53.727999329566956,58.43840159475803,32.22399950027466,88.25600147247314,0.1402118113452144,0.02051471308263164,34.57599878311157,36.63231997936964,46.82559892535209,50.63008174300193,0.1311974410415954,0.02109168780952191,0.5,8192.0,0.39506173660080723,0.19753086830040362,0.4738547135767098,0.2369273567883549
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,32768,16384,5,500,41.53599962592125,67.18047990649939,53.70079912245273,65.16095690429209,32.575998455286026,6166.304111480713,5.683408529901855,0.01693610890773625,34.623999148607254,36.391871973872185,45.76319828629494,51.786239147186244,0.12621430968829944,0.01814980830696118,0.5,16384.0,0.788906016349985,0.3944530081749925,0.9463955870423504,0.4731977935211752
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,49152,24576,5,500,42.367998510599136,43.33529590070248,53.727999329566956,60.03935892134904,33.40800106525421,75.39200037717819,0.12426437057317549,0.017522268357810688,35.13599932193756,36.94124794751406,46.68800160288811,50.341759584844105,0.11944618052478821,0.010437667258564065,0.5,24576.0,1.1601208867042356,0.5800604433521178,1.3989071308215613,0.6994535654107806
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,65536,32768,5,500,41.50399938225746,45.81196786463261,53.34880016744136,68.4633634984471,32.896000891923904,434.9440038204193,0.6606951627298407,0.017536409811559905,34.703999757766724,39.624383985996246,46.847998909652205,57.4022404849506,0.7718900476318807,0.016142862619930535,0.5,32768.0,1.5790285508730029,0.7895142754365014,1.8884278601152624,0.9442139300576312
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,131072,65536,5,500,42.367998510599136,107.51302408427,52.70399898290634,65.98592177033407,32.54399821162224,8243.391990661621,6.665636465830147,0.03265685002042808,35.232000052928925,37.43724801391363,44.78719830512999,49.830079413950436,0.4027061604100569,0.020301454087820473,0.5,65536.0,3.0936556978779612,1.5468278489389806,3.7202543086708375,1.8601271543354188
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,262144,131072,5,500,42.447999119758606,43.234815806150436,51.715198904275894,56.24063972383736,34.33600068092346,63.19999694824219,0.10489638272807579,0.017038523749784804,35.5679988861084,36.98432004451752,44.22880131751298,48.357439376413815,0.09545126237723274,0.00908597926242993,0.5,131072.0,6.175650335376533,3.0878251676882664,7.370220653666973,3.6851103268334864
