op,group_size,repeat_id,payload_scope,payload_bytes,input_payload_bytes_per_rank,ring_equivalent_factor,median_latency_us,p95_latency_us,p99_latency_us,max_latency_us,algorithmic_bandwidth_GBps,ring_equivalent_bus_bandwidth_GBps
all_gather,2,0,logical-gathered-output,1024,512,0.5,44.63999904692173,53.8544001057744,75.77792182564745,94.97600048780441,0.02293906859011487,0.011469534295057435
all_gather,2,1,logical-gathered-output,1024,512,0.5,43.60000044107437,60.977598279714584,83.58016096055522,111.7120012640953,0.023486238294514274,0.011743119147257137
all_gather,2,2,logical-gathered-output,1024,512,0.5,44.12799887359142,59.53440107405182,100.65951727330847,413.05598616600037,0.023205221767099365,0.011602610883549682
all_gather,2,3,logical-gathered-output,1024,512,0.5,45.53600028157234,57.70079977810383,75.3955194354058,88.41600269079208,0.02248770189889505,0.011243850949447525
all_gather,2,4,logical-gathered-output,1024,512,0.5,48.31999912858009,64.4303984940052,82.9577613621973,524.6719717979431,0.02119205336231741,0.010596026681158706
all_gather,2,0,logical-gathered-output,2048,1024,0.5,41.50399938225746,53.934398666024194,93.24480026960386,118.27199906110764,0.04934464221478134,0.02467232110739067
all_gather,2,1,logical-gathered-output,2048,1024,0.5,42.1920008957386,57.69279934465885,107.26592242717757,135.96799969673157,0.04854000655386904,0.02427000327693452
all_gather,2,2,logical-gathered-output,2048,1024,0.5,42.479999363422394,56.424001045525074,75.29567725956457,106.9440022110939,0.04821092350965146,0.02410546175482573
all_gather,2,3,logical-gathered-output,2048,1024,0.5,43.5199998319149,56.52639828622341,66.65279679000405,120.19199877977371,0.04705882371116468,0.02352941185558234
all_gather,2,4,logical-gathered-output,2048,1024,0.5,42.25600138306618,56.49280156940222,108.42463783919817,118.78400295972824,0.04846648837958253,0.024233244189791264
all_gather,2,0,logical-gathered-output,4096,2048,0.5,41.519999504089355,53.79999950528145,62.985922694206245,63.968002796173096,0.09865125358675834,0.04932562679337917
all_gather,2,1,logical-gathered-output,4096,2048,0.5,43.50399971008301,56.63199871778488,60.415681153536134,117.40799993276596,0.09415226248842269,0.047076131244211346
all_gather,2,2,logical-gathered-output,4096,2048,0.5,42.848000302910805,56.425600685179226,61.021118797361865,63.90400230884552,0.09559372598589497,0.047796862992947484
all_gather,2,3,logical-gathered-output,4096,2048,0.5,41.519999504089355,52.70559899508953,57.67647951841355,58.9120015501976,0.09865125358675834,0.04932562679337917
all_gather,2,4,logical-gathered-output,4096,2048,0.5,41.69599898159504,53.8671988993883,64.74592119455338,65.72800129652023,0.09823484507009915,0.049117422535049575
all_gather,2,0,logical-gathered-output,8192,4096,0.5,41.471999138593674,56.88000060617924,70.51871933043061,183.6480051279068,0.19753086830040362,0.09876543415020181
all_gather,2,1,logical-gathered-output,8192,4096,0.5,42.27200150489807,52.89279967546462,61.20447818189924,186.78399920463562,0.19379257447866033,0.09689628723933016
all_gather,2,2,logical-gathered-output,8192,4096,0.5,43.43999922275543,58.76479968428611,3732.3757910728455,3769.5679664611816,0.1885819554920419,0.09429097774602095
all_gather,2,3,logical-gathered-output,8192,4096,0.5,41.439998894929886,52.83999964594841,61.18079837411704,181.2479943037033,0.19768340295497155,0.09884170147748578
all_gather,2,4,logical-gathered-output,8192,4096,0.5,41.45599901676178,50.81439912319183,55.939199477434784,176.64000391960144,0.1976071061919833,0.09880355309599165
all_gather,2,0,logical-gathered-output,16384,8192,0.5,41.48799926042557,53.8623996078968,62.21503864973797,88.25600147247314,0.39490937842424023,0.19745468921212012
all_gather,2,1,logical-gathered-output,16384,8192,0.5,42.49599948525429,55.77760003507137,57.80480045825244,59.07199904322624,0.3855421733446955,0.19277108667234774
all_gather,2,2,logical-gathered-output,16384,8192,0.5,40.22400081157684,49.699198454618454,56.867519170045966,79.39200103282928,0.40731900530601944,0.20365950265300972
all_gather,2,3,logical-gathered-output,16384,8192,0.5,40.32000154256821,49.26399886608124,52.63456173241141,58.43200162053108,0.4063491908030421,0.20317459540152105
all_gather,2,4,logical-gathered-output,16384,8192,0.5,41.48799926042557,53.77439968287945,56.21695924550298,61.85600161552429,0.39490937842424023,0.19745468921212012
all_gather,2,0,logical-gathered-output,32768,16384,0.5,41.61600023508072,56.76639974117279,66.19263634085662,80.51200211048126,0.7873894611423472,0.3936947305711736
all_gather,2,1,logical-gathered-output,32768,16384,0.5,42.687999084591866,54.80959974229336,6017.154450416566,6166.304111480713,0.7676162083649298,0.3838081041824649
all_gather,2,2,logical-gathered-output,32768,16384,0.5,41.439998894929886,53.14400158822536,57.85632070153953,61.055999249219894,0.7907336118198862,0.3953668059099431
all_gather,2,3,logical-gathered-output,32768,16384,0.5,40.49599915742874,52.08320096135139,57.8044804558158,59.039998799562454,0.8091663542517857,0.40458317712589287
all_gather,2,4,logical-gathered-output,32768,16384,0.5,41.31200164556503,51.593601517379284,61.90336182713509,63.4239986538887,0.7931835470266482,0.3965917735133241
all_gather,2,0,logical-gathered-output,49152,24576,0.5,41.56799986958504,56.77119959145784,63.1318429112435,75.39200037717819,1.1824480406613,0.59122402033065
all_gather,2,1,logical-gathered-output,49152,24576,0.5,43.295999988913536,53.60639840364456,57.85696096718311,57.95200169086456,1.1352549892042212,0.5676274946021106
all_gather,2,2,logical-gathered-output,49152,24576,0.5,42.33599826693535,52.39200033247471,57.1260788664222,60.896001756191254,1.1609977799528584,0.5804988899764292
all_gather,2,3,logical-gathered-output,49152,24576,0.5,41.23200103640556,50.63040126115083,54.27231974899769,54.30399999022484,1.1920837884293203,0.5960418942146601
all_gather,2,4,logical-gathered-output,49152,24576,0.5,42.62400045990944,53.729599341750145,59.975998438894756,60.7680007815361,1.153153140710726,0.576576570355363
all_gather,2,0,logical-gathered-output,65536,32768,0.5,41.53599962592125,57.84160066395998,68.49888339638836,314.303994178772,1.57781203269997,0.788906016349985
all_gather,2,1,logical-gathered-output,65536,32768,0.5,42.51199960708618,53.8623996078968,69.67360325157831,434.9440038204193,1.541588271681204,0.770794135840602
all_gather,2,2,logical-gathered-output,65536,32768,0.5,41.968001052737236,52.45920065790415,61.36704109609256,310.7520043849945,1.5615706813781072,0.7807853406890536
all_gather,2,3,logical-gathered-output,65536,32768,0.5,41.48799926042557,51.74559894949198,60.39968051016464,318.56000423431396,1.579637513696961,0.7898187568484805
all_gather,2,4,logical-gathered-output,65536,32768,0.5,40.30400142073631,50.07360074669123,64.71712063998112,313.1200075149536,1.6260420228717511,0.8130210114358756
all_gather,2,0,logical-gathered-output,131072,65536,0.5,41.34399816393852,53.985599987208836,65.98592177033434,85.1840004324913,3.1702787785610185,1.5851393892805092
all_gather,2,1,logical-gathered-output,131072,65536,0.5,42.4639992415905,50.593601539731026,53.80159981548787,54.75199967622757,3.0866616979312727,1.5433308489656363
all_gather,2,2,logical-gathered-output,131072,65536,0.5,41.391998529434204,49.53920096158981,52.47072052210572,57.88800120353699,3.1666023544814723,1.5833011772407362
all_gather,2,3,logical-gathered-output,131072,65536,0.5,40.44799879193306,51.69759839773178,8028.395385742188,8134.112358093262,3.2405064258986522,1.6202532129493261
all_gather,2,4,logical-gathered-output,131072,65536,0.5,44.44799944758415,56.02880157530308,7944.966626167299,8243.391990661621,2.9488841259226586,1.4744420629613293
all_gather,2,0,logical-gathered-output,262144,131072,0.5,43.5199998319149,52.66399830579758,57.97280140221122,63.19999694824219,6.023529435029079,3.0117647175145397
all_gather,2,1,logical-gathered-output,262144,131072,0.5,42.57600009441376,49.918399378657334,55.77824003994465,56.0000017285347,6.157083789428001,3.0785418947140006
all_gather,2,2,logical-gathered-output,262144,131072,0.5,41.24800115823746,48.89439959079027,52.580801472067854,56.223999708890915,6.355314018595744,3.177657009297872
all_gather,2,3,logical-gathered-output,262144,131072,0.5,42.38399863243103,52.63360161334276,60.18719989806415,62.880001962184906,6.184975662004077,3.0924878310020385
all_gather,2,4,logical-gathered-output,262144,131072,0.5,42.367998510599136,50.3103993833065,52.3116795346141,54.655998945236206,6.1873113957559225,3.0936556978779612
all_gather,2,0,logical-gathered-output,524288,262144,0.5,44.544000178575516,57.823999971151345,8855.719404220583,9154.239654541016,11.770114895342708,5.885057447671354
all_gather,2,1,logical-gathered-output,524288,262144,0.5,43.535999953746796,53.75999957323074,61.13503899425274,72.12799787521362,12.042631398314276,6.021315699157138
all_gather,2,2,logical-gathered-output,524288,262144,0.5,43.35999861359596,50.65599828958511,53.751999326050296,56.12799897789955,12.091513301746376,6.045756650873188
all_gather,2,3,logical-gathered-output,524288,262144,0.5,40.92800058424473,50.4271999001503,53.697919100522995,53.888000547885895,12.810007635746203,6.4050038178731015
all_gather,2,4,logical-gathered-output,524288,262144,0.5,44.51199993491173,53.73439937829971,9451.339597702028,9740.799903869629,11.778576580846673,5.889288290423337
all_gather,2,0,logical-gathered-output,1048576,524288,0.5,40.24000093340874,49.58720114082098,56.16703923791648,56.86400085687637,26.058051085417183,13.029025542708592
all_gather,2,1,logical-gathered-output,1048576,524288,0.5,42.49599948525429,53.923200070857995,72.81248249113564,80.38400113582611,24.67469909406051,12.337349547030255
all_gather,2,2,logical-gathered-output,1048576,524288,0.5,38.15999999642372,47.99520019441843,61.064959242939956,61.95199862122536,27.478406711170614,13.739203355585307
all_gather,2,3,logical-gathered-output,1048576,524288,0.5,39.84000161290169,47.42559976875782,50.82527950406075,51.7439991235733,26.319677649320973,13.159838824660486
all_gather,2,4,logical-gathered-output,1048576,524288,0.5,43.60000044107437,53.60479839146137,60.30559841543453,93.72799843549728,24.049908013582616,12.024954006791308
all_gather,2,0,logical-gathered-output,2097152,1048576,0.5,43.487999588251114,50.77119842171668,63.006722629070296,66.04799628257751,48.223694349155,24.1118471745775
all_gather,2,1,logical-gathered-output,2097152,1048576,0.5,43.56800019741058,52.78079956769943,56.028801724314704,58.88000130653381,48.1351448424902,24.0675724212451
all_gather,2,2,logical-gathered-output,2097152,1048576,0.5,43.35999861359596,51.552001386880875,56.95488132536413,59.61599946022034,48.366053206985505,24.183026603492753
all_gather,2,3,logical-gathered-output,2097152,1048576,0.5,42.367998510599136,49.537600949406624,54.40704047679903,58.27200040221214,49.49849116604738,24.74924558302369
all_gather,2,4,logical-gathered-output,2097152,1048576,0.5,42.41599887609482,51.25759895890951,56.673599407076836,56.832000613212585,49.44247584799733,24.721237923998665
all_gather,2,0,logical-gathered-output,4194304,2097152,0.5,44.415999203920364,120.54719775915143,160.32991841435435,167.64800250530243,94.43227834959505,47.216139174797526
all_gather,2,1,logical-gathered-output,4194304,2097152,0.5,43.5199998319149,52.692798525094986,58.063680976629364,78.62400263547897,96.37647096046527,48.188235480232635
all_gather,2,2,logical-gathered-output,4194304,2097152,0.5,44.319998472929,50.78719854354858,108.28640162946857,4102.975845336914,94.63682636545923,47.318413182729614
all_gather,2,3,logical-gathered-output,4194304,2097152,0.5,42.59200021624565,51.716798916459084,55.617598816752434,55.776000022888184,98.47633308379322,49.23816654189661
all_gather,2,4,logical-gathered-output,4194304,2097152,0.5,43.487999588251114,51.76159888505936,53.77855934202674,58.78400057554245,96.44738869831,48.223694349155
all_gather,2,0,logical-gathered-output,8388608,4194304,0.5,43.74400153756142,53.69599908590317,61.02112054824844,89.24800157546997,191.76590401307936,95.88295200653968
all_gather,2,1,logical-gathered-output,8388608,4194304,0.5,44.576000422239304,52.68799886107445,55.89855931699287,77.53600180149078,188.18664574076186,94.09332287038093
all_gather,2,2,logical-gathered-output,8388608,4194304,0.5,44.544000178575516,53.74239906668663,11712.878303527834,12081.76040649414,188.32183832548333,94.16091916274166
all_gather,2,3,logical-gathered-output,8388608,4194304,0.5,42.38399863243103,50.6879985332489,55.803519040346224,71.19999825954437,197.91922118413046,98.95961059206523
all_gather,2,4,logical-gathered-output,8388608,4194304,0.5,43.455999344587326,51.52800101786852,56.82912036776544,59.7120001912117,193.03682176267444,96.51841088133722
all_gather,2,0,logical-gathered-output,16777216,8388608,0.5,43.487999588251114,47.73760084062814,54.867518246174015,85.31200140714645,385.78955479324,192.89477739662
all_gather,2,1,logical-gathered-output,16777216,8388608,0.5,43.616000562906265,50.61120130121708,52.77120169252167,72.09599763154984,384.6573684765673,192.32868423828364
all_gather,2,2,logical-gathered-output,16777216,8388608,0.5,43.5199998319149,51.724798791110516,54.34591956436664,112.35199868679047,385.5058838418611,192.75294192093054
all_gather,2,3,logical-gathered-output,16777216,8388608,0.5,43.487999588251114,47.87999857217073,54.67423848807816,62.81600147485733,385.78955479324,192.89477739662
all_gather,2,4,logical-gathered-output,16777216,8388608,0.5,43.5199998319149,51.52800101786852,57.96000026166449,77.7600035071373,385.5058838418611,192.75294192093054
all_gather,2,0,logical-gathered-output,33554432,16777216,0.5,60.896001756191254,61.860801465809345,63.281922191381646,99.90400075912476,551.012070288975,275.5060351444875
