method,metric,first_confirmation,second_confirmation,second_minus_first
h0,calls_mape,0.11450962065976611,0.12157611386265334,0.007066493202887228
h0,calls_wape,0.10965504357139082,0.11965366017919056,0.009998616607799743
h0,bytes_mape,0.015131246100738944,0.02968213521005217,0.014550889109313224
h0,bytes_wape,0.009801958335250245,0.012936352136702191,0.0031343938014519457
h0,mean_histogram_tv,0.16574189506301895,0.1344623060417073,-0.03127958902131164
h0,mean_normalized_log_payload_emd,0.01571679657891733,0.013854818988475678,-0.0018619775904416512
h0,common_reference_cost_mape,0.06569985801204573,0.07130970525614415,0.005609847244098423
h0,common_reference_cost_wape,0.04798148897687571,0.05732986108209415,0.009348372105218439
phase29_enhanced_bounded_residual_diagnostic,calls_mape,0.11143683440661824,0.09670372199651034,-0.014733112410107899
phase29_enhanced_bounded_residual_diagnostic,calls_wape,0.0779652354647545,0.0867025875728029,0.008737352108048393
phase29_enhanced_bounded_residual_diagnostic,bytes_mape,0.020886926747455736,0.02918666632403372,0.008299739576577984
phase29_enhanced_bounded_residual_diagnostic,bytes_wape,0.01158802963243007,0.014252954458574248,0.002664924826144178
phase29_enhanced_bounded_residual_diagnostic,mean_histogram_tv,0.1837131949753734,0.15335287588655538,-0.030360319088818005
phase29_enhanced_bounded_residual_diagnostic,mean_normalized_log_payload_emd,0.018990417914793566,0.016389515549065793,-0.002600902365727773
phase29_enhanced_bounded_residual_diagnostic,common_reference_cost_mape,0.07133178214903295,0.06217144089893742,-0.00916034125009553
phase29_enhanced_bounded_residual_diagnostic,common_reference_cost_wape,0.03579722125545323,0.043783879144543826,0.007986657889090594
structured_event_bounded_residual,calls_mape,0.2796368708811628,0.23632685297267708,-0.04331001790848571
structured_event_bounded_residual,calls_wape,0.17418633020775315,0.17975753201136335,0.005571201803610204
structured_event_bounded_residual,bytes_mape,0.23533878113211154,0.33441533228574233,0.09907655115363079
structured_event_bounded_residual,bytes_wape,0.10180249319423552,0.14234182237040446,0.04053932917616894
structured_event_bounded_residual,mean_histogram_tv,0.16097758667334977,0.14188833328136402,-0.01908925339198575
structured_event_bounded_residual,mean_normalized_log_payload_emd,0.01680427741279083,0.01615828131402829,-0.0006459960987625392
structured_event_bounded_residual,common_reference_cost_mape,0.19221181795864545,0.1931231787975267,0.0009113608388812422
structured_event_bounded_residual,common_reference_cost_wape,0.09816077930495377,0.10594587807682493,0.0077850987718711545
structured_event_direct_control,calls_mape,0.1602964612786443,0.140020700221188,-0.020275761057456293
structured_event_direct_control,calls_wape,0.13676233442730204,0.14803723446218187,0.011274900034879826
structured_event_direct_control,bytes_mape,0.4689856993510685,0.49186600365386707,0.022880304302798582
structured_event_direct_control,bytes_wape,0.17887254633217012,0.19251137558453774,0.013638829252367618
structured_event_direct_control,mean_histogram_tv,0.1217525650164649,0.094565375770194,-0.027187189246270907
structured_event_direct_control,mean_normalized_log_payload_emd,0.012756048324647166,0.01036786769027166,-0.0023881806343755054
structured_event_direct_control,common_reference_cost_mape,0.2172023843067451,0.22596204732834616,0.008759663021601055
structured_event_direct_control,common_reference_cost_wape,0.13517963503174185,0.15864561123194837,0.023465976200206518
