candidate_id,feature_mode,alpha,median_best_epoch,dnn_profiles,dnn_calls_histogram_wape,dnn_bytes_histogram_wape,dnn_calls_total_wape,dnn_bytes_total_wape,dnn_mean_profile_calls_l1,dnn_mean_profile_bytes_l1,dnn_mean_calls_histogram_tv,dnn_mean_normalized_log_payload_emd,h0_profiles,h0_calls_histogram_wape,h0_bytes_histogram_wape,h0_calls_total_wape,h0_bytes_total_wape,h0_mean_profile_calls_l1,h0_mean_profile_bytes_l1,h0_mean_calls_histogram_tv,h0_mean_normalized_log_payload_emd,composite_ratio,strict_oof_gate
pd44_causal_w16_d1,fixed_draining_causal,0.05,321,960,0.17497583746430687,0.17210000808925557,0.010321082005923504,0.023994160256456926,0.1723286883432177,0.18886346396179104,0.088323449386638,0.010418272058681843,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9875473599448954,True
pd44_causal_w16_d1,fixed_draining_causal,0.1,321,960,0.17312541702269468,0.17052415547127114,0.010108256035449218,0.023793428811433686,0.17051093290200706,0.18721751133201744,0.08735876721558924,0.010298793379464648,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9771494021880778,True
pd44_causal_w16_d1,fixed_draining_causal,0.25,321,960,0.16943444977235084,0.1665241096628288,0.009535035153499566,0.023472523257013853,0.16682846022174877,0.18291115301910993,0.08527392903782947,0.010126661421488747,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9562921661335299,True
pd44_causal_w16_d1,fixed_draining_causal,0.5,321,960,0.16882385333015368,0.16404484812010364,0.008775966614924167,0.024150070377791332,0.16587891410184766,0.17879009032066934,0.08423814865482579,0.010291621541716462,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9528684300826145,True
pd44_causal_w16_d1,fixed_draining_causal,0.75,321,960,0.17359684490431881,0.17055941043754574,0.00825836585521951,0.025799857707755013,0.16988606860854058,0.17987350318263104,0.08558459604445846,0.010775941103967986,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9841835386136818,False
pd44_causal_w16_d1,fixed_draining_causal,1.0,321,960,0.18205128171330992,0.18352683791574867,0.007966558328192232,0.028166623525461124,0.17733444680920923,0.18591372242068546,0.08862137612110753,0.011499778852277213,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,1.040360105775795,False
pd44_causal_w32_d1,fixed_draining_causal,0.05,533,960,0.17472552099017552,0.17156961580639235,0.010323514898634895,0.023945287429445627,0.1721067162101058,0.1885275293865889,0.0882036743072469,0.01039987202564681,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9856616269091512,True
pd44_causal_w32_d1,fixed_draining_causal,0.1,533,960,0.17259130785718127,0.16955952666924878,0.010112203711574225,0.023701037243068716,0.17004675798928265,0.1865627215065508,0.08711950178022211,0.0102582896827774,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9733822543781637,True
pd44_causal_w32_d1,fixed_draining_causal,0.25,533,960,0.1678504203202722,0.1640207611165107,0.009531210556731359,0.023285043086411834,0.16544193182127415,0.18098385018730417,0.0846228819232024,0.010006247222148707,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.945790740626947,True
pd44_causal_w32_d1,fixed_draining_causal,0.5,533,960,0.16510048804662278,0.15827243187990928,0.008736139729910905,0.02353216839154015,0.16273709989012586,0.17439250588653715,0.08274885738211361,0.010053545354860432,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.929522537976559,True
pd44_causal_w32_d1,fixed_draining_causal,0.75,533,960,0.16728137712451335,0.1596466637838393,0.008166602919502514,0.024505377285989366,0.16451376841338156,0.1725390296386667,0.08304220130753247,0.01045499906023136,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.944884845165129,True
pd44_causal_w32_d1,fixed_draining_causal,1.0,533,960,0.1740465656462332,0.16777173474983262,0.007838643798838012,0.02607775981558513,0.1705212290726576,0.17576094899975983,0.08539891702519314,0.011098818842990165,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.98792116742466,False
pd44_causal_w32_d2,fixed_draining_causal,0.05,916,960,0.17523618688113188,0.17209543951675305,0.01032879679049875,0.02401559291377318,0.17255146252155706,0.18916595077869441,0.08842894899326749,0.010438072066636633,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9886710346253377,True
pd44_causal_w32_d2,fixed_draining_causal,0.1,916,960,0.17354001874686711,0.17049210054978148,0.01012393503638425,0.023819898931296782,0.1708722969921098,0.18780948477871634,0.0875579635161787,0.010332130468973045,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9790330677936672,True
pd44_causal_w32_d2,fixed_draining_causal,0.25,916,960,0.1699050979859718,0.16649148610061226,0.00956292993464682,0.023515275473137504,0.1672465778761649,0.1842329840067679,0.0855473034253164,0.010162019445074994,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9585092162344979,True
pd44_causal_w32_d2,fixed_draining_causal,0.5,916,960,0.168040410298539,0.16186444874833802,0.008826474560814514,0.023766477536510303,0.16535973813821972,0.17983578259268482,0.08408162852919454,0.010211564143146733,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9462973404750744,True
pd44_causal_w32_d2,fixed_draining_causal,0.75,916,960,0.16996544150649892,0.16103267436462235,0.008319847506710257,0.024695945929312152,0.167221821527107,0.1782218734748941,0.08437301885860168,0.010538818038528979,960,0.17718283823787742,0.1738243469425231,0.010541919534859397,0.024257332421144806,0.17448061488745523,0.1905788188325074,0.08943324493424364,0.01057719744028981,0.9563666580055703,True
