parallelism,method,path,sha256,best_epoch,best_validation_loss,bytes
tp,direct,checkpoints/tp_direct.pt,040abf0f5f4952b146667a431c0c11774d2ec8763838a5ba1112b7bd9c1eed0c,45,304.5409240722656,45669
tp,h0_bounded_residual,checkpoints/tp_h0_bounded_residual.pt,79fef447f183606627c4c5d396ed9350b90f915d519b6dac5f9f6aa63d566831,3,0.03339194878935814,45941
pp,direct,checkpoints/pp_direct.pt,b0d7719336d69c412d8451d14981a7ff4fe37393880418a357df8a86d907acd4,37,0.16452819108963013,45669
pp,h0_bounded_residual,checkpoints/pp_h0_bounded_residual.pt,0ab6938b7ae25dc9e29d4cca4e6eae0441c34f1159d9ceb8de53a40a85e360e0,28,0.08690781891345978,45941
