policy,validation_frozen_candidate,first_confirmation_wins_of_calls_tv_cost,first_confirmation_cost_guard,validation_candidate_confirmed,second_confirmation_frozen_recommendation,h0_calls_mape,candidate_calls_mape,h0_histogram_tv,candidate_histogram_tv,h0_cost_mape,candidate_cost_mape,first_confirmation_recommendation_is_unbiased_on_first_set,eligible_for_unbiased_second_confirmation
latency,legacy_bounded_residual,3,True,True,legacy_bounded_residual,0.11368073032090412,0.08116023667571777,0.11194388588481652,0.10518320128250222,0.0732143701982378,0.04404017416600784,False,True
balanced,legacy_bounded_residual,2,True,True,legacy_bounded_residual,0.11228726476503466,0.10718987074331188,0.13818307793731444,0.17431060013497726,0.06451635752515944,0.05285152100442405,False,True
throughput,enhanced_bounded_residual,1,True,False,h0,0.1476416120892588,0.15254568141105468,0.2242668111954913,0.29250859114966077,0.06556815249950279,0.05410025465624762,False,True
