parallelism,candidate_id,feature_set,mode,learning_rate,alpha,score,calls_wape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_wape
tp,tp_c01_full_shared_lr0.0003,full,shared,0.0003,0.25,5.19500040269204,0.09479109464263463,0.028246219285606087,0.15952214952714777,0.02049539951848882,0.06086758818050489
tp,tp_c02_full_shared_lr0.001,full,shared,0.001,0.5,4.851947829538682,0.0814078284365296,0.02825477318912508,0.15769234842257526,0.020288304336399984,0.051256848507412814
tp,tp_c03_full_shared_lr0.003,full,shared,0.003,0.25,4.671094330489947,0.08858163231810229,0.02183824985270816,0.1572174892333411,0.020468153133320358,0.05442759715869979
tp,tp_c04_full_policy_heads_lr0.0003,full,policy_heads,0.0003,0.5,5.055598379452844,0.08403013355702219,0.02991970036295456,0.16022025067584109,0.02067067782082743,0.05456918297612958
tp,tp_c05_full_policy_heads_lr0.001,full,policy_heads,0.001,0.5,4.813746744864763,0.07440091695768694,0.029955318553068523,0.15979017806375262,0.020696570080789838,0.047257897704205555
tp,tp_c06_full_policy_heads_lr0.003,full,policy_heads,0.003,0.5,5.154192732722033,0.09069881732236887,0.029401344659089414,0.16026541992408633,0.020607176206603687,0.05757615893296478
tp,tp_c07_no_arrival_shared_lr0.0003,no_arrival,shared,0.0003,0.5,4.967728877423563,0.08744595926910138,0.02772763143804861,0.16032859373234962,0.020386205180333274,0.05448982684775201
tp,tp_c08_no_arrival_shared_lr0.001,no_arrival,shared,0.001,0.25,5.07782348785276,0.08528547594985124,0.030366216233763475,0.1559446078865396,0.020043626913632602,0.05625949003440362
tp,tp_c09_no_arrival_shared_lr0.003,no_arrival,shared,0.003,0.5,4.950955458361239,0.09818578141761082,0.02235587206790939,0.1641954402692048,0.02116531581365052,0.05918571034488083
tp,tp_c10_no_arrival_policy_heads_lr0.0003,no_arrival,policy_heads,0.0003,0.5,4.747956180993864,0.0843088909363517,0.024541451858419765,0.16090876980524496,0.020688552050012184,0.05228543738413233
tp,tp_c11_no_arrival_policy_heads_lr0.001,no_arrival,policy_heads,0.001,0.5,4.735035417119335,0.0835511615565877,0.025091886011166967,0.15901409642805037,0.020487432598834232,0.05151808574507443
tp,tp_c12_no_arrival_policy_heads_lr0.003,no_arrival,policy_heads,0.003,0.25,5.210724908533542,0.09235569628109294,0.02998112979856351,0.1567869107880771,0.020267925915815117,0.059672993261072324
pp,pp_c01_full_shared_lr0.0003,full,shared,0.0003,0.25,4.273279642511634,0.0820655596936977,0.02834100355735013,0.20736709591705804,0.026075713016695184,0.059350262925534907
pp,pp_c02_full_shared_lr0.001,full,shared,0.001,0.25,4.266808482421094,0.08553917110836612,0.026273128635380782,0.20981980560342897,0.02634719661853118,0.06041850413080931
pp,pp_c03_full_shared_lr0.003,full,shared,0.003,0.25,4.131898185638524,0.08207801409102154,0.025079647087605524,0.20686648861700122,0.025891195767339524,0.05805705368041693
pp,pp_c04_full_policy_heads_lr0.0003,full,policy_heads,0.0003,0.75,3.702895498264498,0.05908646232892313,0.03231790282682956,0.18484631620513925,0.02160659693459431,0.04256734351369944
pp,pp_c05_full_policy_heads_lr0.001,full,policy_heads,0.001,0.75,3.5193148809727828,0.05811972546117058,0.028697112285309065,0.18378535954415404,0.021251831853362928,0.04042979203963154
pp,pp_c06_full_policy_heads_lr0.003,full,policy_heads,0.003,0.5,3.6083698640124253,0.06446209951757974,0.025661176382911956,0.18640379255402195,0.022462952569660882,0.04571931037009973
pp,pp_c07_no_arrival_shared_lr0.0003,no_arrival,shared,0.0003,0.5,4.1364780370657614,0.07746891778218025,0.029089801127608197,0.2040620306340192,0.024765010267981714,0.0551839303098995
pp,pp_c08_no_arrival_shared_lr0.001,no_arrival,shared,0.001,0.25,4.124774009694137,0.08310263003655016,0.024525615088416705,0.20741576202754727,0.025782007705545392,0.05829434311121225
pp,pp_c09_no_arrival_shared_lr0.003,no_arrival,shared,0.003,0.25,4.291090354224541,0.08509435681195214,0.02778985793784786,0.2085846795719132,0.026085406599639684,0.059860934967663655
pp,pp_c10_no_arrival_policy_heads_lr0.0003,no_arrival,policy_heads,0.0003,0.75,3.722725920348882,0.05805206851499318,0.033448362585027376,0.18402587424131592,0.021544306426543404,0.042283890176649686
pp,pp_c11_no_arrival_policy_heads_lr0.001,no_arrival,policy_heads,0.001,0.75,3.6078417691980085,0.05132753628221088,0.03528519346778532,0.18001443055848526,0.02087890148396304,0.037463256483093545
pp,pp_c12_no_arrival_policy_heads_lr0.003,no_arrival,policy_heads,0.003,0.5,3.8022874392494774,0.06115990281471544,0.03253901589524823,0.19041450883337524,0.02293942851469836,0.04354573415392405
