parallelism,candidate_rank,candidate_id,seed,path,sha256,bytes
tp,1,tp_c03_full_shared_lr0.003,20260813,checkpoints/tp_top1_seed20260813.pt,7e609d0884c96d8ed9f0b1e5c2d85dd43dd20439ce34692550e16341d12317e2,64853
tp,1,tp_c03_full_shared_lr0.003,20260914,checkpoints/tp_top1_seed20260914.pt,a7916c8dbd33f5453e4d30d3a00452988b413d1d3615f77f9be43ce2656dc99c,64853
tp,1,tp_c03_full_shared_lr0.003,20261015,checkpoints/tp_top1_seed20261015.pt,8c0daeb293baad5e62f4c8d75c28e46e642d5ef8d3a2caa502f572ad40b4e87b,64853
tp,2,tp_c11_no_arrival_policy_heads_lr0.001,20260813,checkpoints/tp_top2_seed20260813.pt,0ee279d11a767e0305c2fe77483de5325b829ba046b673de3ca75ff808b76591,176029
tp,2,tp_c11_no_arrival_policy_heads_lr0.001,20260914,checkpoints/tp_top2_seed20260914.pt,1c26c32521a957f8718ce022f65d08c3c57308e751b5dc3b31b124fddf12c9e6,176029
tp,2,tp_c11_no_arrival_policy_heads_lr0.001,20261015,checkpoints/tp_top2_seed20261015.pt,dea4fbaae10c449ee57e7f8196c0b57c9d988c54cc1d375ea197e448fe3c336c,176029
pp,1,pp_c05_full_policy_heads_lr0.001,20260813,checkpoints/pp_top1_seed20260813.pt,c9b350221b425a3eb1e9ec1e04b22e731bc52c877387cb0771c053486617d8d1,172317
pp,1,pp_c05_full_policy_heads_lr0.001,20260914,checkpoints/pp_top1_seed20260914.pt,34e7953476ac1bd0c05ac6d15efb043369db82a4da8dcf93393281a78d5247c7,172317
pp,1,pp_c05_full_policy_heads_lr0.001,20261015,checkpoints/pp_top1_seed20261015.pt,2fedbdaf2f57cebd5bf065ca096a8718541aa6ce62da30394248ddf8703d56de,172317
pp,2,pp_c11_no_arrival_policy_heads_lr0.001,20260813,checkpoints/pp_top2_seed20260813.pt,6a1f0febdfec5bd7b3f237faadefdd878adb50b2f0337c83fa1b39c093c24acf,169117
pp,2,pp_c11_no_arrival_policy_heads_lr0.001,20260914,checkpoints/pp_top2_seed20260914.pt,a3b7a250c1550cabb0bfdf5b99f88811ccb2a4b5a511de78af5587a3053d5642,169117
pp,2,pp_c11_no_arrival_policy_heads_lr0.001,20261015,checkpoints/pp_top2_seed20261015.pt,a1e4d48c7b357dce5ef04e089ffc119a2ba6ef489ab217c9221a0494412bdf47,169117
