candidate_id,complexity_rank,family,scope,oof_points,overall_wape,overall_signed_bias,max_configuration_topology_wape,max_configuration_topology_absolute_signed_bias,all_predictions_positive,target_guard,selected
phase51_max,0,baseline,none,120,0.27908318299410906,-0.2632158515437462,0.28117621288557826,0.2696422194923318,True,False,False
global_scale,1,scale,global,120,0.4589707522911803,0.021013237973979474,0.4635851250112937,0.030028065445389905,True,False,False
global_affine_max_min,2,affine_max_min,global,120,0.027257051340021623,-0.001768163275621968,0.03073030554076912,0.0101676352552026,True,True,True
configuration_affine_max_min,3,affine_max_min,configuration,120,0.027440514015486337,-0.0017681632756216734,0.03238836067724863,0.0041872877321295155,True,True,False
model_affine_max_min,4,affine_max_min,model_id,120,0.014154406048057937,0.002749935084387742,0.017934709457916607,0.012280222672227895,True,True,False
model_configuration_affine_max_min,5,affine_max_min,model_id+configuration,120,0.012674778081829808,0.0027499350843875944,0.014035841976101318,0.0044495485125840475,True,True,False
model_configuration_topology_affine_max_min,6,affine_max_min,model_id+configuration+topology_level,120,0.013703854022290728,0.002794492563183673,0.017539771869895186,0.006910053412635605,True,True,False
