candidate_id,evidence,slice_type,slice_value,points,wape,signed_bias
configuration_affine_max_min,leave_one_payload_pair_out,topology,L2,40,0.027877408765389727,-0.0027318424505225836
configuration_affine_max_min,leave_one_payload_pair_out,topology,L3,40,0.025916694303084138,-0.0014010314505777197
model_affine_max_min,leave_one_payload_pair_out,configuration,P1D2,60,0.016202770292253477,0.010475534473360875
model_affine_max_min,leave_one_payload_pair_out,configuration,P2D1,60,0.012137125724370961,-0.0048584283598706686
model_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L1,20,0.017934709457916607,0.012280222672227895
model_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L2,20,0.015317236227520532,0.009344099736952176
model_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L3,20,0.015359965919539835,0.009806118957861676
model_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L1,20,0.011436500114359672,-0.005344130829938288
model_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L2,20,0.010791690989432154,-0.00570756623163174
model_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L3,20,0.014187773218192382,-0.00352058800395204
model_affine_max_min,leave_one_payload_pair_out,model,deepseek-v2-lite,60,0.02461282490668656,0.004608147648371793
model_affine_max_min,leave_one_payload_pair_out,model,qwen3-8b,60,0.010553460791429785,0.0021101326621924864
model_affine_max_min,leave_one_payload_pair_out,overall,all,120,0.014154406048057937,0.002749935084387742
model_affine_max_min,leave_one_payload_pair_out,topology,L1,40,0.014657072054311885,0.00339065984053358
model_affine_max_min,leave_one_payload_pair_out,topology,L2,40,0.013037465267182814,0.0017617313869287311
model_affine_max_min,leave_one_payload_pair_out,topology,L3,40,0.014769976436908415,0.0030985042998427016
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration,P1D2,60,0.01378771945721275,0.002388244163061805
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration,P2D1,60,0.011578725588070885,0.0031061373472004183
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L1,20,0.013394664237345713,0.00417490530827452
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L2,20,0.014035841976101318,0.0012642368818386654
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L3,20,0.013931815565657264,0.0017293915047510945
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L1,20,0.01097689167240192,0.002620068516226809
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L2,20,0.011214293905878808,0.0022518070929053763
model_configuration_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L3,20,0.012547227366727792,0.0044495485125840475
model_configuration_affine_max_min,leave_one_payload_pair_out,model,deepseek-v2-lite,60,0.02434584856726415,0.004608147648371649
model_configuration_affine_max_min,leave_one_payload_pair_out,model,qwen3-8b,60,0.00865630392503853,0.0021101326621924864
model_configuration_affine_max_min,leave_one_payload_pair_out,overall,all,120,0.012674778081829808,0.0027499350843875944
model_configuration_affine_max_min,leave_one_payload_pair_out,topology,L1,40,0.012175161852411557,0.00339065984053358
model_configuration_affine_max_min,leave_one_payload_pair_out,topology,L2,40,0.01261446996117758,0.0017617313869285102
model_configuration_affine_max_min,leave_one_payload_pair_out,topology,L3,40,0.013234922918053385,0.0030985042998427016
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration,P1D2,60,0.01425840087095758,0.0024352634031223315
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration,P2D1,60,0.013157722420185166,0.003148270421950947
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L1,20,0.01564128810852064,0.006910053412635605
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L2,20,0.01423803429857392,-0.00046776306584189146
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration_topology,P1D2/L3,20,0.01289847237531609,0.0008730563934248285
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L1,20,0.012771634424489184,0.005354977567246942
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L2,20,0.009171277403011283,0.0013432016124813972
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,configuration_topology,P2D1/L3,20,0.017539771869895186,0.002745198080076201
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,model,deepseek-v2-lite,60,0.024244045817847906,0.004600139682413584
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,model,qwen3-8b,60,0.010074753470552119,0.002172788984753444
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,overall,all,120,0.013703854022290728,0.002794492563183673
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,topology,L1,40,0.014193861017009736,0.0061256873685742765
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,topology,L2,40,0.011685624671469223,0.00044452141406819506
model_configuration_topology_affine_max_min,leave_one_payload_pair_out,topology,L3,40,0.015234536986873952,0.0018153450664821975
