parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram,comparison
pp,2,profile_01_burstgpt_1_c0,mb1,decode,120,81000.0,81000.0,0.0,0.0,663552000.0,663552000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411635.52,411635.52,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_01_burstgpt_1_c0,mb1,prefill,120,2000.0000000000002,2000.0000000000002,0.0,0.0,8459059200.000001,8459059200.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94590.592,94590.592,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_01_burstgpt_1_c0,mb16,decode,120,29966.666666666668,7083.333333333334,22883.333333333336,3.2305882352941175,663552000.0,663552000.0,0.0,0.0,1.6713577177255774,0.8356788588627887,1.8938271604938273,0.9469135802469136,1.9690812514171465,0.09376577387700698,156468.85333333333,42052.18666666667,2.7208256154099315,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_01_burstgpt_1_c0,mb16,prefill,120,266.6666666666667,1083.3333333333335,816.6666666666667,0.7538461538461538,8459059200.000001,8459059200.000001,0.0,0.0,2.0,1.0,2.0,1.0,2.7966918134736454,0.13317580064160217,85923.92533333333,90007.25866666668,0.04536671146107871,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_01_burstgpt_1_c0,mb4,decode,120,45550.00000000001,22533.333333333332,23016.666666666675,1.0214497041420123,663552000.0,663552000.0,0.0,0.0,1.4104306990822233,0.7052153495411116,1.3843621399176955,0.6921810699588478,1.112186334197747,0.05296125400941652,234385.52000000002,119302.18666666666,0.9646372505717696,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_01_burstgpt_1_c0,mb4,prefill,120,516.6666666666667,1750.0000000000002,1233.3333333333335,0.7047619047619048,8459059200.0,8459059200.000001,9.5367431640625e-07,1.127399978955402e-16,1.9428571428571428,0.9714285714285714,1.8250694040932274,0.9125347020466137,2.0666574781255704,0.09841226086312241,87173.92533333335,93340.592,0.06606629050163573,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_01_burstgpt_1_c0,mb1,decode,120,81000.0,81000.0,0.0,0.0,663552000.0,663552000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411635.52,411635.52,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_01_burstgpt_1_c0,mb1,prefill,120,2000.0000000000002,2000.0000000000002,0.0,0.0,8459059200.000001,8459059200.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94590.592,94590.592,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_01_burstgpt_1_c0,mb16,decode,120,29966.666666666668,8750.0,21216.666666666668,2.424761904761905,663552000.0,663552000.0,0.0,0.0,1.8334339742571113,0.9167169871285556,1.8522633744855967,0.9261316872427984,1.8526187516568113,0.08821994055508625,156468.85333333333,50385.520000000004,2.1054329365526705,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_01_burstgpt_1_c0,mb16,prefill,120,266.6666666666667,350.0,83.33333333333331,0.23809523809523805,8459059200.000001,8459059200.0,9.5367431640625e-07,1.127399978955402e-16,2.0,1.0,2.0,1.0,0.5098673401342715,0.024279397149251022,85923.92533333333,86340.592,0.004825849082279532,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_01_burstgpt_1_c0,mb4,decode,120,45550.00000000001,23400.0,22150.000000000007,0.9465811965811969,663552000.0,663552000.0,0.0,0.0,1.3114826385957012,0.6557413192978506,1.2707818930041153,0.6353909465020576,1.0453020403739208,0.04977628763685337,234385.52000000002,123635.52,0.895778171192227,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_01_burstgpt_1_c0,mb4,prefill,120,516.6666666666667,1683.3333333333335,1166.6666666666667,0.693069306930693,8459059200.0,8459059200.000001,9.5367431640625e-07,1.127399978955402e-16,1.900990099009901,0.9504950495049505,1.6933953128026342,0.8466976564013171,2.0348903614745617,0.09689954102259818,87173.92533333335,93007.25866666668,0.06271911909843189,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_01_burstgpt_1_c0,mb1,decode,120,81000.0,81000.0,0.0,0.0,663552000.0,663552000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411635.52,411635.52,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_01_burstgpt_1_c0,mb1,prefill,120,2000.0000000000002,2000.0000000000002,0.0,0.0,8459059200.000001,8459059200.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94590.592,94590.592,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_01_burstgpt_1_c0,mb16,decode,120,29966.666666666668,16466.666666666668,13500.0,0.8198380566801619,663552000.0,663552000.0,0.0,0.0,0.8719089586720288,0.4359544793360144,1.2168724279835392,0.6084362139917696,0.8427765236737823,0.040132215413037256,156468.85333333333,88968.85333333335,0.7586924802447715,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_01_burstgpt_1_c0,mb16,prefill,120,266.6666666666667,333.33333333333337,66.66666666666669,0.20000000000000004,8459059200.000001,8459059200.000001,0.0,0.0,2.0,1.0,2.0,1.0,0.5351120053218521,0.02548152406294534,85923.92533333333,86257.25866666668,0.0038644090768230805,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_01_burstgpt_1_c0,mb4,decode,120,45550.00000000001,25900.0,19650.000000000007,0.758687258687259,663552000.0,663552000.0,0.0,0.0,1.0068263339393964,0.5034131669696982,1.125925925925926,0.562962962962963,0.8473379412961407,0.0403494257760067,234385.52000000002,136135.52000000002,0.7217073104800275,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
