model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v00,0,qwen3-8b__p1d4__l1__r0,5,425.70550000000003,161.442,0.020165310685713887
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v00,1,qwen3-8b__p1d4__l1__r1,5,422.95849999999996,171.485,0.011310331281606955
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v01,0,qwen3-8b__p1d4__l1__r0,5,462.252,170.498,0.015559871154218499
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v01,1,qwen3-8b__p1d4__l1__r1,5,466.792,179.439,0.015710866588984546
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v02,0,qwen3-8b__p1d4__l1__r0,5,556.4575,205.174,0.009715064736482228
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v02,1,qwen3-8b__p1d4__l1__r1,5,557.456,221.711,0.006702252178989311
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v03,0,qwen3-8b__p1d4__l1__r0,5,646.376,228.217,0.011025122769472363
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v03,1,qwen3-8b__p1d4__l1__r1,5,649.852,246.392,0.006242601639931692
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v04,0,qwen3-8b__p1d4__l1__r0,5,743.083,252.169,0.008059641760170336
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v04,1,qwen3-8b__p1d4__l1__r1,5,747.44,276.892,0.012060061537799219
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v05,0,qwen3-8b__p1d4__l1__r0,5,596.066,227.051,0.0052946006349122695
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v05,1,qwen3-8b__p1d4__l1__r1,5,592.975,242.677,0.021126643769037185
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v06,0,qwen3-8b__p1d4__l1__r0,5,513.166,202.201,0.05099668234591602
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v06,1,qwen3-8b__p1d4__l1__r1,5,523.37,218.795,0.04236750484522714
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v07,0,qwen3-8b__p1d4__l1__r0,5,671.8119999999999,249.611,0.01391243453692465
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v07,1,qwen3-8b__p1d4__l1__r1,5,678.466,265.8405,0.0241096644245924
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v08,0,qwen3-8b__p1d4__l1__r0,5,660.2305,249.197,0.016862980712972184
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v08,1,qwen3-8b__p1d4__l1__r1,5,651.2085,266.547,0.01422865493957826
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v09,0,qwen3-8b__p1d4__l1__r0,5,642.3415,249.4615,0.006347271615942369
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v09,1,qwen3-8b__p1d4__l1__r1,5,626.588,264.7435,0.025025584828619482
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v00,0,qwen3-8b__p1d4__l2__r0,5,426.40549999999996,170.35399999999998,0.017344406519984933
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v00,1,qwen3-8b__p1d4__l2__r1,5,427.3765,169.517,0.0031489763366716315
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v01,0,qwen3-8b__p1d4__l2__r0,5,472.672,178.738,0.01783758375243837
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v01,1,qwen3-8b__p1d4__l2__r1,5,471.426,179.833,0.0018697410066921291
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v02,0,qwen3-8b__p1d4__l2__r0,5,556.7249999999999,219.864,0.016694900485679603
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v02,1,qwen3-8b__p1d4__l2__r1,5,560.8505,219.0395,0.005863827739998234
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v03,0,qwen3-8b__p1d4__l2__r0,5,655.14,243.591,0.015329907000872691
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v03,1,qwen3-8b__p1d4__l2__r1,5,654.871,244.607,0.003886161065318509
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v04,0,qwen3-8b__p1d4__l2__r0,5,749.565,265.909,0.012987320034910583
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v04,1,qwen3-8b__p1d4__l2__r1,5,750.981,266.417,0.003323560308471951
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v05,0,qwen3-8b__p1d4__l2__r0,5,586.13,239.919,0.020485226389638858
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v05,1,qwen3-8b__p1d4__l2__r1,5,588.923,241.247,0.007230921799195956
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v06,0,qwen3-8b__p1d4__l2__r0,5,521.742,216.936,0.03319353351120914
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v06,1,qwen3-8b__p1d4__l2__r1,5,534.819,219.099,0.012392421406467846
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v07,0,qwen3-8b__p1d4__l2__r0,5,662.9905,263.8075,0.012928479202795483
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v07,1,qwen3-8b__p1d4__l2__r1,5,666.7705000000001,264.7595,0.0039030327784630443
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v08,0,qwen3-8b__p1d4__l2__r0,5,654.2935,264.3745,0.014210839040708642
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v08,1,qwen3-8b__p1d4__l2__r1,5,655.163,265.54150000000004,0.013555581529678803
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v09,0,qwen3-8b__p1d4__l2__r0,5,612.7674999999999,264.553,0.0058898883494946375
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v09,1,qwen3-8b__p1d4__l2__r1,5,615.5174999999999,266.36850000000004,0.01790005528277953
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v00,0,qwen3-8b__p1d4__l3__r0,5,428.6825,174.4325,0.0035446293893254825
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v00,1,qwen3-8b__p1d4__l3__r1,5,429.3155,170.59199999999998,0.0022315815691375503
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v01,0,qwen3-8b__p1d4__l3__r0,5,473.574,179.469,0.0017387818428038194
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v01,1,qwen3-8b__p1d4__l3__r1,5,474.708,179.731,0.0020565374686520982
