slice_type,slice_value,points,max_edge_wape,r61_graph_wape,phase65_wape,phase67_wape,phase69_wape,max_edge_signed_bias,r61_graph_signed_bias,phase65_signed_bias,phase67_signed_bias,phase69_signed_bias
configuration,P1D4,60,0.6663658049463461,0.025441699440311695,0.07262845218875567,0.010577991257649947,0.0020330337877100197,-0.6663658049463461,0.025164499349295433,-0.07262845218875562,0.007292539256473639,0.0006183722124434139
configuration,P2D2_ALL_TO_ALL,60,0.4105455520071242,0.02331978759904779,0.05170857269997458,0.031100471212676832,0.007846073785388201,-0.4105455520071242,-0.02235871549553043,-0.051433480161679035,0.031077183758715193,0.002845891367927522
configuration,P2D2_MATCHING,60,0.02650372517428199,0.08446759727105972,0.04519896435630687,0.0073065036699317115,0.0073065036699317115,0.026456692603941224,-0.08446759727105957,-0.045198964356306784,0.00300386284872376,0.00300386284872376
configuration,P4D1,60,0.6647070739186842,0.03063393774365262,0.055154304186516276,0.011756196145209735,0.0038485592852920514,-0.6647070739186842,0.03026131552922775,-0.05515430418651628,0.009657970364960619,0.0021647174819026363
configuration_topology,P1D4/L1,20,0.6681836105969198,0.021055373145414044,0.0775991761310802,0.010326309430072645,0.00213590632055934,-0.6681836105969198,0.02022368216340612,-0.07759917613108011,0.006933442532001703,0.00025854748587243964
configuration_topology,P1D4/L2,20,0.6659589989319645,0.026427686405403147,0.07106033223700285,0.010849050186215632,0.002046966758510633,-0.6659589989319644,0.026427686405403137,-0.07106033223700273,0.00728871132432658,0.0006142038200516879
configuration_topology,P1D4/L3,20,0.6649552086204588,0.02884106651381124,0.06922685485519038,0.010558603636732089,0.0019162589073413961,-0.6649552086204586,0.028841066513811266,-0.06922685485519041,0.007655366473224314,0.0009822676237800304
configuration_topology,P2D2_ALL_TO_ALL/L1,20,0.4118133721048032,0.024447991066247596,0.053706702697148036,0.03316387095477094,0.005483744368871307,-0.4118133721048032,-0.024447991066247534,-0.05333264879192001,0.03316387095477087,0.004835881650207015
configuration_topology,P2D2_ALL_TO_ALL/L2,20,0.41430273651792815,0.02925138412287117,0.05744916257545179,0.023051138568630433,0.009209943235617364,-0.41430273651792815,-0.028553604075058896,-0.057449162575451816,0.022981802511250624,-0.00503681089231903
configuration_topology,P2D2_ALL_TO_ALL/L3,20,0.40547517591453236,0.016189027840080535,0.043900483081455235,0.037179941901107336,0.00883022833258233,-0.40547517591453236,-0.013999743185337537,-0.04344608445375994,0.03717994190110725,0.008830228332582395
configuration_topology,P2D2_MATCHING/L1,20,0.026047516719320568,0.08542032328795574,0.04595842424782732,0.007384784668966287,0.007384784668966287,0.025905744679946302,-0.08542032328795579,-0.04595842424782734,0.006375715129047363,0.006375715129047363
configuration_topology,P2D2_MATCHING/L2,20,0.02807031369355657,0.08292770696830087,0.04347097892773668,0.008536415508084174,0.008536415508084174,0.028070313693556555,-0.08292770696830093,-0.04347097892773668,0.0038398175380982983,0.0038398175380982983
