model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v00,461.322,448.6965,461.322,0.02736808563216146,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v01,503.878,490.525,503.878,0.02650046241352075,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v02,591.5975000000001,589.2860000000001,591.5975000000001,0.003907217322588454,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v03,692.531,691.983,692.531,0.000791300317242119,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v04,788.219,786.015,788.219,0.0027961772045587132,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v05,554.663,534.892,554.663,0.0356450673652289,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v06,512.567,509.93,512.567,0.005144693279122535,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v07,594.4675,648.856,648.856,0.0838221423551605,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v08,600.144,594.921,600.144,0.008702911301287619,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__third_blind_v09,557.3475,562.386,562.386,0.008959149054208318,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v00,157.7345,160.0095,160.0095,0.014217905811842457,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v01,170.3195,172.889,172.889,0.014862136978061095,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v02,203.7,204.096,204.096,0.0019402634054563293,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v03,230.05,227.8755,230.05,0.009452292979787103,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v04,251.07150000000001,251.924,251.924,0.0033839570664168242,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v05,169.746,170.76049999999998,170.76049999999998,0.005941069509634663,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v06,202.0625,202.901,202.901,0.004132557256987449,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v07,225.937,227.388,227.388,0.006381163473886016,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v08,250.483,251.3895,251.3895,0.0036059580849637477,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__third_blind_v09,250.22750000000002,255.26100000000002,255.26100000000002,0.01971903267635872,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v00,165.9375,165.2715,165.9375,0.0040135593220338795,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v01,178.0165,178.028,178.028,6.459658031311848e-05,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v02,218.277,216.881,218.277,0.006395543277578429,False
