parallelism,model,parallel_size,policy,phase,split,rows
tp,qwen3-30b-a3b,2,balanced,decode,external_synthetic,1
tp,qwen3-30b-a3b,2,balanced,decode,external_test,8
tp,qwen3-30b-a3b,2,balanced,decode,temporal_test,5
tp,qwen3-30b-a3b,2,balanced,decode,train,5
tp,qwen3-30b-a3b,2,balanced,decode,validation,5
tp,qwen3-30b-a3b,2,balanced,prefill,external_synthetic,1
tp,qwen3-30b-a3b,2,balanced,prefill,external_test,8
tp,qwen3-30b-a3b,2,balanced,prefill,temporal_test,5
tp,qwen3-30b-a3b,2,balanced,prefill,train,5
tp,qwen3-30b-a3b,2,balanced,prefill,validation,5
tp,qwen3-30b-a3b,2,latency,decode,external_synthetic,1
tp,qwen3-30b-a3b,2,latency,decode,external_test,8
tp,qwen3-30b-a3b,2,latency,decode,temporal_test,5
tp,qwen3-30b-a3b,2,latency,decode,train,5
tp,qwen3-30b-a3b,2,latency,decode,validation,5
tp,qwen3-30b-a3b,2,latency,prefill,external_synthetic,1
tp,qwen3-30b-a3b,2,latency,prefill,external_test,8
tp,qwen3-30b-a3b,2,latency,prefill,temporal_test,5
tp,qwen3-30b-a3b,2,latency,prefill,train,5
tp,qwen3-30b-a3b,2,latency,prefill,validation,5
tp,qwen3-30b-a3b,2,throughput,decode,external_synthetic,1
tp,qwen3-30b-a3b,2,throughput,decode,external_test,8
tp,qwen3-30b-a3b,2,throughput,decode,temporal_test,5
tp,qwen3-30b-a3b,2,throughput,decode,train,5
tp,qwen3-30b-a3b,2,throughput,decode,validation,5
tp,qwen3-30b-a3b,2,throughput,prefill,external_synthetic,1
tp,qwen3-30b-a3b,2,throughput,prefill,external_test,8
tp,qwen3-30b-a3b,2,throughput,prefill,temporal_test,5
tp,qwen3-30b-a3b,2,throughput,prefill,train,5
tp,qwen3-30b-a3b,2,throughput,prefill,validation,5
tp,qwen3-30b-a3b,4,balanced,decode,external_synthetic,1
tp,qwen3-30b-a3b,4,balanced,decode,external_test,8
tp,qwen3-30b-a3b,4,balanced,decode,temporal_test,5
tp,qwen3-30b-a3b,4,balanced,decode,train,5
tp,qwen3-30b-a3b,4,balanced,decode,validation,5
tp,qwen3-30b-a3b,4,balanced,prefill,external_synthetic,1
tp,qwen3-30b-a3b,4,balanced,prefill,external_test,8
tp,qwen3-30b-a3b,4,balanced,prefill,temporal_test,5
tp,qwen3-30b-a3b,4,balanced,prefill,train,5
tp,qwen3-30b-a3b,4,balanced,prefill,validation,5
tp,qwen3-30b-a3b,4,latency,decode,external_synthetic,1
tp,qwen3-30b-a3b,4,latency,decode,external_test,8
tp,qwen3-30b-a3b,4,latency,decode,temporal_test,5
tp,qwen3-30b-a3b,4,latency,decode,train,5
tp,qwen3-30b-a3b,4,latency,decode,validation,5
tp,qwen3-30b-a3b,4,latency,prefill,external_synthetic,1
tp,qwen3-30b-a3b,4,latency,prefill,external_test,8
tp,qwen3-30b-a3b,4,latency,prefill,temporal_test,5
tp,qwen3-30b-a3b,4,latency,prefill,train,5
tp,qwen3-30b-a3b,4,latency,prefill,validation,5
tp,qwen3-30b-a3b,4,throughput,decode,external_synthetic,1
tp,qwen3-30b-a3b,4,throughput,decode,external_test,8
tp,qwen3-30b-a3b,4,throughput,decode,temporal_test,5
tp,qwen3-30b-a3b,4,throughput,decode,train,5
tp,qwen3-30b-a3b,4,throughput,decode,validation,5
tp,qwen3-30b-a3b,4,throughput,prefill,external_synthetic,1
tp,qwen3-30b-a3b,4,throughput,prefill,external_test,8
tp,qwen3-30b-a3b,4,throughput,prefill,temporal_test,5
tp,qwen3-30b-a3b,4,throughput,prefill,train,5
tp,qwen3-30b-a3b,4,throughput,prefill,validation,5
tp,qwen3-30b-a3b,8,balanced,decode,external_synthetic,1
tp,qwen3-30b-a3b,8,balanced,decode,external_test,8
tp,qwen3-30b-a3b,8,balanced,decode,temporal_test,5
tp,qwen3-30b-a3b,8,balanced,decode,train,5
tp,qwen3-30b-a3b,8,balanced,decode,validation,5
tp,qwen3-30b-a3b,8,balanced,prefill,external_synthetic,1
tp,qwen3-30b-a3b,8,balanced,prefill,external_test,8
tp,qwen3-30b-a3b,8,balanced,prefill,temporal_test,5
tp,qwen3-30b-a3b,8,balanced,prefill,train,5
tp,qwen3-30b-a3b,8,balanced,prefill,validation,5
tp,qwen3-30b-a3b,8,latency,decode,external_synthetic,1
tp,qwen3-30b-a3b,8,latency,decode,external_test,8
tp,qwen3-30b-a3b,8,latency,decode,temporal_test,5
tp,qwen3-30b-a3b,8,latency,decode,train,5
tp,qwen3-30b-a3b,8,latency,decode,validation,5
tp,qwen3-30b-a3b,8,latency,prefill,external_synthetic,1
tp,qwen3-30b-a3b,8,latency,prefill,external_test,8
tp,qwen3-30b-a3b,8,latency,prefill,temporal_test,5
tp,qwen3-30b-a3b,8,latency,prefill,train,5
tp,qwen3-30b-a3b,8,latency,prefill,validation,5
tp,qwen3-30b-a3b,8,throughput,decode,external_synthetic,1
tp,qwen3-30b-a3b,8,throughput,decode,external_test,8
tp,qwen3-30b-a3b,8,throughput,decode,temporal_test,5
tp,qwen3-30b-a3b,8,throughput,decode,train,5
tp,qwen3-30b-a3b,8,throughput,decode,validation,5
tp,qwen3-30b-a3b,8,throughput,prefill,external_synthetic,1
tp,qwen3-30b-a3b,8,throughput,prefill,external_test,8
tp,qwen3-30b-a3b,8,throughput,prefill,temporal_test,5
tp,qwen3-30b-a3b,8,throughput,prefill,train,5
tp,qwen3-30b-a3b,8,throughput,prefill,validation,5
tp,qwen3-8b,2,balanced,decode,external_synthetic,1
tp,qwen3-8b,2,balanced,decode,external_test,8
tp,qwen3-8b,2,balanced,decode,temporal_test,5
tp,qwen3-8b,2,balanced,decode,train,5
tp,qwen3-8b,2,balanced,decode,validation,5
tp,qwen3-8b,2,balanced,prefill,external_synthetic,1
tp,qwen3-8b,2,balanced,prefill,external_test,8
tp,qwen3-8b,2,balanced,prefill,temporal_test,5
tp,qwen3-8b,2,balanced,prefill,train,5
tp,qwen3-8b,2,balanced,prefill,validation,5
tp,qwen3-8b,2,latency,decode,external_synthetic,1
tp,qwen3-8b,2,latency,decode,external_test,8
tp,qwen3-8b,2,latency,decode,temporal_test,5
tp,qwen3-8b,2,latency,decode,train,5
tp,qwen3-8b,2,latency,decode,validation,5
tp,qwen3-8b,2,latency,prefill,external_synthetic,1
tp,qwen3-8b,2,latency,prefill,external_test,8
tp,qwen3-8b,2,latency,prefill,temporal_test,5
tp,qwen3-8b,2,latency,prefill,train,5
tp,qwen3-8b,2,latency,prefill,validation,5
tp,qwen3-8b,2,throughput,decode,external_synthetic,1
tp,qwen3-8b,2,throughput,decode,external_test,8
tp,qwen3-8b,2,throughput,decode,temporal_test,5
tp,qwen3-8b,2,throughput,decode,train,5
tp,qwen3-8b,2,throughput,decode,validation,5
tp,qwen3-8b,2,throughput,prefill,external_synthetic,1
tp,qwen3-8b,2,throughput,prefill,external_test,8
tp,qwen3-8b,2,throughput,prefill,temporal_test,5
tp,qwen3-8b,2,throughput,prefill,train,5
tp,qwen3-8b,2,throughput,prefill,validation,5
tp,qwen3-8b,4,balanced,decode,external_synthetic,1
tp,qwen3-8b,4,balanced,decode,external_test,8
tp,qwen3-8b,4,balanced,decode,temporal_test,5
tp,qwen3-8b,4,balanced,decode,train,5
tp,qwen3-8b,4,balanced,decode,validation,5
tp,qwen3-8b,4,balanced,prefill,external_synthetic,1
tp,qwen3-8b,4,balanced,prefill,external_test,8
tp,qwen3-8b,4,balanced,prefill,temporal_test,5
tp,qwen3-8b,4,balanced,prefill,train,5
tp,qwen3-8b,4,balanced,prefill,validation,5
tp,qwen3-8b,4,latency,decode,external_synthetic,1
tp,qwen3-8b,4,latency,decode,external_test,8
tp,qwen3-8b,4,latency,decode,temporal_test,5
tp,qwen3-8b,4,latency,decode,train,5
tp,qwen3-8b,4,latency,decode,validation,5
tp,qwen3-8b,4,latency,prefill,external_synthetic,1
tp,qwen3-8b,4,latency,prefill,external_test,8
tp,qwen3-8b,4,latency,prefill,temporal_test,5
tp,qwen3-8b,4,latency,prefill,train,5
tp,qwen3-8b,4,latency,prefill,validation,5
tp,qwen3-8b,4,throughput,decode,external_synthetic,1
tp,qwen3-8b,4,throughput,decode,external_test,8
tp,qwen3-8b,4,throughput,decode,temporal_test,5
tp,qwen3-8b,4,throughput,decode,train,5
tp,qwen3-8b,4,throughput,decode,validation,5
tp,qwen3-8b,4,throughput,prefill,external_synthetic,1
tp,qwen3-8b,4,throughput,prefill,external_test,8
tp,qwen3-8b,4,throughput,prefill,temporal_test,5
tp,qwen3-8b,4,throughput,prefill,train,5
tp,qwen3-8b,4,throughput,prefill,validation,5
tp,qwen3-8b,8,balanced,decode,external_synthetic,1
tp,qwen3-8b,8,balanced,decode,external_test,8
tp,qwen3-8b,8,balanced,decode,temporal_test,5
tp,qwen3-8b,8,balanced,decode,train,5
tp,qwen3-8b,8,balanced,decode,validation,5
tp,qwen3-8b,8,balanced,prefill,external_synthetic,1
tp,qwen3-8b,8,balanced,prefill,external_test,8
tp,qwen3-8b,8,balanced,prefill,temporal_test,5
tp,qwen3-8b,8,balanced,prefill,train,5
tp,qwen3-8b,8,balanced,prefill,validation,5
tp,qwen3-8b,8,latency,decode,external_synthetic,1
tp,qwen3-8b,8,latency,decode,external_test,8
tp,qwen3-8b,8,latency,decode,temporal_test,5
tp,qwen3-8b,8,latency,decode,train,5
tp,qwen3-8b,8,latency,decode,validation,5
tp,qwen3-8b,8,latency,prefill,external_synthetic,1
tp,qwen3-8b,8,latency,prefill,external_test,8
tp,qwen3-8b,8,latency,prefill,temporal_test,5
tp,qwen3-8b,8,latency,prefill,train,5
tp,qwen3-8b,8,latency,prefill,validation,5
tp,qwen3-8b,8,throughput,decode,external_synthetic,1
tp,qwen3-8b,8,throughput,decode,external_test,8
tp,qwen3-8b,8,throughput,decode,temporal_test,5
tp,qwen3-8b,8,throughput,decode,train,5
tp,qwen3-8b,8,throughput,decode,validation,5
tp,qwen3-8b,8,throughput,prefill,external_synthetic,1
tp,qwen3-8b,8,throughput,prefill,external_test,8
tp,qwen3-8b,8,throughput,prefill,temporal_test,5
tp,qwen3-8b,8,throughput,prefill,train,5
tp,qwen3-8b,8,throughput,prefill,validation,5
