method,phase,model,parallel_size,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
enhanced_bounded_residual,decode,all,2,all,all,162,0.1274353067499963,0.07915198006230985,0.018744067616501922,0.016338718352449853,0.3232987076804001,0.16164935384020004,0.01747847281500686,0.12179052252541518,0.07677563179414754
enhanced_bounded_residual,decode,all,2,all,burstgpt_1,27,0.07817039306989278,0.07280552955227992,0.01660453061652743,0.015030223014783815,0.2707782482146766,0.1353891241073383,0.011518029999188988,0.075378185892194,0.06911826018872506
enhanced_bounded_residual,decode,all,2,all,burstgpt_2,27,0.41126119270252465,0.32564201185056635,0.02958576614186711,0.022742708560764185,0.5016719058394901,0.25083595291974503,0.028902775646328913,0.3942959485249684,0.3127160245534419
enhanced_bounded_residual,decode,all,2,all,burstgpt_3,27,0.10474575330158195,0.10406166428625599,0.012910773994519174,0.011681282567101742,0.4066105251163992,0.2033052625581996,0.022719114139577834,0.09956775486407718,0.09888831828626521
enhanced_bounded_residual,decode,all,2,all,mooncake_conversation,36,0.05929303626063725,0.04878115904584693,0.014020834561254787,0.013901358102149191,0.2502128679724422,0.1251064339862211,0.014385048428482186,0.05580964785055695,0.04756752780153366
enhanced_bounded_residual,decode,all,2,all,mooncake_synthetic,9,0.13177844652610668,0.11755868206546641,0.026045925100542405,0.02451259100025122,0.5928928119174921,0.29644640595874605,0.03128493442268387,0.12333626186198002,0.1140461381101337
enhanced_bounded_residual,decode,all,2,all,mooncake_toolagent,36,0.03558822817732008,0.03581952030643845,0.019490185373182974,0.020024741414578377,0.17211260423206076,0.08605630211603038,0.009091905794555913,0.03448222108738659,0.03520083861073891
enhanced_bounded_residual,decode,all,2,balanced,all,54,0.12234144992893826,0.08296859697941789,0.01833012072918138,0.015369506585206786,0.33179049360979207,0.16589524680489603,0.016442302191798416,0.11802200153186665,0.07958796390955829
enhanced_bounded_residual,decode,all,2,balanced,burstgpt_1,9,0.03658777870810612,0.03437251325743402,0.010345060606271128,0.007908405169918482,0.34217447877186474,0.17108723938593237,0.014257510382306611,0.03584942365467312,0.032610760836131465
enhanced_bounded_residual,decode,all,2,balanced,burstgpt_2,9,0.46066388307003375,0.39222963405125527,0.032476642155040876,0.025636613297756322,0.5010363803769124,0.2505181901884562,0.027840850430094804,0.44538198049077454,0.375157841583793
