workload_id,phase,group_size,batch_size,input_len,output_len,repeat_count,calls,logical_payload_bytes,message_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,rank0_median_us,rank0_iqr_fraction,intrinsic_median_us,intrinsic_iqr_fraction,post_rendezvous_median_us,post_rendezvous_iqr_fraction,sync_inclusive_median_us,sync_inclusive_iqr_fraction,post_rendezvous_over_intrinsic,sync_inclusive_over_intrinsic
decode-tp2-b1-l128-m32,decode,2,1,128,32,3,2263,18538496,8192,18538496.0,4526,50460.4205,1.8706386263170358,9708.452125,0.08495964927055791,11406.89501953125,0.03395144050287225,591358.4645,0.2128559716633599,1.1749447669580233,60.911714543784704
decode-tp2-b1-l128-m128,decode,2,1,128,128,3,9271,75948032,8192,75948032.0,18542,1099705.446,1.581739388444385,39662.798500000004,0.0807078325549824,49300.37060546875,0.03162904063686688,2402109.369,0.2677384638944389,1.242987698043262,60.56328498857688
decode-tp2-b1-l128-m512,decode,2,1,128,512,3,37303,305586176,8192,305586176.0,74606,2918224.0377499997,1.4147015522009336,158799.445875,0.07116637041917527,192810.30541992188,0.04268348904335875,9020241.559874998,0.16376331762510696,1.2141749258476238,56.80272692497516
decode-tp2-b1-l2048-m32,decode,2,1,2048,32,3,2263,18538496,8192,18538496.0,4526,88513.955125,0.9175231656726853,9789.06375,0.07247220144010211,11977.838806152344,0.03817411346783917,492512.6085,0.25500168261174583,1.223593911741799,50.31253458738585
decode-tp2-b1-l2048-m128,decode,2,1,2048,128,3,9271,75948032,8192,75948032.0,18542,285850.0125,2.389035643080477,39936.975625,0.07155540273838654,49044.27770996094,0.01313572193760868,1501263.2693749997,0.14640556959340195,1.2280418570118237,37.59081016728842
decode-tp2-b1-l2048-m512,decode,2,1,2048,512,3,37303,305586176,8192,305586176.0,74606,454873.0375000001,6.202841756420877,160408.2655,0.07907030825665269,199913.8416748047,0.06590314897807438,8609078.823624998,0.19750043365081668,1.2462814247860854,53.66979561053229
decode-tp2-b1-l8192-m32,decode,2,1,8192,32,3,2263,18538496,8192,18538496.0,4526,290937.232,0.8319740581105824,9774.117875,0.0227844794126754,11943.236267089844,0.06658446596927566,552571.686875,0.26614828931828444,1.2219247219882585,56.53417463772914
decode-tp2-b1-l8192-m128,decode,2,1,8192,128,3,9271,75948032,8192,75948032.0,18542,41046.733375,5.277730959022997,40750.64875000001,0.08599671986817134,48735.54461669922,0.011444635182620625,2191052.0218750006,0.07997060187898015,1.195945245330584,53.76729178759394
decode-tp2-b1-l8192-m512,decode,2,1,8192,512,3,37303,305586176,8192,305586176.0,74606,164723.72437500002,7.32364702027458,164337.3445,0.08370776384913535,196602.16619873047,0.010139157409098098,7636499.4221250005,0.1827303960299649,1.196332865161579,46.46843628488229
decode-tp2-b2-l128-m32,decode,2,2,128,32,3,2263,37076992,16384,37076992.0,4526,156060.08375,0.7797865076277074,9858.825375,0.07558545609192306,11959.496887207031,0.03045720414245884,488362.344,0.16412872682501475,1.2130752328298573,49.53555067912946
decode-tp2-b2-l128-m128,decode,2,2,128,128,3,9271,151896064,16384,151896064.0,18542,59959.192375000006,0.7222160591184914,40955.801375,0.08184796811340615,48880.186950683594,0.03406016781984066,1790744.3865,0.23465316409355666,1.1934862781251974,43.723827306016176
decode-tp2-b2-l128-m512,decode,2,2,128,512,3,37303,611172352,16384,611172352.0,74606,2486706.1275,0.4802999654258503,162679.27724999998,0.0668077435628022,201559.58978271484,0.050996908485826525,6376875.224125,0.467304119653508,1.238999786512236,39.19906291644777
decode-tp2-b2-l2048-m32,decode,2,2,2048,32,3,2263,37076992,16384,37076992.0,4526,103349.29575000002,1.1596363339273161,9921.809624999998,0.08349004302730711,11750.585571289062,0.026635754948091693,536375.0510000001,0.12934165036788783,1.184318790161131,54.060203861248766
decode-tp2-b2-l2048-m128,decode,2,2,2048,128,3,9271,151896064,16384,151896064.0,18542,307692.93299999996,2.9729474138994934,40425.417625,0.07829543727564625,50645.970642089844,0.04620301821517238,2266671.187375,0.19576811817548656,1.2528249209915203,56.07044578738598
decode-tp2-b2-l2048-m512,decode,2,2,2048,512,3,37303,611172352,16384,611172352.0,74606,1587212.7565,0.41743892605868205,164985.35637499997,0.07554160160839919,196020.3360595703,0.006430385974313778,8207126.032000001,0.29232229309269603,1.1881074803634697,49.74457256282665
decode-tp2-b2-l8192-m32,decode,2,2,8192,32,3,2263,37076992,16384,37076992.0,4526,120709.18725,0.400277691477042,10004.781125,0.042574613295200944,11804.26416015625,0.038954235019099996,511785.38599999994,0.22084101515845161,1.1798623090973668,51.15408119435496
decode-tp2-b2-l8192-m128,decode,2,2,8192,128,3,9271,151896064,16384,151896064.0,18542,452092.26637500006,0.8409741461317868,41028.318375,0.05969678010231137,48274.07666015625,0.011204312449981824,2004655.010875,0.08499435857451097,1.1766038329655584,48.86027724929878
decode-tp2-b2-l8192-m512,decode,2,2,8192,512,3,37303,611172352,16384,611172352.0,74606,166657.7955,9.544203916716874,166093.77925000002,0.04398791059780169,189381.1723022461,0.02478583452032812,9092226.577,0.33858246599352215,1.1402062928389058,54.74152384307312
decode-tp2-b4-l128-m32,decode,2,4,128,32,3,2263,74153984,32768,74153984.0,4526,10046.666000000001,8.753712363385027,10002.184874999999,0.047026993939661726,12044.481994628906,0.0364963618315212,459957.54000000004,0.2914863993478615,1.204185100070839,45.98570669790785
decode-tp2-b4-l128-m128,decode,2,4,128,128,3,9271,303792128,32768,303792128.0,18542,1180281.612,0.837498934745753,40238.092625,0.014578746139063632,47511.820861816406,0.06355672065075221,2022954.6155,0.22433742792486294,1.1807672223582792,50.274615011029
decode-tp2-b4-l128-m512,decode,2,4,128,512,3,37303,1222344704,32768,1222344704.0,74606,648430.1285,6.499882283962997,163713.60512500003,0.011749565260818091,191169.54754638672,0.055038529891276416,8595272.114625,0.26642653028006064,1.1677071517692332,52.50188039083412
decode-tp2-b4-l2048-m32,decode,2,4,2048,32,3,2263,74153984,32768,74153984.0,4526,257776.342125,0.9774267975310227,9867.389125000002,0.002346035988521978,12136.865173339844,0.05185556102404401,439888.05474999995,0.29153126188066847,1.2299976234432572,44.579984550877825
decode-tp2-b4-l2048-m128,decode,2,4,2048,128,3,9271,303792128,32768,303792128.0,18542,41149.095375,14.208546338851324,40939.989875,0.026645306113427508,50304.37908935547,0.05428411437823948,1568993.14725,0.14254081587576548,1.2287345268757341,38.32421923015925
decode-tp2-b4-l2048-m512,decode,2,4,2048,512,3,37303,1222344704,32768,1222344704.0,74606,869140.35425,5.13261913409482,164298.63625000004,0.008223342754617497,198088.6322631836,0.057465855885487575,7667241.565374999,0.24983083905304265,1.2056620601632264,46.666495476617186
decode-tp2-b4-l8192-m32,decode,2,4,8192,32,3,2263,74153984,32768,74153984.0,4526,237414.867875,0.6080934556866577,10002.52975,0.02622072306258311,12107.927551269531,0.04942059480547284,349417.88725,0.26897981308196467,1.2104865322964455,34.93295156157871
decode-tp2-b4-l8192-m128,decode,2,4,8192,128,3,9271,303792128,32768,303792128.0,18542,851060.924875,0.9921467091195831,41546.795875,0.017769144032698442,50204.11389160156,0.06210035749543828,1731264.1905,0.2967306974328016,1.20837510653405,41.67022159082442
decode-tp2-b4-l8192-m512,decode,2,4,8192,512,3,37303,1222344704,32768,1222344704.0,74606,1863313.8492499997,1.1716986352386498,167226.985625,0.043105038702691015,201555.37927246094,0.03976985928125088,6217922.542125,0.2908098817068133,1.2052802274654464,37.182530791223186
decode-tp2-b8-l128-m32,decode,2,8,128,32,3,2263,148307968,65536,148307968.0,4526,63809.768375,0.6404473980352385,10147.722125,0.06137888555950197,12560.364074707031,0.04062316643204529,500498.452625,0.3431986970421255,1.2377520708576784,49.32126111257702
decode-tp2-b8-l128-m128,decode,2,8,128,128,3,9271,607584256,65536,607584256.0,18542,52621.8785,0.10175716883615248,41461.674125,0.08021873381119768,54019.58642578125,0.03079430020467927,1774730.03575,0.052014603321619744,1.302880010655654,42.804109414383184
decode-tp2-b8-l128-m512,decode,2,8,128,512,3,37303,2444689408,65536,2444689408.0,74606,330970.675875,13.902702808066412,166862.77037499996,0.011322829057398256,209699.1922607422,0.05466180888363898,9189869.287374998,0.15859303101048877,1.2567164730003797,55.07441394339848
decode-tp2-b8-l2048-m32,decode,2,8,2048,32,3,2263,148307968,65536,148307968.0,4526,106662.78500000002,1.8871970487410392,10099.137375,0.009921614716128145,13153.420715332031,0.0828447904462085,415034.696,0.14141028479821352,1.3024301211995377,41.096054107294485
decode-tp2-b8-l2048-m128,decode,2,8,2048,128,3,9271,607584256,65536,607584256.0,18542,505072.45949999994,0.568777952492973,41718.150625,0.06747421434863735,51914.280822753906,0.04255727376391054,2078034.96,0.26366696857689054,1.2444051340963274,49.81129146110129
decode-tp2-b8-l2048-m512,decode,2,8,2048,512,3,37303,2444689408,65536,2444689408.0,74606,175093.57512499997,0.024948097378110268,166170.17375,0.08596285205785921,210272.10235595703,0.030437526652452026,5113113.39525,0.24455618553006112,1.2654021934905575,30.77034391829298
decode-tp2-b8-l8192-m32,decode,2,8,8192,32,3,2263,148307968,65536,148307968.0,4526,23391.1585,2.4753185161820856,10379.850125,0.07852774752853194,12905.594787597656,0.049966096426893265,512276.581,0.3783614381886022,1.2433315155981268,49.352984371727615
decode-tp2-b8-l8192-m128,decode,2,8,8192,128,3,9271,607584256,65536,607584256.0,18542,242968.84350000005,1.2023603990402165,42268.473374999994,0.051176659038729824,53227.689025878906,0.05641565325055037,1772270.3473750001,0.22528600805253868,1.2592763536466123,41.9288941819986
