workload_id,phase,group_size,batch_size,input_len,output_len,baseline_repeat_count,added_repeat_count,combined_repeat_count,pattern_signature_count,baseline_target_us_median,combined_target_us_median,baseline_iqr_fraction,combined_iqr_fraction,iqr_fraction_reduction,combined_min_us,combined_max_us
decode-tp2-b1-l128-m32,decode,2,1,128,32,3,7,10,1,9929.176,9941.944125,1.6179834434398181,0.001675395404618689,1.6163080480351995,9923.406125,42058.765625
decode-tp2-b1-l128-m128,decode,2,1,128,128,3,7,10,1,40662.89175,40670.940375,0.5230702081093382,0.0026421290978079597,0.5204280790115303,40645.61975,393843.144875
decode-tp2-b1-l2048-m128,decode,2,1,2048,128,3,7,10,1,42111.549,41249.782562500004,0.48576599052435715,0.0022736006209948673,0.4834923899033623,34396.140250000004,82043.2065
decode-tp4-b1-l128-m32,decode,4,1,128,32,3,7,10,1,10290.980875000001,53373.2948125,3.3550470170803806,1.5874056770364011,1.7676413400439794,8603.077374999999,164634.12575
decode-tp4-b1-l128-m128,decode,4,1,128,128,3,7,10,1,101556.708875,42450.4485,1.0929982978684825,1.2441706269605137,-0.15117232909203127,35538.457625,264434.701
decode-tp4-b1-l128-m512,decode,4,1,128,512,3,7,10,1,169169.3605,169129.438625,1.088966766901622,0.000522977590235673,1.0884437893113865,141108.8175,509548.440625
decode-tp4-b1-l8192-m32,decode,4,1,8192,32,3,7,10,1,17519.529875,14998.896625000001,2.7462481495383164,0.6542550113248745,2.091993138213442,10468.30475,128348.9745
decode-tp4-b1-l8192-m128,decode,4,1,8192,128,3,7,10,1,42862.754,42857.9835625,1.0826667323452899,0.17449533108210852,0.9081714012631814,35895.661,128764.28399999999
decode-tp4-b1-l8192-m512,decode,4,1,8192,512,3,7,10,1,171039.1095,172716.69056249998,0.41721060037733654,0.008870721837943017,0.4083398785393935,143001.17825,285719.837375
decode-tp4-b4-l2048-m128,decode,4,4,2048,128,3,7,10,1,61996.526374999994,66914.74425,0.28200112001839567,3.408238341563264,-3.1262372215448684,36866.782375,351607.548625
decode-tp8-b1-l128-m32,decode,8,1,128,32,3,7,10,1,46640.325375,76141.921,0.5139727503991496,0.7411466830144724,-0.22717393261532282,10871.235,116845.68824999999
decode-tp8-b1-l128-m512,decode,8,1,128,512,3,7,10,1,188517.161875,179657.31612499998,3.2712957990340006,0.9397904423568045,2.331505356677196,179380.865125,1412771.6645000002
decode-tp8-b1-l8192-m32,decode,8,1,8192,32,3,7,10,1,11040.940625000001,23613.951624999998,3.3747756885523503,1.862695918540487,1.5120797700118633,10987.543125,160013.94775
decode-tp8-b2-l128-m128,decode,8,2,128,128,3,7,10,1,61541.29487499999,45055.25025,0.8166860435271268,0.27791657241433243,0.5387694711127944,38117.605375,145374.55049999998
decode-tp8-b2-l8192-m32,decode,8,2,8192,32,3,7,10,1,11107.761124999999,12690.985375,0.40663902803365337,2.1055853986436417,-1.6989463706099883,11093.133,98617.3085
decode-tp8-b2-l8192-m128,decode,8,2,8192,128,3,7,10,1,45506.020875,45605.8508125,4.5005583423250695,0.17174206991448612,4.328816272410584,38659.21275,493117.8225
decode-tp8-b4-l2048-m512,decode,8,4,2048,512,3,7,10,1,335700.55575,280697.8890625,2.8564170579646118,2.7927034722479016,0.06371358571671015,185026.7125,2103731.812
decode-tp8-b4-l8192-m32,decode,8,4,8192,32,3,7,10,1,11214.749875,11213.564125,1.0633684607700626,0.001024337010245563,1.062344123759817,11197.157374999999,35058.7525
decode-tp8-b4-l8192-m128,decode,8,4,8192,128,3,7,10,1,46132.702375,47253.5885,0.2835930319267364,0.5135025519014288,-0.2299095199746924,45876.638625,239150.191625
decode-tp8-b4-l8192-m512,decode,8,4,8192,512,3,7,10,1,185511.1405,184977.912,0.20759626124717842,0.31577683346593305,-0.10818057221875463,184407.44437500002,427118.71125
decode-tp8-b8-l8192-m32,decode,8,8,8192,32,3,7,10,1,11363.9645,11451.105500000001,0.6988693789478136,3.4457916148357897,-2.746922235887976,11356.757,145044.50499999998
decode-tp8-b8-l8192-m512,decode,8,8,8192,512,3,7,10,1,187024.78637500003,198595.9661875,4.869044915250473,6.939247883936833,-2.0702029686863597,186857.050625,2187440.5105
decode-tp8-b16-l128-m128,decode,8,16,128,128,3,7,10,1,68378.32400000001,297651.7176875,2.7426123024746847,1.182035531794364,1.5605767706803206,68281.915125,1755051.1635
prefill-tp2-b8-l128-m8,prefill,2,8,128,8,3,7,10,1,1720.6,1716.5645,1.2078646983610368,0.0010005449838909055,1.2068641533771458,1715.485,5874.219
prefill-tp8-b1-l2048-m8,prefill,8,1,2048,8,3,7,10,1,10471.161,4085.7395,1.7467895871336523,0.012842473192429314,1.733947113941223,4080.333,40733.845
