method,phase,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
frozen_hybrid,decode,all,all,162,0.3303532116374085,0.09992489385944929,0.021506678346484624,0.01847647642758909,0.3750286606674588,0.1875143303337294,0.02014928275643714,0.26744225725588705,0.09527577736169711
frozen_hybrid,decode,all,burstgpt_1,27,0.15723825796270724,0.0470537447393911,0.023551064617334774,0.017229666186337717,0.2674897686212142,0.1337448843106071,0.012496098224841413,0.14076939260471755,0.04561077552843572
frozen_hybrid,decode,all,burstgpt_2,27,0.250062639423826,0.07572021296322684,0.027676029437247073,0.023200968247215355,0.2528373524277616,0.1264186762138808,0.01199114420728085,0.2190293211883999,0.07348274374069245
frozen_hybrid,decode,all,burstgpt_3,27,0.10758291333721039,0.03693007670621399,0.02657684135328035,0.020256717688279375,0.177359442425777,0.0886797212128885,0.008287034309010271,0.09335348608621535,0.035593899381082164
frozen_hybrid,decode,all,mooncake_conversation,36,0.3719611965210843,0.141935157287836,0.018767234989411737,0.01877045686954582,0.5073979769004144,0.2536989884502072,0.026277824689570337,0.2869060081103547,0.13181315512497416
frozen_hybrid,decode,all,mooncake_synthetic,9,0.15495458574089108,0.09143931106898204,0.01825809123343761,0.01825809123343761,0.23370807290878715,0.11685403645439357,0.014504518027959925,0.13080042044556298,0.08739082549637882
frozen_hybrid,decode,all,mooncake_toolagent,36,0.6897267513692239,0.3019415586717826,0.015095343205513019,0.015051274999527303,0.5985390552698887,0.29926952763494435,0.03618711065155741,0.5440198945202466,0.28097109217972455
frozen_hybrid,decode,mb1,all,54,0.06832364411620495,0.04719300145581988,0.016983654288973755,0.013093812774728267,0.1528209871258062,0.0764104935629031,0.006766224131740541,0.06635895719745798,0.04618523864710184
frozen_hybrid,decode,mb1,burstgpt_1,9,0.022409927737988323,0.011625705339238361,0.022409927737988323,0.011625705339238361,0.0,0.0,0.0,0.02240992773798843,0.01162570533923847
frozen_hybrid,decode,mb1,burstgpt_2,9,0.02435552234741851,0.01905833183269969,0.022528314863668228,0.015831531116038435,0.0038873653618825953,0.0019436826809412977,0.00016197355674512986,0.024326068050105343,0.019006314928495374
frozen_hybrid,decode,mb1,burstgpt_3,9,0.020220260309205818,0.014935331623085302,0.018082963258357662,0.013778178445964436,0.028471540742510095,0.014235770371255048,0.0011863141976045976,0.020005262854208058,0.014665290957830666
frozen_hybrid,decode,mb1,mooncake_conversation,12,0.07099988933317049,0.07067057769120179,0.01374172230419488,0.013733798473493842,0.26969814644714607,0.13484907322357303,0.012414500067403541,0.0685252048012641,0.06823455665807937
frozen_hybrid,decode,mb1,mooncake_synthetic,3,0.07984578917397979,0.08007080657425823,0.004923033157379001,0.004923033157379,0.1066179604125097,0.05330898020625485,0.00472389434921595,0.07807624684644168,0.07829254074310464
frozen_hybrid,decode,mb1,mooncake_toolagent,12,0.1662557791002974,0.17101429916378202,0.014188059311831619,0.014158001916306921,0.36707262593756,0.18353631296878,0.015841319122362613,0.16051509689396004,0.1649887033777892
frozen_hybrid,decode,mb16,all,54,0.7696653793861282,0.5749842642805904,0.02470703970167663,0.02200850254621676,0.7725196567163098,0.3862598283581549,0.044058457177447656,0.5951835863487813,0.4718396939545127
frozen_hybrid,decode,mb16,burstgpt_1,9,0.37399581765988277,0.3556942715970475,0.027388164770574222,0.027372777440194583,0.6515257574805442,0.3257628787402721,0.031198657703605623,0.3281008996286605,0.30940471427927685
frozen_hybrid,decode,mb16,burstgpt_2,9,0.5315954360342826,0.36290340933800974,0.025578587017441347,0.02047735667765011,0.590828850193733,0.2954144250968665,0.028986362463456587,0.4498081745759845,0.32485019281392347
frozen_hybrid,decode,mb16,burstgpt_3,9,0.18334635062602772,0.13089387107347214,0.039652275608240646,0.028205787446750532,0.4091096075861602,0.2045548037930801,0.019737154375158487,0.14787931776131125,0.10982497088311485
frozen_hybrid,decode,mb16,mooncake_conversation,12,0.9283287841515663,0.9505219015079338,0.016468085782455965,0.016470228721949247,0.9915204928152997,0.4957602464076499,0.05420966193000432,0.6878900953345726,0.7011072578462567
frozen_hybrid,decode,mb16,mooncake_synthetic,3,0.31986686669098763,0.32412029875004145,0.03284453085330052,0.03284453085330052,0.4294513999401232,0.2147256999700616,0.030565000760849465,0.2525331623999209,0.2551605204257426
frozen_hybrid,decode,mb16,mooncake_toolagent,12,1.6384955031731196,1.6815843826037213,0.017038189614571566,0.01698383781804169,1.138856950977736,0.569428475488868,0.07647051427163225,1.2329614586604956,1.2582162165944824
frozen_hybrid,decode,mb4,all,54,0.15307061140989248,0.11272639046798431,0.022829341048803492,0.020327113961822255,0.19974533816026027,0.09987266908013014,0.009623166960123218,0.14078422822142192,0.10457184634265564
frozen_hybrid,decode,mb4,burstgpt_1,9,0.0753090284902506,0.055228928534390445,0.02085510134344178,0.012690515779580205,0.15094354838309842,0.07547177419154921,0.0062896369709186115,0.07179735044750377,0.052007329785716046
frozen_hybrid,decode,mb4,burstgpt_2,9,0.19423695988977688,0.1414944074761353,0.03492118643063166,0.03329401694795752,0.16379584172766917,0.08189792086383459,0.0068250966016408275,0.18295372093910992,0.13343286252559208
frozen_hybrid,decode,mb4,burstgpt_3,9,0.1191821290763976,0.08702094998392315,0.021995285193242745,0.018786187172123152,0.09449717894866078,0.04724858947433039,0.003937634354267728,0.1121758776431267,0.08215177633870573
frozen_hybrid,decode,mb4,mooncake_conversation,12,0.11655491607851627,0.11334076142867018,0.026091896881584378,0.026107343413194366,0.26097529143879766,0.13048764571939883,0.012209312071303146,0.10430272419522739,0.10172824380464081
frozen_hybrid,decode,mb4,mooncake_synthetic,3,0.06515110135770584,0.06465179216024036,0.017006709689633314,0.017006709689633314,0.1650548583737285,0.08252742918686425,0.00822465897381436,0.06179185209032639,0.06135806622595573
frozen_hybrid,decode,mb4,mooncake_toolagent,12,0.26442897183425473,0.2644636991056813,0.014059780690135866,0.014011985264233294,0.28968758889437013,0.14484379444718506,0.01624949856067736,0.23858312800628445,0.2387332952872853
frozen_hybrid,prefill,all,all,162,0.15233432188338708,0.10447154987917445,0.03377396592279665,0.016672590174631418,0.5374660280730787,0.2687330140365394,0.03223096051717057,0.04167215489627006,0.01773413719781854
frozen_hybrid,prefill,all,burstgpt_1,27,0.14002096571212633,0.07641474950990092,0.015830249246195565,0.014517448500594216,0.5727747207820666,0.2863873603910333,0.0285488892096017,0.017324910527395505,0.016082785305317433
frozen_hybrid,prefill,all,burstgpt_2,27,0.3248663037910766,0.2691299438813041,0.042130249286305994,0.027876767048229677,0.8106907844996418,0.4053453922498209,0.05037679994811274,0.07282798480588341,0.04018874325557996
frozen_hybrid,prefill,all,burstgpt_3,27,0.2679389885399597,0.2394949275516982,0.09592230918933758,0.0524711207186952,0.8451923393325692,0.4225961696662846,0.05905289541063992,0.11060397168440259,0.06398524881056417
frozen_hybrid,prefill,all,mooncake_conversation,36,0.049626373464175776,0.04950391998197513,0.00968184480968257,0.009664550397211895,0.27542061474817287,0.13771030737408643,0.014029874407378937,0.009751613044655879,0.009728563946426908
frozen_hybrid,prefill,all,mooncake_synthetic,9,0.08223509263723494,0.08189924380277705,0.05077337100330625,0.05077337100330625,0.40580070369866755,0.20290035184933378,0.034542448240222574,0.051290172083102985,0.05128458785644533
frozen_hybrid,prefill,all,mooncake_toolagent,36,0.06569960831938537,0.06575346641818375,0.014195553300696419,0.01419709094608586,0.3702329521953065,0.18511647609765325,0.018889897433567206,0.014382890704522517,0.014382118972574071
frozen_hybrid,prefill,mb1,all,54,0.04462868278841871,0.053911633722990855,0.03063766141598701,0.01269318627753341,0.36558056392768656,0.18279028196384328,0.017633367578456394,0.026099981284892857,0.013279798904473353
frozen_hybrid,prefill,mb1,burstgpt_1,9,2.6526928801710394e-16,2.65269288017104e-16,0.01185923003998478,0.012022813778284637,0.1553371422907551,0.07766857114537755,0.008161870758975296,0.010847151127371724,0.011084199017676188
frozen_hybrid,prefill,mb1,burstgpt_2,9,0.01079161979752474,0.010787992495309004,0.038788095561264585,0.030225784328050325,0.3996111559708568,0.1998055779854284,0.0183324473052887,0.03189073642565294,0.028218947943760384
frozen_hybrid,prefill,mb1,burstgpt_3,9,0.01976152703281185,0.01991710353020148,0.0987792357166559,0.059099995443350574,0.20280594530330132,0.10140297265165066,0.01394433804121147,0.07729850909622214,0.053453181617259135
frozen_hybrid,prefill,mb1,mooncake_conversation,12,0.06392950972224548,0.06375234270773013,0.00546371218923071,0.0053977412540140365,0.3149061193351621,0.15745305966758105,0.015355828769992731,0.005524886808005887,0.0054524665164425775
