policy,frozen_method,h0_calls_mape,frozen_hybrid_calls_mape,delta_calls_mape,relative_change_calls_mape,h0_calls_wape,frozen_hybrid_calls_wape,delta_calls_wape,relative_change_calls_wape,h0_bytes_mape,frozen_hybrid_bytes_mape,delta_bytes_mape,relative_change_bytes_mape,h0_bytes_wape,frozen_hybrid_bytes_wape,delta_bytes_wape,relative_change_bytes_wape,h0_mean_histogram_l1,frozen_hybrid_mean_histogram_l1,delta_mean_histogram_l1,relative_change_mean_histogram_l1,h0_mean_histogram_tv,frozen_hybrid_mean_histogram_tv,delta_mean_histogram_tv,relative_change_mean_histogram_tv,h0_mean_normalized_log_payload_emd,frozen_hybrid_mean_normalized_log_payload_emd,delta_mean_normalized_log_payload_emd,relative_change_mean_normalized_log_payload_emd,h0_common_reference_cost_mape,frozen_hybrid_common_reference_cost_mape,delta_common_reference_cost_mape,relative_change_common_reference_cost_mape,h0_common_reference_cost_wape,frozen_hybrid_common_reference_cost_wape,delta_common_reference_cost_wape,relative_change_common_reference_cost_wape,wins_calls_tv_cost
all,mb1=h0;mb4/mb16=enhanced_bounded_residual,0.6205132859181842,0.24818485795911294,-0.3723284279590713,-0.6000329669140452,0.188520351648572,0.09418260638943068,-0.09433774525914132,-0.500411464513921,0.026961219992367523,0.03082054046281709,0.0038593204704495676,0.14314339156544498,0.012549702366963183,0.016429800239085898,0.003880097872122715,0.3091784775977626,0.5211695827384154,0.37698687292213456,-0.14418270981628084,-0.27665219650519934,0.2605847913692077,0.18849343646106728,-0.07209135490814042,-0.27665219650519934,0.04577324096146845,0.029622598995511312,-0.01615064196595714,-0.35284025397180463,0.10970130832477835,0.05249102377909377,-0.05721028454568458,-0.5215095919941953,0.06467497611853514,0.03354198307331917,-0.031132993045215968,-0.4813761815413117,3
mb1,h0,0.06369777201041289,0.06369777201041289,0.0,0.0,0.04504384326248072,0.04504384326248072,0.0,0.0,0.02696121999236754,0.02696121999236754,0.0,0.0,0.012549702366963173,0.012549702366963173,0.0,0.0,0.16019583767832327,0.16019583767832327,0.0,0.0,0.08009791883916163,0.08009791883916163,0.0,0.0,0.008917288189036405,0.008917288189036405,0.0,0.0,0.023550348307358023,0.023550348307358023,0.0,0.0,0.020984865748877535,0.020984865748877535,0.0,0.0,0
mb4,enhanced_bounded_residual,0.34452633334709665,0.13592460599098583,-0.20860172735611082,-0.6054739715525688,0.2657498068675519,0.10584732736343776,-0.15990247950411413,-0.6017030882878819,0.02696121999236752,0.030309029431140694,0.0033478094387731742,0.12417128897434582,0.01254970236696319,0.017996606496105766,0.005446904129142576,0.4340265585486258,0.37551312669170106,0.21660403813707585,-0.1589090885546252,-0.4231785182974195,0.18775656334585053,0.10830201906853792,-0.0794545442773126,-0.4231785182974195,0.030573922764512058,0.014972333845186215,-0.015601588919325842,-0.5102907153750977,0.08956482239086698,0.051311312877815325,-0.038253509513051655,-0.42710417429413006,0.067787281500509,0.031218361400052626,-0.03656892010045637,-0.5394658008255101,3
mb16,enhanced_bounded_residual,1.4533157523970428,0.5449321958759401,-0.9083835565211027,-0.6250421183578654,1.202463516661122,0.4794910646498858,-0.7229724520112362,-0.6012427337660209,0.02696121999236752,0.035191371964943055,0.008230151972575536,0.30525888572198956,0.012549702366963187,0.01874309185418876,0.006193389487225575,0.4935088742446623,1.0277997838452217,0.7541607429510045,-0.2736390408942172,-0.2662376906428937,0.5138998919226109,0.3770803714755023,-0.1368195204471086,-0.2662376906428937,0.09782851193085686,0.06497817495231131,-0.032850336978545544,-0.33579512076973506,0.2159887542761101,0.08261141015210795,-0.13337734412400215,-0.6175198545452912,0.14350112385902503,0.060019670049178665,-0.08348145380984637,-0.5817477352432322,3
