model,phase,tp,left_workload,right_workload,left_calls,right_calls,left_total_payload_bytes,right_total_payload_bytes,relative_payload_gap,calls_ratio,histogram_shape_distance,left_histogram_json,right_histogram_json
deepseek-v2-lite,decode,4,decode-tp4-b4-l2048-m512,decode-tp4-b16-l2048-m128,28105,6985,460472320,457768960,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":28105}","{""all_reduce:65536"":6985}"
deepseek-v2-lite,decode,4,decode-tp4-b4-l8192-m512,decode-tp4-b16-l8192-m128,28105,6985,460472320,457768960,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":28105}","{""all_reduce:65536"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b1-l128-m512,decode-tp8-b4-l128-m128,28105,6985,115118080,114442240,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:16384"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b1-l2048-m512,decode-tp8-b4-l2048-m128,28105,6985,115118080,114442240,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:16384"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b1-l8192-m512,decode-tp8-b4-l8192-m128,28105,6985,115118080,114442240,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:16384"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b2-l128-m512,decode-tp8-b8-l128-m128,28105,6985,230236160,228884480,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":28105}","{""all_reduce:32768"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b2-l2048-m512,decode-tp8-b8-l2048-m128,28105,6985,230236160,228884480,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":28105}","{""all_reduce:32768"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b2-l8192-m512,decode-tp8-b8-l8192-m128,28105,6985,230236160,228884480,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":28105}","{""all_reduce:32768"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b4-l128-m512,decode-tp8-b16-l128-m128,28105,6985,460472320,457768960,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":28105}","{""all_reduce:65536"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b4-l2048-m512,decode-tp8-b16-l2048-m128,28105,6985,460472320,457768960,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":28105}","{""all_reduce:65536"":6985}"
deepseek-v2-lite,decode,8,decode-tp8-b4-l8192-m512,decode-tp8-b16-l8192-m128,28105,6985,460472320,457768960,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":28105}","{""all_reduce:65536"":6985}"
qwen3-8b,decode,2,decode-tp2-b1-l128-m512,decode-tp2-b4-l128-m128,37303,9271,305586176,303792128,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:32768"":9271}"
qwen3-8b,decode,2,decode-tp2-b1-l2048-m512,decode-tp2-b4-l2048-m128,37303,9271,305586176,303792128,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:32768"":9271}"
qwen3-8b,decode,2,decode-tp2-b1-l8192-m512,decode-tp2-b4-l8192-m128,37303,9271,305586176,303792128,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:32768"":9271}"
qwen3-8b,decode,2,decode-tp2-b2-l128-m512,decode-tp2-b8-l128-m128,37303,9271,611172352,607584256,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":37303}","{""all_reduce:65536"":9271}"
qwen3-8b,decode,2,decode-tp2-b2-l2048-m512,decode-tp2-b8-l2048-m128,37303,9271,611172352,607584256,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":37303}","{""all_reduce:65536"":9271}"
qwen3-8b,decode,2,decode-tp2-b2-l8192-m512,decode-tp2-b8-l8192-m128,37303,9271,611172352,607584256,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":37303}","{""all_reduce:65536"":9271}"
qwen3-8b,decode,2,decode-tp2-b4-l128-m512,decode-tp2-b16-l128-m128,37303,9271,1222344704,1215168512,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:32768"":37303}","{""all_reduce:131072"":9271}"
qwen3-8b,decode,2,decode-tp2-b4-l2048-m512,decode-tp2-b16-l2048-m128,37303,9271,1222344704,1215168512,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:32768"":37303}","{""all_reduce:131072"":9271}"
qwen3-8b,decode,2,decode-tp2-b4-l8192-m512,decode-tp2-b16-l8192-m128,37303,9271,1222344704,1215168512,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:32768"":37303}","{""all_reduce:131072"":9271}"
qwen3-8b,decode,4,decode-tp4-b1-l128-m512,decode-tp4-b4-l128-m128,37303,9271,305586176,303792128,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:32768"":9271}"
qwen3-8b,decode,4,decode-tp4-b1-l2048-m512,decode-tp4-b4-l2048-m128,37303,9271,305586176,303792128,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:32768"":9271}"
qwen3-8b,decode,4,decode-tp4-b1-l8192-m512,decode-tp4-b4-l8192-m128,37303,9271,305586176,303792128,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:32768"":9271}"
qwen3-8b,decode,4,decode-tp4-b2-l128-m512,decode-tp4-b8-l128-m128,37303,9271,611172352,607584256,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":37303}","{""all_reduce:65536"":9271}"
qwen3-8b,decode,4,decode-tp4-b2-l2048-m512,decode-tp4-b8-l2048-m128,37303,9271,611172352,607584256,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":37303}","{""all_reduce:65536"":9271}"
qwen3-8b,decode,4,decode-tp4-b2-l8192-m512,decode-tp4-b8-l8192-m128,37303,9271,611172352,607584256,0.005870841487279843,4.0236220472440944,1.0,"{""all_reduce:16384"":37303}","{""all_reduce:65536"":9271}"
