method,configuration,topology_level,slice_type,slice_value,cases,cost_mape,cost_wape,signed_bias,predicted_cost_us_per_1000_sum,teacher_cost_us_per_1000_sum
h0,P1D1,L1,model,deepseek-v2-lite,300,0.03783035897007294,0.027642765834532654,-0.0021382721053509256,173866355.28202906,174238925.5161265
h0,P1D1,L1,model,llama-3.2-3b-instruct,300,0.01879628152492681,0.018154529686033146,-0.008819845322244207,80951526.67331229,81671859.8443192
h0,P1D1,L1,model,mixtral-8x7b-instruct-v0.1,300,0.018926346882524835,0.01827373459541404,-0.008477874181538702,90712607.77347764,91488233.50623474
h0,P1D1,L1,model,qwen2.5-14b-instruct,300,0.019375638817527137,0.01873882594648454,-0.010212759067536928,131548311.50175856,132905644.83113457
h0,P1D1,L1,model,qwen3-30b-a3b,300,0.015693107082078096,0.015244633033886072,-0.00946651125728853,76280095.94992913,77009103.495079
h0,P1D1,L1,model,qwen3-8b,300,0.01889348935639042,0.018279610617117074,-0.008921947392250468,101808843.78883818,102725353.99301416
h0,P1D1,L1,overall,all,1800,0.021585870438920043,0.02047339623615263,-0.007380441643838956,655167740.9693449,660039121.1859082
h0,P1D1,L1,segment,burstgpt_1,600,0.02246218510219756,0.019822982663205778,-0.004565996959377897,244650217.5310519,245772413.6243597
h0,P1D1,L1,segment,burstgpt_2,600,0.020479567734552586,0.020271586434495024,-0.01215891471501252,180392543.78326803,182612918.68744823
h0,P1D1,L1,segment,burstgpt_3,600,0.021815858480009977,0.021322537497919458,-0.006599543337951761,230124979.6550249,231653788.87410024
h0,P1D1,L2,model,deepseek-v2-lite,300,0.03859801268197741,0.028075370894504622,-0.0011660760215988835,172707251.8150658,172908876.71011907
h0,P1D1,L2,model,llama-3.2-3b-instruct,300,0.018851906254776944,0.018207639303384662,-0.008656222927708979,79341333.92752601,80034127.17417024
h0,P1D1,L2,model,mixtral-8x7b-instruct-v0.1,300,0.019000191122079287,0.01834401625778225,-0.008393421547492282,89355941.5104276,90112291.96348785
h0,P1D1,L2,model,qwen2.5-14b-instruct,300,0.01951570765345851,0.018868336034870037,-0.010253573013600605,130799408.99550752,132154464.44577557
h0,P1D1,L2,model,qwen3-30b-a3b,300,0.015845903925188178,0.015388406187090482,-0.009554410582348318,74798852.85624793,75520405.82080548
h0,P1D1,L2,model,qwen3-8b,300,0.01895273503462307,0.018336893381889693,-0.00887549136305778,99579405.66414939,100471136.36721319
h0,P1D1,L2,overall,all,1800,0.02179407611201723,0.020673694449038722,-0.007093210187149338,646582194.7689242,651201302.4815714
h0,P1D1,L2,segment,burstgpt_1,600,0.0226660481745253,0.020052005787077463,-0.0042098414858190636,241779676.73502544,242801833.96849898
h0,P1D1,L2,segment,burstgpt_2,600,0.02067067731598189,0.020442897327909527,-0.01203362493032432,177558668.26169583,179721367.79368997
h0,P1D1,L2,segment,burstgpt_3,600,0.022045502845544507,0.021515166898601938,-0.006271920847110224,227243849.772203,228678100.71938246
h0,P1D1,L3,model,deepseek-v2-lite,300,0.03853130287874794,0.028034702121828785,-0.00152884070854199,173361276.20823243,173626723.81168652
h0,P1D1,L3,model,llama-3.2-3b-instruct,300,0.018646538823685,0.01801676320550234,-0.008512742552021314,80032121.89093328,80719264.20610847
h0,P1D1,L3,model,mixtral-8x7b-instruct-v0.1,300,0.01900235288371628,0.01834598648363169,-0.00839744420305597,90304109.02387312,91068854.6494279
h0,P1D1,L3,model,qwen2.5-14b-instruct,300,0.01966718723989136,0.019009666388545933,-0.010452568638924005,132208086.55466099,133604597.78346853
h0,P1D1,L3,model,qwen3-30b-a3b,300,0.015804656383139538,0.01534929490643792,-0.009596548322199073,75561083.23433697,76293234.95019339
h0,P1D1,L3,model,qwen3-8b,300,0.01906885644245222,0.01844435320664133,-0.00900050144344075,101339490.0006004,102259880.19994609
h0,P1D1,L3,overall,all,1800,0.021786815775272056,0.020666259192596185,-0.007248460489411058,652806166.9126372,657572555.6008309
h0,P1D1,L3,segment,burstgpt_1,600,0.022694999890011815,0.020102067380706804,-0.004378448321287262,243956840.91105774,245029690.74918404
h0,P1D1,L3,segment,burstgpt_2,600,0.020669689946886623,0.020433990490647983,-0.012179425654843444,179466477.29117832,181679225.91625485
h0,P1D1,L3,segment,burstgpt_3,600,0.02199575748891773,0.021447855393700404,-0.006414133606398313,229382848.71040115,230863638.93539205
h0,P1D2,L1,model,deepseek-v2-lite,300,0.04681039859278581,0.030782138604521673,-0.0015680728862600077,140129284.5383739,140349362.5684213
h0,P1D2,L1,model,llama-3.2-3b-instruct,300,0.022848268283931217,0.021902182527591418,-0.00912382852986543,55171567.43937999,55679578.36499743
h0,P1D2,L1,model,mixtral-8x7b-instruct-v0.1,300,0.022392569347436532,0.021479781585507028,-0.00863966308573683,64086265.00573948,64644774.07399235
h0,P1D2,L1,model,qwen2.5-14b-instruct,300,0.02151365296325798,0.02074218332963525,-0.010634989947500315,101381104.06213415,102470880.84988417
h0,P1D2,L1,model,qwen3-30b-a3b,300,0.018261458777599958,0.017647618710686725,-0.010033485213463643,50905196.56572182,51421129.71033001
h0,P1D2,L1,model,qwen3-8b,300,0.02184331088952882,0.021039207153800022,-0.009173677237682781,74220346.1783884,74907523.62277786
h0,P1D2,L1,overall,all,1800,0.025611609809090052,0.023570723550468735,-0.007312933662025312,485893763.7897377,489473249.1904031
h0,P1D2,L1,segment,burstgpt_1,600,0.027088818633044232,0.022860210597129584,-0.004334510444507845,184010394.8983431,184811462.11112854
h0,P1D2,L1,segment,burstgpt_2,600,0.023781557545282703,0.023238637877063203,-0.012695784940471026,130091893.50520387,131764750.43951884
h0,P1D2,L1,segment,burstgpt_3,600,0.025964453248943226,0.024583280659825624,-0.006394333153717001,171791475.38619074,172897036.63975576
h0,P1D2,L2,model,deepseek-v2-lite,300,0.048054775672916966,0.03128200423606618,-0.0004596652827847966,139070686.95578426,139134642.32049167
h0,P1D2,L2,model,llama-3.2-3b-instruct,300,0.023075098994730703,0.02210867964374881,-0.008911492210457264,53700994.53818902,54183853.52682588
h0,P1D2,L2,model,mixtral-8x7b-instruct-v0.1,300,0.02257796433469561,0.021650685923178415,-0.008533223164488802,62847235.30098993,63388140.44942685
h0,P1D2,L2,model,qwen2.5-14b-instruct,300,0.021703942273984214,0.02091627478107746,-0.010686232581234372,100697138.90690114,101784835.33048534
h0,P1D2,L2,model,qwen3-30b-a3b,300,0.01856449556881215,0.01793172914549755,-0.01016998646749552,49552392.08977061,50061517.04061597
h0,P1D2,L2,model,qwen3-8b,300,0.02201269695869481,0.021198246712316245,-0.009122275930432367,72184222.67725538,72848769.25156051
h0,P1D2,L2,overall,all,1800,0.025998162300639078,0.023875392627415396,-0.006956948942169448,478052670.4688903,481401757.91940624
h0,P1D2,L2,segment,burstgpt_1,600,0.027487504815925785,0.023196749240927232,-0.003897357060023888,181388758.75108895,182098461.47554013
h0,P1D2,L2,segment,burstgpt_2,600,0.024130330732588978,0.02352248952943108,-0.012547501034221467,127503743.38573632,129123925.98051962
h0,P1D2,L2,segment,burstgpt_3,600,0.026376651353402465,0.02486933301873269,-0.005988987551819174,169160168.33206508,170179370.46334648
h0,P1D2,L3,model,deepseek-v2-lite,300,0.04785204922593269,0.031220552316495606,-0.0008744816557823446,139668000.8809809,139790244.88579085
h0,P1D2,L3,model,llama-3.2-3b-instruct,300,0.02273478252023929,0.021795241895464296,-0.008715593686083097,54331884.26372903,54809582.313275464
h0,P1D2,L3,model,mixtral-8x7b-instruct-v0.1,300,0.022529782567775995,0.021606481213943304,-0.008536529019182254,63713187.190732025,64261759.56609168
h0,P1D2,L3,model,qwen2.5-14b-instruct,300,0.021850895664741143,0.021053804789583963,-0.010916167225685844,101983670.007248,103109227.57800075
h0,P1D2,L3,model,qwen3-30b-a3b,300,0.01846075866243394,0.017834188314378167,-0.010219261912983101,50248529.45681292,50767334.14102397
h0,P1D2,L3,model,qwen3-8b,300,0.022089716422299073,0.02126914974186601,-0.009273612322234046,73791690.06634216,74482411.071444
h0,P1D2,L3,overall,all,1800,0.025919664177237022,0.023824529430494904,-0.00714993984030347,483736961.865845,487220559.55562675
h0,P1D2,L3,segment,burstgpt_1,600,0.027437390277326827,0.023219143001656877,-0.004105723550230243,183377140.97867963,184133140.75103903
h0,P1D2,L3,segment,burstgpt_2,600,0.024082835997165743,0.023473383524131485,-0.012725278802473415,129246126.25682199,130912018.18684405
h0,P1D2,L3,segment,burstgpt_3,600,0.026238766257218493,0.024738951137807382,-0.006166420891666094,171113694.6303434,172175400.61774364
h0,P1D4,L1,model,deepseek-v2-lite,300,0.04432525199603898,0.03021413309464156,-0.0018854780491610078,133763150.63834396,134015834.55263294
h0,P1D4,L1,model,qwen3-8b,300,0.02330790656576954,0.022381942252423955,-0.010287825237270365,67100728.22983694,67798224.51504494
h0,P1D4,L1,overall,all,600,0.03381657928090426,0.027582955486805647,-0.004708196266833639,200863878.8681809,201814059.0676779
h0,P1D4,L1,segment,burstgpt_1,200,0.0342607292140826,0.02449994253488155,-0.0017074607351606347,83720332.8921019,83863526.5708337
h0,P1D4,L1,segment,burstgpt_2,200,0.034917688374361,0.032537440565516725,-0.009897174559122156,42549517.27002285,42974846.8307584
h0,P1D4,L1,segment,burstgpt_3,200,0.032271320254269174,0.02819160748943303,-0.005090409732688633,74594028.70605615,74975685.6660858
h0,P1D4,L2,model,deepseek-v2-lite,300,0.04444030746509673,0.030253280781145916,-0.0017647403967571446,133651908.77698939,133888186.66865212
h0,P1D4,L2,model,qwen3-8b,300,0.023366862280983166,0.022436783255294763,-0.010282251015834104,66574483.524606824,67266130.76600683
h0,P1D4,L2,overall,all,600,0.033903584873039946,0.027639439072891937,-0.004613001326029896,200226392.30159622,201154317.43465894
h0,P1D4,L2,segment,burstgpt_1,200,0.034349975430536014,0.024552627613898467,-0.0016090777855022806,83509801.80437987,83644392.1376504
h0,P1D4,L2,segment,burstgpt_2,200,0.035009465310473484,0.03264554145349128,-0.009826196310782914,42335185.99488907,42755308.04506791
h0,P1D4,L2,segment,burstgpt_3,200,0.03235131387811034,0.028230131933970337,-0.004992504320576744,74381404.50232726,74754617.25194064
h0,P1D4,L3,model,deepseek-v2-lite,300,0.0444263477758447,0.03024902279292478,-0.001809557998081052,133714677.022397,133957080.12814246
h0,P1D4,L3,model,qwen3-8b,300,0.02338235873894376,0.022451195945848493,-0.010318054862097121,66989940.250029564,67688352.38344693
h0,P1D4,L3,overall,all,600,0.03390435325739423,0.02763144775105188,-0.004665690799164321,200704617.27242655,201645432.51158938
h0,P1D4,L3,segment,burstgpt_1,200,0.03436755013436925,0.024566228236740817,-0.0016590725149756914,83677049.03330575,83816106.03113429
h0,P1D4,L3,segment,burstgpt_2,200,0.035009798537677814,0.032612460747222814,-0.009895229826138087,42481516.41488597,42906081.9567875
h0,P1D4,L3,segment,burstgpt_3,200,0.032335711100135625,0.02820802464989424,-0.005034388217312499,74546051.82423483,74923244.5236676
h0,P2D1,L1,model,deepseek-v2-lite,300,0.04681039859278581,0.030782138604521673,-0.0015680728862600077,140129284.5383739,140349362.5684213
h0,P2D1,L1,model,llama-3.2-3b-instruct,300,0.022848268283931217,0.021902182527591418,-0.00912382852986543,55171567.43937999,55679578.36499743
h0,P2D1,L1,model,mixtral-8x7b-instruct-v0.1,300,0.022392569347436532,0.021479781585507028,-0.00863966308573683,64086265.00573948,64644774.07399235
h0,P2D1,L1,model,qwen2.5-14b-instruct,300,0.02151365296325798,0.02074218332963525,-0.010634989947500315,101381104.06213415,102470880.84988417
h0,P2D1,L1,model,qwen3-30b-a3b,300,0.018261458777599958,0.017647618710686725,-0.010033485213463643,50905196.56572182,51421129.71033001
h0,P2D1,L1,model,qwen3-8b,300,0.02184331088952882,0.021039207153800022,-0.009173677237682781,74220346.1783884,74907523.62277786
h0,P2D1,L1,overall,all,1800,0.025611609809090052,0.023570723550468735,-0.007312933662025312,485893763.7897377,489473249.1904031
h0,P2D1,L1,segment,burstgpt_1,600,0.027088818633044232,0.022860210597129584,-0.004334510444507845,184010394.8983431,184811462.11112854
h0,P2D1,L1,segment,burstgpt_2,600,0.023781557545282703,0.023238637877063203,-0.012695784940471026,130091893.50520387,131764750.43951884
h0,P2D1,L1,segment,burstgpt_3,600,0.025964453248943226,0.024583280659825624,-0.006394333153717001,171791475.38619074,172897036.63975576
h0,P2D1,L2,model,deepseek-v2-lite,300,0.048054775672916966,0.03128200423606618,-0.0004596652827847966,139070686.95578426,139134642.32049167
h0,P2D1,L2,model,llama-3.2-3b-instruct,300,0.023075098994730703,0.02210867964374881,-0.008911492210457264,53700994.53818902,54183853.52682588
h0,P2D1,L2,model,mixtral-8x7b-instruct-v0.1,300,0.02257796433469561,0.021650685923178415,-0.008533223164488802,62847235.30098993,63388140.44942685
h0,P2D1,L2,model,qwen2.5-14b-instruct,300,0.021703942273984214,0.02091627478107746,-0.010686232581234372,100697138.90690114,101784835.33048534
h0,P2D1,L2,model,qwen3-30b-a3b,300,0.01856449556881215,0.01793172914549755,-0.01016998646749552,49552392.08977061,50061517.04061597
h0,P2D1,L2,model,qwen3-8b,300,0.02201269695869481,0.021198246712316245,-0.009122275930432367,72184222.67725538,72848769.25156051
h0,P2D1,L2,overall,all,1800,0.025998162300639078,0.023875392627415396,-0.006956948942169448,478052670.4688903,481401757.91940624
h0,P2D1,L2,segment,burstgpt_1,600,0.027487504815925785,0.023196749240927232,-0.003897357060023888,181388758.75108895,182098461.47554013
h0,P2D1,L2,segment,burstgpt_2,600,0.024130330732588978,0.02352248952943108,-0.012547501034221467,127503743.38573632,129123925.98051962
h0,P2D1,L2,segment,burstgpt_3,600,0.026376651353402465,0.02486933301873269,-0.005988987551819174,169160168.33206508,170179370.46334648
h0,P2D1,L3,model,deepseek-v2-lite,300,0.04785204922593269,0.031220552316495606,-0.0008744816557823446,139668000.8809809,139790244.88579085
h0,P2D1,L3,model,llama-3.2-3b-instruct,300,0.02273478252023929,0.021795241895464296,-0.008715593686083097,54331884.26372903,54809582.313275464
h0,P2D1,L3,model,mixtral-8x7b-instruct-v0.1,300,0.022529782567775995,0.021606481213943304,-0.008536529019182254,63713187.190732025,64261759.56609168
h0,P2D1,L3,model,qwen2.5-14b-instruct,300,0.021850895664741143,0.021053804789583963,-0.010916167225685844,101983670.007248,103109227.57800075
h0,P2D1,L3,model,qwen3-30b-a3b,300,0.01846075866243394,0.017834188314378167,-0.010219261912983101,50248529.45681292,50767334.14102397
h0,P2D1,L3,model,qwen3-8b,300,0.022089716422299073,0.02126914974186601,-0.009273612322234046,73791690.06634216,74482411.071444
h0,P2D1,L3,overall,all,1800,0.025919664177237022,0.023824529430494904,-0.00714993984030347,483736961.865845,487220559.55562675
h0,P2D1,L3,segment,burstgpt_1,600,0.027437390277326827,0.023219143001656877,-0.004105723550230243,183377140.97867963,184133140.75103903
h0,P2D1,L3,segment,burstgpt_2,600,0.024082835997165743,0.023473383524131485,-0.012725278802473415,129246126.25682199,130912018.18684405
h0,P2D1,L3,segment,burstgpt_3,600,0.026238766257218493,0.024738951137807382,-0.006166420891666094,171113694.6303434,172175400.61774364
h0,P2D2_ALL_TO_ALL,L1,model,deepseek-v2-lite,300,0.041395923068853785,0.029197801806888603,-0.00225992020317833,72854527.16707827,73019545.51321048
h0,P2D2_ALL_TO_ALL,L1,model,qwen3-8b,300,0.020195661265962873,0.01949811518161496,-0.008887701694472866,40167293.52667957,40527489.76614688
h0,P2D2_ALL_TO_ALL,L1,overall,all,600,0.03079579216740833,0.025735765572534586,-0.004625524429654527,113021820.69375785,113547035.27935736
h0,P2D2_ALL_TO_ALL,L1,segment,burstgpt_1,200,0.030775143004329406,0.022870173776589106,-0.0016084774626201584,46555160.6356782,46630164.20387842
h0,P2D2_ALL_TO_ALL,L1,segment,burstgpt_2,200,0.03207411747541183,0.029834750742390895,-0.009637662584783614,24740305.361474264,24981064.431473546
h0,P2D2_ALL_TO_ALL,L1,segment,burstgpt_3,200,0.029538116022483754,0.026480379921305034,-0.004994584918279295,41726354.69660537,41935806.644005395
h0,P2D2_ALL_TO_ALL,L2,model,deepseek-v2-lite,300,0.04143313515635809,0.029211777195205527,-0.0022158546531778965,72832327.01031771,72994071.26277974
h0,P2D2_ALL_TO_ALL,L2,model,qwen3-8b,300,0.020268688908311697,0.01956737189088196,-0.00885118452701258,39483752.68639773,39836351.58516094
h0,P2D2_ALL_TO_ALL,L2,overall,all,600,0.030850912032334896,0.025806685635364434,-0.004558550240642181,112316079.69671544,112830422.84794068
h0,P2D2_ALL_TO_ALL,L2,segment,burstgpt_1,200,0.030831191684517523,0.02291852811037751,-0.0015385055797500036,46310534.43673781,46381893.23828428
h0,P2D2_ALL_TO_ALL,L2,segment,burstgpt_2,200,0.03211818478544087,0.029973309908138648,-0.009583381710770783,24518650.114607748,24755895.30894525
h0,P2D2_ALL_TO_ALL,L2,segment,burstgpt_3,200,0.029603359627046282,0.026545657883281542,-0.004934664330810847,41486895.14536989,41692634.30071115
h0,P2D2_ALL_TO_ALL,L3,model,deepseek-v2-lite,300,0.04142948029375386,0.029210414178837983,-0.002232180610507984,72844853.45378663,73007820.09421639
h0,P2D2_ALL_TO_ALL,L3,model,qwen3-8b,300,0.02034027024161809,0.01963345118419545,-0.008948565984569414,40023390.68441239,40384776.52189062
h0,P2D2_ALL_TO_ALL,L3,overall,all,600,0.030884875267685973,0.02579957853489863,-0.004624221453215254,112868244.13819902,113392596.616107
h0,P2D2_ALL_TO_ALL,L3,segment,burstgpt_1,200,0.030888421925260805,0.02293877973015702,-0.0016052464784756459,46503698.946878165,46578468.87000453
h0,P2D2_ALL_TO_ALL,L3,segment,burstgpt_2,200,0.032144934058677875,0.029918365512414755,-0.009659002037137472,24689437.686509322,24930238.914975394
h0,P2D2_ALL_TO_ALL,L3,segment,burstgpt_3,200,0.029621269819119243,0.026529436376033905,-0.004984764599040723,41675107.504811525,41883888.831127085
h0,P2D2_MATCHING,L1,model,deepseek-v2-lite,300,0.03953949851903438,0.02842090410976793,-0.00197661967458498,81286413.2765882,81447403.81741758
h0,P2D2_MATCHING,L1,model,qwen3-8b,300,0.020220357485418106,0.0195080677983435,-0.010136929287911647,45637383.90370228,46104744.43790658
h0,P2D2_MATCHING,L1,overall,all,600,0.029879928002226244,0.02519928811994892,-0.004926228868963417,126923797.18029048,127552148.25532416
h0,P2D2_MATCHING,L1,segment,burstgpt_1,200,0.030189049585225468,0.02267783907970447,-0.0019169621008571836,51989781.459050946,52089635.315798804
h0,P2D2_MATCHING,L1,segment,burstgpt_2,200,0.030907778022688837,0.02900686657293206,-0.010281108204666807,28197551.912560925,28490465.470868245
h0,P2D2_MATCHING,L1,segment,burstgpt_3,200,0.028542956398764415,0.025685996274338416,-0.005015401130549101,46736463.808678605,46972047.46865711
h0,P2D2_MATCHING,L2,model,deepseek-v2-lite,300,0.03976337380929449,0.028518758769723436,-0.0016969305028652377,81129885.99530137,81267791.79009047
h0,P2D2_MATCHING,L2,model,qwen3-8b,300,0.02023391699757924,0.01952094492897424,-0.010133875796495278,45475226.915930025,45940785.12639438
h0,P2D2_MATCHING,L2,overall,all,600,0.02999864540343686,0.025269240205133717,-0.00474389400370111,126605112.9112314,127208576.91648486
h0,P2D2_MATCHING,L2,segment,burstgpt_1,200,0.030313998876904568,0.022779949313065078,-0.0017249978666825227,51896085.303977616,51985760.630162515
h0,P2D2_MATCHING,L2,segment,burstgpt_2,200,0.031048113700717975,0.02910941156198352,-0.010156239941380091,28074787.5554768,28362847.43949305
h0,P2D2_MATCHING,L2,segment,burstgpt_3,200,0.028633823632688054,0.02570648945267496,-0.004817092298762664,46634240.051776975,46859968.846829295
h0,P2D2_MATCHING,L3,model,deepseek-v2-lite,300,0.039744447590102025,0.02850921379610635,-0.0018008358010538979,81218206.54913929,81364731.0697929
