method,configuration,slice_type,slice_value,cases,agreement_rate,mean_teacher_regret,max_teacher_regret,predicted_choice_wave_stability_rate,teacher_choice_wave_stability_rate
h0,P4D1,overall,all,600,0.9833333333333333,2.9586145551616726e-06,0.0005898625981218998,0.895,0.9183333333333333
h0,P4D1,segment,burstgpt_1,200,0.96,8.205238544777483e-06,0.0005898625981218998,0.84,0.88
h0,P4D1,segment,burstgpt_2,200,1.0,0.0,0.0,0.965,0.99
h0,P4D1,segment,burstgpt_3,200,0.99,6.70605120707535e-07,0.00010432266953181865,0.88,0.885
h0_plus_dnn_residual,P1D1,model,deepseek-v2-lite,300,0.98,1.1119583202315992e-05,0.0013019760561083823,1.0,1.0
h0_plus_dnn_residual,P1D1,model,llama-3.2-3b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D1,model,mixtral-8x7b-instruct-v0.1,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D1,model,qwen2.5-14b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D1,model,qwen3-30b-a3b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D1,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D1,overall,all,1800,0.9966666666666667,1.8532638670526653e-06,0.0013019760561083823,1.0,1.0
h0_plus_dnn_residual,P1D1,segment,burstgpt_1,600,0.9916666666666667,5.229795598953412e-06,0.0013019760561083823,1.0,1.0
h0_plus_dnn_residual,P1D1,segment,burstgpt_2,600,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D1,segment,burstgpt_3,600,0.9983333333333333,3.299960022045842e-07,0.0001979976013227505,1.0,1.0
h0_plus_dnn_residual,P1D2,model,deepseek-v2-lite,300,0.98,1.177413835314193e-05,0.0013767938056496061,0.9666666666666667,0.9733333333333334
h0_plus_dnn_residual,P1D2,model,llama-3.2-3b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D2,model,mixtral-8x7b-instruct-v0.1,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D2,model,qwen2.5-14b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D2,model,qwen3-30b-a3b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D2,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D2,overall,all,1800,0.9966666666666667,1.9623563921903218e-06,0.0013767938056496061,0.9944444444444445,0.9955555555555555
h0_plus_dnn_residual,P1D2,segment,burstgpt_1,600,0.9916666666666667,5.533828985988993e-06,0.0013767938056496061,0.99,0.99
h0_plus_dnn_residual,P1D2,segment,burstgpt_2,600,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D2,segment,burstgpt_3,600,0.9983333333333333,3.5324019058197273e-07,0.00021194411434918365,0.9933333333333333,0.9966666666666667
h0_plus_dnn_residual,P1D4,model,deepseek-v2-lite,300,0.98,1.2811729196718052e-06,0.00014929233675768563,0.8333333333333334,0.85
h0_plus_dnn_residual,P1D4,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P1D4,overall,all,600,0.99,6.405864598359026e-07,0.00014929233675768563,0.9166666666666666,0.925
h0_plus_dnn_residual,P1D4,segment,burstgpt_1,200,0.975,1.8084429653409138e-06,0.00014929233675768563,0.875,0.885
h0_plus_dnn_residual,P1D4,segment,burstgpt_2,200,1.0,0.0,0.0,0.975,0.99
h0_plus_dnn_residual,P1D4,segment,burstgpt_3,200,0.995,1.1331641416679425e-07,2.2663282833358848e-05,0.9,0.9
