candidate_id,oof_scheme,slice_type,slice_value,points,wape,signed_bias
max_edge,tail32,configuration,P2D2_ALL_TO_ALL,24,0.3141915700674674,-0.31419157006746734
max_edge,tail32,configuration,P2D2_MATCHING,18,0.01872836410393062,0.015358499335804457
max_edge,tail32,configuration,P4D1,24,0.5111617470166439,-0.511161747016644
max_edge,tail32,configuration_topology,P1D4/L1,8,0.5196959316682558,-0.5196959316682558
max_edge,tail32,configuration_topology,P1D4/L2,8,0.517808716799702,-0.5178087167997021
max_edge,tail32,configuration_topology,P1D4/L3,8,0.5183341620864972,-0.5183341620864973
max_edge,tail32,configuration_topology,P2D2_ALL_TO_ALL/L1,8,0.30801951292514046,-0.3080195129251405
max_edge,tail32,configuration_topology,P2D2_ALL_TO_ALL/L2,8,0.3291640356887054,-0.3291640356887054
max_edge,tail32,configuration_topology,P2D2_ALL_TO_ALL/L3,8,0.3048495055508213,-0.3048495055508213
max_edge,tail32,configuration_topology,P2D2_MATCHING/L1,6,0.030672626935186822,0.02555661385598462
max_edge,tail32,configuration_topology,P2D2_MATCHING/L2,6,0.01335140437117475,0.013351404371174812
max_edge,tail32,configuration_topology,P2D2_MATCHING/L3,6,0.012361491510194455,0.007350558245810495
max_edge,tail32,configuration_topology,P4D1/L1,8,0.5152026786601345,-0.5152026786601345
max_edge,tail32,configuration_topology,P4D1/L2,8,0.5084630702405699,-0.5084630702405699
max_edge,tail32,configuration_topology,P4D1/L3,8,0.5097751780746322,-0.5097751780746322
max_edge,tail32,model,deepseek-v2-lite,45,0.4202252830413158,-0.418204700556386
max_edge,tail32,model,qwen3-8b,45,0.3064510919637935,-0.2811980320448418
max_edge,tail32,overall,all,90,0.41060970841678135,-0.4066256435430605
r61_graph,payload_cohort,configuration,P1D4,120,0.1284484390929419,0.12429254227429097
r61_graph,payload_cohort,configuration,P2D2_ALL_TO_ALL,120,0.06164652428003216,-0.05664183866201848
r61_graph,payload_cohort,configuration,P2D2_MATCHING,120,0.23271259775601882,-0.23271259775601888
r61_graph,payload_cohort,configuration,P4D1,120,0.1455123433559514,0.14049422044532414
r61_graph,payload_cohort,configuration_topology,P1D4/L1,40,0.13647696061965364,0.13197817824737249
r61_graph,payload_cohort,configuration_topology,P1D4/L2,40,0.1216661849952139,0.11773007666300866
r61_graph,payload_cohort,configuration_topology,P1D4/L3,40,0.12717778874391186,0.12314596733027565
