model,parallel_size,profile_id,policy,phase,requests,total_calls_per_1000,total_logical_bytes_per_1000,calls_by_12bin_json,logical_bytes_by_12bin_json,exact_calls_histogram_per_1000_json
qwen3-8b,2,profile_13_burstgpt_3_c2,mb16,prefill,42,571.4285714285714,7864710095.238095,"[0.0,0.0,0.0,0.0,95.23809523809524,190.47619047619048,95.23809523809524,190.47619047619048,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,140044190.47619048,794624000.0000001,862890666.6666667,6067151238.095238,0.0,0.0,0.0,0.0]","{""1368064"":47.61904761904762,""1572864"":47.61904761904762,""2605056"":47.61904761904762,""4407296"":47.61904761904762,""4440064"":47.61904761904762,""5234688"":47.61904761904762,""5988352"":47.61904761904762,""12132352"":47.61904761904762,""30433280"":47.61904761904762,""31997952"":47.61904761904762,""32489472"":95.23809523809524}"
qwen3-8b,2,profile_13_burstgpt_3_c2,mb16,decode,42,12571.428571428572,913993142.8571428,"[476.1904761904762,761.9047619047619,11333.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3900952.380952381,31207619.04761905,878884571.4285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":476.1904761904762,""40960"":761.9047619047619,""49152"":571.4285714285714,""57344"":3285.714285714286,""65536"":1095.2380952380952,""73728"":3238.095238095238,""81920"":523.8095238095239,""90112"":285.7142857142857,""98304"":95.23809523809524,""106496"":428.57142857142856,""114688"":571.4285714285714,""122880"":428.57142857142856,""131072"":333.33333333333337,""139264"":476.1904761904762}"
