method,profiles,calls_histogram_wape,bytes_histogram_wape,calls_total_wape,bytes_total_wape,mean_profile_calls_l1,mean_profile_bytes_l1,mean_calls_histogram_tv,mean_normalized_log_payload_emd,composite_ratio_to_h0,scientific_outcome
h0,12,0.14573874083729912,0.1986847015498589,0.011577162421605915,0.026517412033632528,0.14212259599156005,0.18640354859128147,0.07328546617200694,0.008736569526071917,1.0,BASELINE
h0_plus_dnn_residual,12,0.19639907293368775,0.18593945057429906,0.008890937692224094,0.026158864171724028,0.1931170057758054,0.20717617476573177,0.09679281743526703,0.011409239019162605,1.2275360359827343,DOES_NOT_IMPROVE_COMPOSITE
