parallelism,decision,method,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
tp,fail,h0,0.22771130857635236,0.19483498740282781,0.06818040411715212,0.0362273568270131,0.24762597140188022,0.024515825123585078,0.16407263946221495,0.12603408112298972
tp,fail,h0_plus_dnn_residual,0.17916304868397998,0.1432646886638305,0.0679560296085942,0.02969917596802129,0.2457681442693471,0.024019120665978968,0.1284239220583139,0.08993616221988142
pp,conditional_pass,h0,0.4692938984896487,0.13277732394208344,0.06818040411715214,0.03622735682701307,0.2636992477166213,0.033081659538774816,0.2557913253480445,0.09427368441389544
pp,conditional_pass,h0_plus_dnn_residual,0.17966049030270395,0.0690603594311215,0.07793047647139621,0.0405254471295888,0.15929110275914937,0.019938168933700758,0.11023236249833729,0.0541794915759426
