parallelism,model,method,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
tp,deepseek-v2-lite,h0,0.22771130857635236,0.19483498740282784,0.0681804041171521,0.03622735682701307,0.22861158001418083,0.021534026996241164,0.1737163297804986,0.13706516154829881
tp,deepseek-v2-lite,h0_plus_dnn_residual,0.18062836832436066,0.1439738106216695,0.0689241838071409,0.03040902174905818,0.21914242118149668,0.02068456465044591,0.13714152286796202,0.09906719391539569
tp,qwen3-8b,h0,0.22771130857635238,0.19483498740282787,0.0681804041171521,0.036227356827013134,0.285654754177279,0.030479421378272913,0.14478525882564766,0.10869829789001903
tp,qwen3-8b,h0_plus_dnn_residual,0.17627463280402408,0.14086596128435877,0.0662084795063885,0.028905436078781276,0.29680690987335895,0.030478985703599894,0.1107640351795449,0.07482293793895015
tp,qwen3-30b-a3b,h0,0.22771130857635236,0.19483498740282781,0.06818040411715215,0.03622735682701306,0.22861158001418083,0.021534026996241153,0.17371632978049864,0.13706516154829884
tp,qwen3-30b-a3b,h0_plus_dnn_residual,0.18058614492355524,0.14466783702486438,0.06873542551225324,0.030491387368763685,0.22135510175318557,0.02089381164389109,0.1373662081274348,0.09982843693582251
pp,deepseek-v2-lite,h0,0.4692938984896487,0.13277732394208341,0.06818040411715214,0.03622735682701313,0.2814957971877806,0.035029934574675674,0.2775983988483916,0.1014173326712724
pp,deepseek-v2-lite,h0_plus_dnn_residual,0.17705645474031537,0.06840396001739427,0.07517449719894881,0.041119973053823755,0.16704315709513462,0.020761157312651927,0.11384723929867743,0.05522699814080439
pp,qwen3-8b,h0,0.4692938984896487,0.13277732394208341,0.06818040411715212,0.03622735682701301,0.22810614877430252,0.029185109466973093,0.21217717834735023,0.08274131135606404
pp,qwen3-8b,h0_plus_dnn_residual,0.18583550585140726,0.07049017650765053,0.0841849278388447,0.040691430194665916,0.1443636273433882,0.018372300100032816,0.10331045516105238,0.05217031878403795
pp,qwen3-30b-a3b,h0,0.4692938984896487,0.13277732394208341,0.06818040411715214,0.03622735682701313,0.2814957971877806,0.035029934574675674,0.2775983988483916,0.1014173326712724
pp,qwen3-30b-a3b,h0_plus_dnn_residual,0.1760895103163892,0.06828694176831966,0.07443200437639513,0.039598955075199595,0.1664665238389253,0.02068104938841754,0.11353939303528202,0.0556211212264432
