aggregation_scope,parallelism,sample_label,estimator_kind,reference_label,phase,policy,parallel_size,source,full_ge_128,cases,calls_mape,calls_wape,p95_calls_ape,bytes_mape,bytes_wape,p95_bytes_ape,mean_calls_histogram_l1,mean_calls_histogram_tv,mean_bytes_histogram_l1,mean_bytes_histogram_tv,mean_log_payload_emd_log2_bytes,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,p95_common_reference_cost_ape,tp_measured_l1_cost_mape,p95_tp_measured_l1_cost_ape
overall,pp,compact32,compact_profile,hfull,decode,,,,,216,0.8395649196733496,0.22775063848926735,4.65028018831722,0.02897687878127977,0.01856125258726456,0.09827198428788647,0.8656228004497564,0.4328114002248782,0.8812876927326725,0.44064384636633624,0.6839757289158341,0.03257027280551591,0.6889528533210567,0.21806972522711016,3.5085152529096564,,
overall,pp,compact32,compact_profile,hfull,prefill,,,,,216,0.22851130453649127,0.17188636214052846,0.769652881736527,0.03582519333111007,0.013643878735604076,0.10502711194445859,1.6756835241045798,0.8378417620522899,1.5979176558196386,0.7989588279098193,0.8703114016393295,0.04144340007806332,0.0488390546350396,0.015506911029508632,0.18085019091429333,,
overall,pp,compact32,compact_profile,hfull,total,,,,,216,0.6225250903413501,0.21069598108783977,3.470578270506231,0.03290307810812993,0.013324396696568543,0.10031277679362274,0.896679649378124,0.448339824689062,1.5233457548450693,0.7616728774225346,1.026423375703627,0.04887730360493462,0.13853307574043075,0.07726945083056252,0.5522424268099886,,
overall,pp,h128,exact_representative,hfull,decode,,,,,216,0.25084781064044387,0.08539929655972449,0.8369297657662428,0.010852246225523117,0.006628810306295156,0.03484838285605677,0.5049959519901348,0.2524979759950674,0.49813277204977535,0.24906638602488768,0.3583905397993541,0.017066216180921627,0.2123069693169658,0.08167999992660557,0.627883377694224,,
overall,pp,h128,exact_representative,hfull,prefill,,,,,216,0.09795964922329181,0.05769306684337946,0.5277130604619565,0.02126858070394955,0.013991425541114853,0.05188298340919116,0.8782226598660031,0.43911132993300156,0.8948151606189698,0.4474075803094849,0.26488874579744465,0.012613749799878315,0.02083132200630001,0.013882311347359922,0.06126426120049491,,
overall,pp,h128,exact_representative,hfull,total,,,,,216,0.18650513134542168,0.0793035373492401,0.5939221215155338,0.020109930724746664,0.01372214585555885,0.04764687944704208,0.5247712222699518,0.2623856111349759,0.8528363564228847,0.42641817821144234,0.5056410220524001,0.02407814390725715,0.06064711826313812,0.030017845227557145,0.26931979860267663,,
overall,pp,h32,exact_representative,hfull,decode,,,,,216,0.9622792548531478,0.2705817410754041,4.801344041537574,0.053432122608033115,0.03160830304896033,0.1738512845849803,0.8258350087604649,0.41291750438023245,0.8525363382425312,0.4262681691212656,0.7300760262139953,0.034765525057809304,0.7937691774851356,0.25894238417839244,3.555245828463153,,
overall,pp,h32,exact_representative,hfull,prefill,,,,,216,0.20251687085801257,0.14366158305141447,0.769652881736527,0.06174029344817212,0.04887113724669489,0.14080791060659814,1.2367765253653589,0.6183882626826794,1.213060688676473,0.6065303443382365,0.6542746565019251,0.031155936023901192,0.06993557723520108,0.049632856964064345,0.1858654611015477,,
overall,pp,h32,exact_representative,hfull,total,,,,,216,0.7199196330050599,0.2520841451632577,2.9436602936392595,0.05817734946363697,0.047828370277941686,0.127821910983171,0.8418301335382162,0.4209150667691081,1.1626299283860315,0.5813149641930158,1.0738533430214887,0.051135873477213746,0.17130691709485277,0.09688329760399635,0.737812600697594,,
overall,pp,h64,exact_representative,hfull,decode,,,,,216,0.45018175293767343,0.13975423753493252,2.007495753178485,0.022323349237791296,0.013270904039438394,0.07444743130227009,0.6464371191965983,0.32321855959829915,0.6608527671889869,0.33042638359449344,0.49163145536277425,0.02341102168394163,0.37445393220262596,0.13376277108338488,1.5164434867478689,,
overall,pp,h64,exact_representative,hfull,prefill,,,,,216,0.13459181122432776,0.09668014722519844,0.6421678046218489,0.028149752481892703,0.023198563533937473,0.07370841981264364,1.0424513832007338,0.5212256916003669,1.0352308595865134,0.5176154297932567,0.4010947083977705,0.019099748018941456,0.03516281051307358,0.02414975212049111,0.10874943268049285,,
overall,pp,h64,exact_representative,hfull,total,,,,,216,0.33500175462744936,0.12934767481291576,1.50857477930245,0.027810913952374203,0.022730695553326522,0.07136960858499004,0.6635256401741856,0.3317628200870928,0.9911697240795875,0.49558486203979374,0.7279376562310709,0.034663697915765276,0.08404759530326039,0.04317830299733225,0.2973049429962171,,
policy,pp,compact32,compact_profile,hfull,decode,mb1,,,,72,0.06989334882120203,0.05311738396171887,0.23254309911975288,0.02897687878127977,0.01856125258726456,0.09827198428788647,0.1533035574023721,0.07665177870118604,0.248696029942414,0.124348014971207,0.0889183879757744,0.004234208951227352,0.0683822182074092,0.05219557508304092,0.2251816436485727,,
policy,pp,compact32,compact_profile,hfull,decode,mb16,,,,72,2.0021208308264855,1.4350833839532546,6.307027599588372,0.02897687878127977,0.01856125258726456,0.09827198428788647,1.5465858037946272,0.7732929018973136,1.5918748914171392,0.7959374457085696,1.3784652723175064,0.06564120344369079,1.584200673160709,1.207098882009783,4.992529638660052,,
policy,pp,compact32,compact_profile,hfull,decode,mb4,,,,72,0.4466805793723615,0.3490485589359878,1.4205267820724494,0.02897687878127977,0.018561252587264553,0.09827198428788647,0.89697904015227,0.448489520076135,0.8032921568384642,0.4016460784192321,0.5845435264542215,0.027835406021629594,0.41427566859505194,0.3259678834536294,1.3125500330776672,,
policy,pp,compact32,compact_profile,hfull,prefill,mb1,,,,72,0.03142365339200722,0.042048634496480566,0.12205725462304416,0.03582519333111006,0.013643878735604067,0.10502711194445859,1.6569738963605163,0.8284869481802581,1.5139221624035146,0.7569610812017573,0.49312096317946785,0.02348195062759371,0.028024429849879517,0.014156617233413032,0.08402283743471824,,
policy,pp,compact32,compact_profile,hfull,prefill,mb16,,,,72,0.34645063453439207,0.27626361069620053,0.8481881772235252,0.03582519333111008,0.013643878735604091,0.10502711194445859,1.6997558233495083,0.8498779116747541,1.684331896915796,0.842165948457898,1.2169891198442027,0.057951862849723944,0.05634375947008377,0.015205483098235627,0.2206259761145382,,
policy,pp,compact32,compact_profile,hfull,prefill,mb4,,,,72,0.3076596256830746,0.23740537095150083,0.690850209560104,0.03582519333111007,0.013643878735604067,0.10502711194445859,1.6703208526037148,0.8351604263018574,1.5954989081396047,0.7977494540698024,0.9008241218943182,0.042896386756872296,0.06214897458515551,0.017161516278862133,0.24263981732350126,,
