profile_id,source,sample_label,sample_requests,pp_size,microbatch,prefill_proxy_calls_per_1000,decode_proxy_calls_per_1000,total_logical_bytes_per_1000
profile_02_burstgpt_1_c1,burstgpt,h64,64,2,16,312.5,4468.75,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h64,64,4,1,2000.0,18093.75,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h64,64,4,4,1125.0,6125.0,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h64,64,4,16,156.25,4343.75,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h64,64,8,1,2000.0,18093.75,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h64,64,8,4,875.0,13625.0,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h64,64,8,16,156.25,8312.5,3051264000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,2,1,2000.0,20140.625,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,2,4,1437.5,6890.625,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,2,16,406.25,4484.375,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,4,1,2000.0,20140.625,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,4,4,1359.375,9984.375,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,4,16,296.875,6359.375,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,8,1,2000.0,20140.625,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,8,4,1093.75,11578.125,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,h128,128,8,16,187.5,8250.0,3457920000.0
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,2,1,2000.0,19462.392108508015,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,2,4,1691.7385943279903,5400.7398273736135,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,2,16,907.5215782983971,1408.9601315248665,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,4,1,2000.0,19462.392108508015,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,4,4,1718.8655980271271,5424.578709412249,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,4,16,823.6744759556104,1509.2478421701603,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,8,1,2000.0,19462.392108508015,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,8,4,1616.9338265515826,5598.849157418825,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,hfull,2433,8,16,723.3867653103165,1637.4845869297164,3204543394.985615
profile_02_burstgpt_1_c1,burstgpt,compact32,32,2,1,2000.0,21375.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,2,4,562.5,11250.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,2,16,187.5,10125.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,4,1,2000.0,21375.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,4,4,562.5,12000.0,3112960000.0
