tp,shape,repeats,group_size,logical_payload_bytes,group_level_calls,ring_alpha_bytes,ring_beta_rounds,ring_equivalent_bytes,ring_equivalent_rounds,median_kernel_time_total_us,mean_kernel_time_total_us,p95_kernel_time_total_us,min_kernel_time_total_us,max_kernel_time_total_us,kernel_time_total_cv,median_per_kernel_us,calls_x_median_kernel_us
2,uniform,3,2,71761920,1095,1.0,2,71761920.0,2190,4960.769,4963.518666666667,4969.4495,4959.3730000000005,4970.414,0.00121127565273556,4.48,4905.6
2,mixed,3,2,71761920,2555,1.0,2,71761920.0,5110,21017.074,18948.090333333334,24024.3097,11468.75,24358.447,0.3530323768904374,4.448,11364.640000000001
2,longtail,3,2,71761920,3723,1.0,2,71761920.0,7446,22373.061,21407.15,24923.8959,16641.067,25207.322,0.20385938765123435,4.447,16556.181
4,uniform,3,4,71761920,1095,1.5,6,107642880.0,6570,27192.109,23547.245,37204.0339,5133.156,38316.47,0.7172496278262639,4.704,5150.88
4,mixed,3,4,71761920,2555,1.5,6,107642880.0,15330,34718.386,59364.37566666667,115525.87779999999,18870.253,124504.488,0.9596125815968287,4.64,11855.199999999999
4,longtail,3,4,71761920,3723,1.5,6,107642880.0,22338,49426.551,60914.524,109144.65149999999,17537.025,115779.996,0.8227736215959012,4.64,17274.719999999998
8,uniform,3,8,71761920,1095,1.75,14,125583360.0,15330,24166.737,25700.91,39612.046500000004,11607.801,41328.192,0.5805036874832241,5.056,5536.32
8,mixed,3,8,71761920,2555,1.75,14,125583360.0,35770,166179.671,135296.538,181025.4248,57034.99,182674.953,0.5046431226619275,4.928,12591.039999999999
8,longtail,3,8,71761920,3723,1.75,14,125583360.0,52122,50455.987,52906.964,62601.4663,44313.941,63950.964,0.18986780223329988,4.896,18227.808
