tp,shape,repeat_id,group_size,logical_payload_bytes,group_level_calls,ring_alpha_bytes,ring_beta_rounds,ring_equivalent_bytes,ring_equivalent_rounds,kernel_time_total_us,kernel_time_median_us,kernel_time_p95_us,kernel_time_p99_us,kernel_time_max_us
4,mixed,7,4,71761920,2555,1.5,6,107642880.0,15330,82197.048,4.64,198.49179999999964,435.67160000000007,5401.447
4,mixed,8,4,71761920,2555,1.5,6,107642880.0,15330,41280.466,4.64,5.088,374.94648,2658.644
4,mixed,9,4,71761920,2555,1.5,6,107642880.0,15330,35653.85,4.64,4.993,358.5355,3090.834
4,uniform,0,4,71761920,1095,1.5,6,107642880.0,6570,5133.156,4.672,4.96,5.056,5.216
4,uniform,1,4,71761920,1095,1.5,6,107642880.0,6570,38316.47,4.704,200.40859999999975,408.19413999999995,2069.527
4,uniform,2,4,71761920,1095,1.5,6,107642880.0,6570,27192.109,4.704,176.22619999999998,377.0859999999999,3529.359
4,uniform,3,4,71761920,1095,1.5,6,107642880.0,6570,104386.535,4.735,514.6696999999999,549.6216799999994,6074.277
4,uniform,4,4,71761920,1095,1.5,6,107642880.0,6570,13629.809,4.703,5.024,324.1173399999965,761.5
4,uniform,5,4,71761920,1095,1.5,6,107642880.0,6570,5363.775,4.673,4.96,5.152,101.407
4,uniform,6,4,71761920,1095,1.5,6,107642880.0,6570,5131.0109999999995,4.672,4.992,5.12,5.345
4,uniform,7,4,71761920,1095,1.5,6,107642880.0,6570,16877.607,4.704,5.056,420.21112,2356.053
4,uniform,8,4,71761920,1095,1.5,6,107642880.0,6570,35746.763,4.704,197.823,398.83255999999983,3027.474
4,uniform,9,4,71761920,1095,1.5,6,107642880.0,6570,16268.37,4.703,5.088,376.1676,1055.131
8,longtail,0,8,71761920,3723,1.75,14,125583360.0,52122,44313.941,4.896,5.088,233.19849999999872,3676.816
8,longtail,1,8,71761920,3723,1.75,14,125583360.0,52122,63950.964,4.896,5.12,386.33783999999997,2835.86
8,longtail,2,8,71761920,3723,1.75,14,125583360.0,52122,50455.987,4.896,5.12,370.05125999999785,2111.734
8,longtail,3,8,71761920,3723,1.75,14,125583360.0,52122,73817.722,4.897,69.26719999999263,397.56365999999986,1584.057
8,longtail,4,8,71761920,3723,1.75,14,125583360.0,52122,50825.95,4.896,5.12,377.91096,2395.125
8,longtail,5,8,71761920,3723,1.75,14,125583360.0,52122,24406.978,4.896,5.088,5.216,492.83
8,longtail,6,8,71761920,3723,1.75,14,125583360.0,52122,60731.68,4.896,5.12,396.3435999999999,3013.906
8,longtail,7,8,71761920,3723,1.75,14,125583360.0,52122,126465.51,4.927,223.03889999999944,458.24567999999994,1993.911
8,longtail,8,8,71761920,3723,1.75,14,125583360.0,52122,50464.195999999996,4.896,5.12,386.87607999999983,2515.508
8,longtail,9,8,71761920,3723,1.75,14,125583360.0,52122,34838.057,4.896,5.088,197.37193999999923,2203.862
8,mixed,0,8,71761920,2555,1.75,14,125583360.0,35770,182674.953,4.192,515.8088999999998,579.27672,2884.691
8,mixed,1,8,71761920,2555,1.75,14,125583360.0,35770,166179.671,4.928,525.3227999999998,540.6427600000001,1691.8
8,mixed,2,8,71761920,2555,1.75,14,125583360.0,35770,57034.99,4.928,55.10079999999273,423.31238,2556.852
8,mixed,3,8,71761920,2555,1.75,14,125583360.0,35770,74894.37299999999,4.928,201.1285999999999,413.21500000000003,4136.91
8,mixed,4,8,71761920,2555,1.75,14,125583360.0,35770,63660.295,4.928,192.82779999999988,401.9852,3443.473
8,mixed,5,8,71761920,2555,1.75,14,125583360.0,35770,12532.789999999999,4.897,5.12,5.216,5.503
8,mixed,6,8,71761920,2555,1.75,14,125583360.0,35770,61186.212,4.928,189.32699999999994,412.38172000000003,3780.623
8,mixed,7,8,71761920,2555,1.75,14,125583360.0,35770,41490.485,4.928,5.194299999999991,383.12870000000004,2327.99
8,mixed,8,8,71761920,2555,1.75,14,125583360.0,35770,37197.929,4.927,5.152,393.11160000000007,2446.613
8,mixed,9,8,71761920,2555,1.75,14,125583360.0,35770,41115.082,4.928,5.152,384.78062,6183.172
8,uniform,0,8,71761920,1095,1.75,14,125583360.0,15330,11607.801,4.288,4.512,222.94427999999914,416.382
8,uniform,1,8,71761920,1095,1.75,14,125583360.0,15330,24166.737,5.056,185.49659999999997,411.3224599999994,1127.483
8,uniform,2,8,71761920,1095,1.75,14,125583360.0,15330,41328.192,5.056,265.45789999999994,434.4997599999993,2382.422
8,uniform,3,8,71761920,1095,1.75,14,125583360.0,15330,12427.319,5.055,5.216,227.77179999999777,783.292
8,uniform,4,8,71761920,1095,1.75,14,125583360.0,15330,11531.617,5.056,5.216,224.12827999999993,542.206
8,uniform,5,8,71761920,1095,1.75,14,125583360.0,15330,27659.416,5.056,194.1551,409.77341999999965,1301.21
8,uniform,6,8,71761920,1095,1.75,14,125583360.0,15330,16177.901,5.055,5.248,405.57175999999976,753.34
8,uniform,7,8,71761920,1095,1.75,14,125583360.0,15330,5488.097,5.024,5.184,5.28,7.232
8,uniform,8,8,71761920,1095,1.75,14,125583360.0,15330,25197.633,5.056,187.3078,408.32789999999983,1299.002
8,uniform,9,8,71761920,1095,1.75,14,125583360.0,15330,17235.665,5.056,5.216,401.63966,1772.183
