tp,shape,repeat_id,group_size,logical_payload_bytes,group_level_calls,ring_alpha_bytes,ring_beta_rounds,ring_equivalent_bytes,ring_equivalent_rounds,kernel_time_total_us,kernel_time_median_us,kernel_time_p95_us,kernel_time_p99_us,kernel_time_max_us
2,longtail,0,2,71761920,3723,1.0,2,71761920.0,7446,16641.067,4.417,4.768,4.896,5.088
2,longtail,1,2,71761920,3723,1.0,2,71761920.0,7446,25207.322,4.448,4.768,5.049179999999992,903.26
2,longtail,2,2,71761920,3723,1.0,2,71761920.0,7446,22373.061,4.447,4.8,4.96,897.18
2,longtail,3,2,71761920,3723,1.0,2,71761920.0,7446,28617.978,4.448,4.768,100.31025999999736,2218.453
2,longtail,4,2,71761920,3723,1.0,2,71761920.0,7446,44452.664,4.448,4.8,340.11789999999974,1998.039
2,longtail,5,2,71761920,3723,1.0,2,71761920.0,7446,21249.442,4.448,4.8,4.992,799.388
2,longtail,6,2,71761920,3723,1.0,2,71761920.0,7446,16666.641,4.447,4.768,4.927,5.12
2,longtail,7,2,71761920,3723,1.0,2,71761920.0,7446,16663.048,4.448,4.768,4.896,5.184
2,longtail,8,2,71761920,3723,1.0,2,71761920.0,7446,27115.614,4.448,4.8,54.73265999999357,1575.513
2,longtail,9,2,71761920,3723,1.0,2,71761920.0,7446,39830.542,4.448,4.832,249.57403999999227,3283.185
2,mixed,0,2,71761920,2555,1.0,2,71761920.0,5110,24358.447,4.448,4.832,184.06922000000003,1538.17
2,mixed,1,2,71761920,2555,1.0,2,71761920.0,5110,11468.75,4.448,4.8,4.911260000000001,5.151
2,mixed,2,2,71761920,2555,1.0,2,71761920.0,5110,21017.074,4.448,4.8,171.56618,1023.772
2,mixed,3,2,71761920,2555,1.0,2,71761920.0,5110,11464.395,4.448,4.8,4.92746,5.12
2,mixed,4,2,71761920,2555,1.0,2,71761920.0,5110,12915.414,4.448,4.8,5.006720000000001,230.622
2,mixed,5,2,71761920,2555,1.0,2,71761920.0,5110,27794.942,4.448,4.864,258.1698800000008,1909.847
2,mixed,6,2,71761920,2555,1.0,2,71761920.0,5110,27008.14,4.448,4.832,251.53436000000562,2623.091
2,mixed,7,2,71761920,2555,1.0,2,71761920.0,5110,12997.903,4.448,4.8,4.974260000000001,310.302
2,mixed,8,2,71761920,2555,1.0,2,71761920.0,5110,11465.206,4.448,4.8,4.928,5.089
2,mixed,9,2,71761920,2555,1.0,2,71761920.0,5110,149879.608,4.48,522.106499999999,583.1943400000004,3167.537
2,uniform,0,2,71761920,1095,1.0,2,71761920.0,2190,4959.3730000000005,4.48,4.833,4.96,5.12
2,uniform,1,2,71761920,1095,1.0,2,71761920.0,2190,4970.414,4.48,4.864,4.96,5.12
2,uniform,2,2,71761920,1095,1.0,2,71761920.0,2190,4960.769,4.48,4.864,4.961919999999998,5.088
4,longtail,0,4,71761920,3723,1.5,6,107642880.0,22338,49426.551,4.64,4.987899999999988,354.7758199999999,2631.573
4,longtail,1,4,71761920,3723,1.5,6,107642880.0,22338,17537.025,4.64,4.896,5.056,140.16
4,longtail,2,4,71761920,3723,1.5,6,107642880.0,22338,115779.996,4.64,192.8629999999999,391.2602199999999,4885.994
4,longtail,3,4,71761920,3723,1.5,6,107642880.0,22338,18965.368,4.64,4.864,5.048959999999992,341.151
4,longtail,4,4,71761920,3723,1.5,6,107642880.0,22338,24450.085,4.64,4.896,5.05678,1561.945
4,longtail,5,4,71761920,3723,1.5,6,107642880.0,22338,25850.838,4.64,4.865,6.1036799999997315,1376.57
4,longtail,6,4,71761920,3723,1.5,6,107642880.0,22338,27901.578,4.64,4.896,5.468799999999959,1099.131
4,longtail,7,4,71761920,3723,1.5,6,107642880.0,22338,21717.589,4.64,4.891999999999989,5.056,530.558
4,longtail,8,4,71761920,3723,1.5,6,107642880.0,22338,20948.994,4.64,4.891999999999989,5.088,446.462
4,longtail,9,4,71761920,3723,1.5,6,107642880.0,22338,80589.886,4.64,169.08699999999988,370.99974,2576.501
4,mixed,0,4,71761920,2555,1.5,6,107642880.0,15330,18870.253,4.64,4.928,5.590220000000009,1692.344
4,mixed,1,4,71761920,2555,1.5,6,107642880.0,15330,124504.488,4.672,362.5263,423.5736800000001,3754.671
4,mixed,2,4,71761920,2555,1.5,6,107642880.0,15330,34718.386,4.64,5.023,371.49304000000006,2704.852
4,mixed,3,4,71761920,2555,1.5,6,107642880.0,15330,11857.342,4.64,4.928,5.056,5.376
4,mixed,4,4,71761920,2555,1.5,6,107642880.0,15330,14685.371,4.64,4.928,5.184,372.062
4,mixed,5,4,71761920,2555,1.5,6,107642880.0,15330,11856.331,4.64,4.896,5.056,5.313
4,mixed,6,4,71761920,2555,1.5,6,107642880.0,15330,72482.586,4.671,189.71769999999984,386.27832000000006,3620.847
