topology,backend,op,algorithm,group_size,repeat_id,payload_scope,payload_bytes,intrinsic_median_latency_us,intrinsic_p95_latency_us,completion_median_latency_us,completion_p95_latency_us,rank_skew_median_us,rank_skew_p95_us,ring_equivalent_factor,ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,8192,4.176000000000386,4.993549999998504,7.535999999999149,10.630399999999826,3.4244999999991705,6.436800000000653,1.0,1.9616858237546082
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,8192,4.1599999999998545,4.868800000001283,7.9354999999995925,10.433600000000661,3.823499999998603,6.184949999998889,1.0,1.9692307692308384
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,8192,4.1599999999998545,4.768000000000211,8.175499999997555,11.423999999999241,4.047999999998865,7.471999999999039,1.0,1.9692307692308384
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,8192,4.1599999999998545,4.643199999999433,8.015999999999622,12.864650000001074,3.792000000000371,8.61594999999843,1.0,1.9692307692308384
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,8192,4.1599999999998545,4.769599999999991,7.871999999999389,11.14715000000042,3.808000000000902,6.797750000001633,1.0,1.9692307692308384
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,16384,4.1599999999998545,5.091199999999753,7.695500000000266,10.52960000000021,3.583999999999378,6.337550000001011,1.0,3.938461538461677
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,16384,4.1599999999998545,5.025600000001191,7.520000000000437,9.985549999999488,3.343499999999949,5.766399999999908,1.0,3.938461538461677
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,16384,4.1599999999998545,4.867199999999593,7.104000000000269,9.440599999999858,2.9445000000006303,5.153550000000041,1.0,3.938461538461677
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,16384,4.192000000000917,5.025550000000339,7.6159999999999854,12.348799999999754,3.392000000000735,8.180799999999861,1.0,3.90839694656403
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,16384,4.175500000000056,5.055999999999585,7.584000000000742,10.168050000000937,3.376000000001113,5.7952000000009285,1.0,3.9238414561129877
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,32768,4.2874999999989996,5.090549999999939,7.663499999999658,10.689600000000109,3.3915000000008604,6.468799999999964,1.0,7.642682215745223
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,32768,4.1599999999998545,5.060800000000427,7.760000000000218,9.636800000000449,3.61600000000044,5.567999999998529,1.0,7.876923076923354
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,32768,4.223999999999251,5.217550000000301,7.423999999999978,10.305599999999618,3.2960000000002765,6.021449999999367,1.0,7.757575757577134
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,32768,4.192000000000007,4.89600000000064,8.015500000000202,13.223999999998613,3.7445000000006985,8.963200000000915,1.0,7.816793893129757
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,32768,4.1599999999998545,4.996149999999534,7.904000000000451,10.823999999999796,3.8079999999999927,6.697600000000056,1.0,7.876923076923354
