candidate_id,family,head_mode,gate_mode,engineered,calls_only,learning_rate,width,weight_decay,calls_weight,shape_weight,wape_weight,mape_weight,tv_weight,emd_weight,cost_weight,mb16_weight,screen_seed,alpha,score,calls_wape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_wape,mb16_calls_mape
pp34_c01_pp_split_retrain_shared_lr0.001_w64,pp_split_retrain,shared,none,True,True,0.001,64,0.0003,8.0,2.0,4.0,0.5,3.0,2.0,4.0,1.25,20260850,1.0,2.4062744431010836,0.058434881263221904,1.285262293930229e-16,0.14997265583230648,0.020417146584355526,0.041229300662859875,0.34674536725181476
pp34_c02_pp_split_retrain_shared_lr0.003_w64,pp_split_retrain,shared,none,True,True,0.003,64,0.0003,8.0,2.0,4.0,0.5,3.0,2.0,4.0,1.25,20260887,1.0,2.3669145283538198,0.05559663912230773,1.285262293930229e-16,0.15372050330520481,0.020520227301815953,0.0392267512257414,0.335800557351069
pp34_c03_pp_split_retrain_policy_lr0.001_w64,pp_split_retrain,policy,none,True,True,0.001,64,0.0003,8.0,2.0,4.0,0.5,3.0,2.0,4.0,1.25,20260924,1.0,2.210373440740049,0.050580745072487124,1.285262293930229e-16,0.14650860396936627,0.01973862036076605,0.03568773823551118,0.33284290141665046
pp34_c04_pp_split_retrain_policy_lr0.003_w64,pp_split_retrain,policy,none,True,True,0.003,64,0.0003,8.0,2.0,4.0,0.5,3.0,2.0,4.0,1.25,20260961,1.0,2.2159048498177842,0.050307674295202665,1.285262293930229e-16,0.14776155559065915,0.01995902041328384,0.03549507048406683,0.3401409018574246
pp34_c05_pp_split_retrain_model_lr0.001_w64,pp_split_retrain,model,none,True,True,0.001,64,0.0003,8.0,2.0,4.0,0.5,3.0,2.0,4.0,1.25,20260998,1.0,2.4672427374780987,0.06129831553659274,1.285262293930229e-16,0.1521466901200217,0.02008075773154289,0.043249624654849356,0.33205164594695064
pp34_c06_pp_split_retrain_model_lr0.003_w64,pp_split_retrain,model,none,True,True,0.003,64,0.0003,8.0,2.0,4.0,0.5,3.0,2.0,4.0,1.25,20261035,1.0,2.3763034671154277,0.05589493304425363,1.285262293930229e-16,0.1538873576556057,0.02061753130198646,0.03943721541302044,0.3478068267705474
pp34_c07_pp_calls_shape_gate_policy_lr0.001_w64,pp_calls_shape_gate,policy,sample,True,True,0.001,64,0.0007,10.0,3.0,5.0,0.75,3.0,2.0,5.0,1.5,20261072,1.0,2.2596177950464944,0.05288963496136724,1.285262293930229e-16,0.14633534217717928,0.019820944874323797,0.03731679802596871,0.3421403048332831
pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,pp_calls_shape_gate,policy,sample,True,True,0.003,64,0.0007,10.0,3.0,5.0,0.75,3.0,2.0,5.0,1.5,20261109,1.0,2.2506421178092846,0.05196228697043895,1.285262293930229e-16,0.14861229566366327,0.0198186585784145,0.0366624986022246,0.3459476655816684
pp34_c09_pp_calls_shape_gate_model_lr0.001_w64,pp_calls_shape_gate,model,sample,True,True,0.001,64,0.0007,10.0,3.0,5.0,0.75,3.0,2.0,5.0,1.5,20261146,1.0,2.446238726496919,0.060062349119891036,1.285262293930229e-16,0.15201587248797557,0.020291611893111187,0.04237757648940772,0.34342024166375307
pp34_c10_pp_calls_shape_gate_model_lr0.003_w64,pp_calls_shape_gate,model,sample,True,True,0.003,64,0.0007,10.0,3.0,5.0,0.75,3.0,2.0,5.0,1.5,20261183,1.0,2.406413585392878,0.057026084662267655,1.285262293930229e-16,0.1559159329878323,0.020512987673842954,0.04023531047450101,0.346568727735524
