parallelism,rank,candidate_id,seed,path,sha256,bytes
pp,1,pp34_c03_pp_split_retrain_policy_lr0.001_w64,20260813,checkpoints/pp_top1_seed20260813.pt,900e55d68322037295a72889ee1cce5e1588ae6cce38513e8d77580536877abe,707911
pp,1,pp34_c03_pp_split_retrain_policy_lr0.001_w64,20260914,checkpoints/pp_top1_seed20260914.pt,326e5ca8ac7eeaf4987b688b8c4eba229743c67c529611a5dee837e813298c43,707911
pp,1,pp34_c03_pp_split_retrain_policy_lr0.001_w64,20261015,checkpoints/pp_top1_seed20261015.pt,7f40def8e9508cacde9de6564873dd8d50ff3ce0b5cc5993e68d0d7df878b43b,707911
pp,2,pp34_c04_pp_split_retrain_policy_lr0.003_w64,20260813,checkpoints/pp_top2_seed20260813.pt,cba1bdf108c86ca3eb39f448a31189c7917b80ef33610e699e46cb8b9ee0bc83,707911
pp,2,pp34_c04_pp_split_retrain_policy_lr0.003_w64,20260914,checkpoints/pp_top2_seed20260914.pt,8495e5bf971cd0f19c53fc2c54d94682289d68a4d6477b4042ee7ebe4edf6748,707911
pp,2,pp34_c04_pp_split_retrain_policy_lr0.003_w64,20261015,checkpoints/pp_top2_seed20261015.pt,11804ba6b10276aec62836fe8c78066efa54b37818dde591f1db3d41289eae7c,707911
pp,3,pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,20260813,checkpoints/pp_top3_seed20260813.pt,0fe6ed218cb7cea8d818b2414f7990190f1b192493179018c4f5e2ee6a48acfe,747555
pp,3,pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,20260914,checkpoints/pp_top3_seed20260914.pt,aa317620e7aebbfff3e98498971ed2ffff62d9fb776073aa68f75d9d3fd75215,747555
pp,3,pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,20261015,checkpoints/pp_top3_seed20261015.pt,c9a2c72219d8d53ba0cbe1056475fe3ffdd5e33d78f88bc348c2b514cb581bc9,747555
