timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:24:00.142, 0, 0 MiB, 0 %
2026/08/06 10:24:00.143, 1, 0 MiB, 0 %
2026/08/06 10:24:00.144, 2, 0 MiB, 0 %
2026/08/06 10:24:00.144, 3, 0 MiB, 0 %
2026/08/06 10:24:00.145, 4, 0 MiB, 0 %
2026/08/06 10:24:00.146, 5, 0 MiB, 0 %
2026/08/06 10:24:00.147, 6, 0 MiB, 0 %
2026/08/06 10:24:00.147, 7, 0 MiB, 0 %
2026/08/06 10:24:01.148, 0, 0 MiB, 0 %
2026/08/06 10:24:01.148, 1, 0 MiB, 0 %
2026/08/06 10:24:01.148, 2, 0 MiB, 0 %
2026/08/06 10:24:01.148, 3, 0 MiB, 0 %
2026/08/06 10:24:01.148, 4, 0 MiB, 0 %
2026/08/06 10:24:01.148, 5, 0 MiB, 0 %
2026/08/06 10:24:01.148, 6, 0 MiB, 0 %
2026/08/06 10:24:01.148, 7, 0 MiB, 0 %
2026/08/06 10:24:02.148, 0, 0 MiB, 0 %
2026/08/06 10:24:02.149, 1, 0 MiB, 0 %
2026/08/06 10:24:02.149, 2, 0 MiB, 0 %
2026/08/06 10:24:02.149, 3, 0 MiB, 0 %
2026/08/06 10:24:02.149, 4, 0 MiB, 0 %
2026/08/06 10:24:02.149, 5, 0 MiB, 0 %
2026/08/06 10:24:02.149, 6, 0 MiB, 0 %
2026/08/06 10:24:02.149, 7, 0 MiB, 0 %
2026/08/06 10:24:03.149, 0, 4 MiB, 0 %
2026/08/06 10:24:03.175, 1, 4 MiB, 0 %
2026/08/06 10:24:03.186, 2, 4 MiB, 0 %
2026/08/06 10:24:03.187, 3, 4 MiB, 0 %
2026/08/06 10:24:03.188, 4, 0 MiB, 0 %
2026/08/06 10:24:03.199, 5, 0 MiB, 0 %
2026/08/06 10:24:03.210, 6, 0 MiB, 0 %
2026/08/06 10:24:03.211, 7, 0 MiB, 0 %
2026/08/06 10:24:04.212, 0, 4 MiB, 0 %
2026/08/06 10:24:04.212, 1, 4 MiB, 0 %
2026/08/06 10:24:04.212, 2, 4 MiB, 0 %
2026/08/06 10:24:04.212, 3, 4 MiB, 0 %
2026/08/06 10:24:04.212, 4, 0 MiB, 0 %
2026/08/06 10:24:04.212, 5, 0 MiB, 0 %
2026/08/06 10:24:04.212, 6, 0 MiB, 0 %
2026/08/06 10:24:04.212, 7, 0 MiB, 0 %
2026/08/06 10:24:05.212, 0, 4 MiB, 0 %
2026/08/06 10:24:05.212, 1, 4 MiB, 0 %
2026/08/06 10:24:05.212, 2, 4 MiB, 0 %
2026/08/06 10:24:05.212, 3, 4 MiB, 0 %
2026/08/06 10:24:05.212, 4, 0 MiB, 0 %
2026/08/06 10:24:05.212, 5, 0 MiB, 0 %
2026/08/06 10:24:05.212, 6, 0 MiB, 0 %
2026/08/06 10:24:05.212, 7, 0 MiB, 0 %
2026/08/06 10:24:06.212, 0, 4 MiB, 0 %
2026/08/06 10:24:06.212, 1, 4 MiB, 0 %
2026/08/06 10:24:06.212, 2, 4 MiB, 0 %
2026/08/06 10:24:06.212, 3, 4 MiB, 0 %
2026/08/06 10:24:06.212, 4, 0 MiB, 0 %
2026/08/06 10:24:06.212, 5, 0 MiB, 0 %
2026/08/06 10:24:06.212, 6, 0 MiB, 0 %
2026/08/06 10:24:06.213, 7, 0 MiB, 0 %
2026/08/06 10:24:07.213, 0, 4 MiB, 0 %
2026/08/06 10:24:07.213, 1, 4 MiB, 0 %
2026/08/06 10:24:07.213, 2, 4 MiB, 0 %
2026/08/06 10:24:07.213, 3, 4 MiB, 0 %
2026/08/06 10:24:07.213, 4, 0 MiB, 0 %
2026/08/06 10:24:07.213, 5, 0 MiB, 0 %
2026/08/06 10:24:07.213, 6, 0 MiB, 0 %
2026/08/06 10:24:07.213, 7, 0 MiB, 0 %
2026/08/06 10:24:08.213, 0, 4 MiB, 0 %
2026/08/06 10:24:08.213, 1, 4 MiB, 0 %
2026/08/06 10:24:08.213, 2, 4 MiB, 0 %
2026/08/06 10:24:08.213, 3, 4 MiB, 0 %
2026/08/06 10:24:08.213, 4, 0 MiB, 0 %
2026/08/06 10:24:08.213, 5, 0 MiB, 0 %
2026/08/06 10:24:08.213, 6, 0 MiB, 0 %
2026/08/06 10:24:08.213, 7, 0 MiB, 0 %
2026/08/06 10:24:09.213, 0, 4 MiB, 0 %
2026/08/06 10:24:09.213, 1, 4 MiB, 0 %
2026/08/06 10:24:09.213, 2, 4 MiB, 0 %
2026/08/06 10:24:09.213, 3, 4 MiB, 0 %
2026/08/06 10:24:09.213, 4, 0 MiB, 0 %
2026/08/06 10:24:09.213, 5, 0 MiB, 0 %
2026/08/06 10:24:09.213, 6, 0 MiB, 0 %
2026/08/06 10:24:09.213, 7, 0 MiB, 0 %
2026/08/06 10:24:10.213, 0, 4 MiB, 0 %
2026/08/06 10:24:10.213, 1, 4 MiB, 0 %
2026/08/06 10:24:10.213, 2, 4 MiB, 0 %
2026/08/06 10:24:10.213, 3, 4 MiB, 0 %
2026/08/06 10:24:10.213, 4, 0 MiB, 0 %
2026/08/06 10:24:10.213, 5, 0 MiB, 0 %
2026/08/06 10:24:10.214, 6, 0 MiB, 0 %
2026/08/06 10:24:10.214, 7, 0 MiB, 0 %
2026/08/06 10:24:11.214, 0, 4 MiB, 0 %
2026/08/06 10:24:11.214, 1, 4 MiB, 0 %
2026/08/06 10:24:11.214, 2, 4 MiB, 0 %
2026/08/06 10:24:11.214, 3, 4 MiB, 0 %
2026/08/06 10:24:11.214, 4, 0 MiB, 0 %
2026/08/06 10:24:11.214, 5, 0 MiB, 0 %
2026/08/06 10:24:11.214, 6, 0 MiB, 0 %
2026/08/06 10:24:11.214, 7, 0 MiB, 0 %
2026/08/06 10:24:12.214, 0, 4 MiB, 0 %
2026/08/06 10:24:12.214, 1, 4 MiB, 0 %
2026/08/06 10:24:12.214, 2, 4 MiB, 0 %
2026/08/06 10:24:12.214, 3, 4 MiB, 0 %
2026/08/06 10:24:12.214, 4, 0 MiB, 0 %
2026/08/06 10:24:12.214, 5, 0 MiB, 0 %
2026/08/06 10:24:12.214, 6, 0 MiB, 0 %
2026/08/06 10:24:12.214, 7, 0 MiB, 0 %
2026/08/06 10:24:13.214, 0, 4 MiB, 0 %
2026/08/06 10:24:13.222, 1, 4 MiB, 0 %
2026/08/06 10:24:13.222, 2, 4 MiB, 0 %
2026/08/06 10:24:13.222, 3, 4 MiB, 0 %
2026/08/06 10:24:13.223, 4, 0 MiB, 0 %
2026/08/06 10:24:13.223, 5, 0 MiB, 0 %
2026/08/06 10:24:13.223, 6, 0 MiB, 0 %
2026/08/06 10:24:13.223, 7, 0 MiB, 0 %
2026/08/06 10:24:14.224, 0, 4 MiB, 0 %
2026/08/06 10:24:14.224, 1, 4 MiB, 0 %
2026/08/06 10:24:14.224, 2, 4 MiB, 0 %
2026/08/06 10:24:14.224, 3, 4 MiB, 0 %
2026/08/06 10:24:14.224, 4, 0 MiB, 0 %
2026/08/06 10:24:14.224, 5, 0 MiB, 0 %
2026/08/06 10:24:14.224, 6, 0 MiB, 0 %
2026/08/06 10:24:14.224, 7, 0 MiB, 0 %
2026/08/06 10:24:15.224, 0, 4 MiB, 0 %
2026/08/06 10:24:15.224, 1, 4 MiB, 0 %
2026/08/06 10:24:15.224, 2, 4 MiB, 0 %
2026/08/06 10:24:15.224, 3, 4 MiB, 0 %
2026/08/06 10:24:15.224, 4, 0 MiB, 0 %
2026/08/06 10:24:15.224, 5, 0 MiB, 0 %
2026/08/06 10:24:15.224, 6, 0 MiB, 0 %
2026/08/06 10:24:15.224, 7, 0 MiB, 0 %
2026/08/06 10:24:16.224, 0, 4 MiB, 0 %
2026/08/06 10:24:16.225, 1, 4 MiB, 0 %
2026/08/06 10:24:16.225, 2, 4 MiB, 0 %
2026/08/06 10:24:16.225, 3, 4 MiB, 0 %
2026/08/06 10:24:16.225, 4, 0 MiB, 0 %
2026/08/06 10:24:16.225, 5, 0 MiB, 0 %
2026/08/06 10:24:16.225, 6, 0 MiB, 0 %
2026/08/06 10:24:16.225, 7, 0 MiB, 0 %
2026/08/06 10:24:17.225, 0, 4 MiB, 0 %
2026/08/06 10:24:17.225, 1, 4 MiB, 0 %
2026/08/06 10:24:17.225, 2, 4 MiB, 0 %
2026/08/06 10:24:17.225, 3, 4 MiB, 0 %
2026/08/06 10:24:17.225, 4, 0 MiB, 0 %
2026/08/06 10:24:17.225, 5, 0 MiB, 0 %
2026/08/06 10:24:17.225, 6, 0 MiB, 0 %
2026/08/06 10:24:17.225, 7, 0 MiB, 0 %
2026/08/06 10:24:18.225, 0, 4 MiB, 0 %
2026/08/06 10:24:18.225, 1, 4 MiB, 0 %
2026/08/06 10:24:18.225, 2, 4 MiB, 0 %
2026/08/06 10:24:18.225, 3, 4 MiB, 0 %
2026/08/06 10:24:18.225, 4, 0 MiB, 0 %
2026/08/06 10:24:18.225, 5, 0 MiB, 0 %
2026/08/06 10:24:18.225, 6, 0 MiB, 0 %
2026/08/06 10:24:18.225, 7, 0 MiB, 0 %
2026/08/06 10:24:19.225, 0, 4 MiB, 0 %
2026/08/06 10:24:19.225, 1, 4 MiB, 0 %
2026/08/06 10:24:19.225, 2, 4 MiB, 0 %
2026/08/06 10:24:19.225, 3, 4 MiB, 0 %
2026/08/06 10:24:19.225, 4, 0 MiB, 0 %
2026/08/06 10:24:19.225, 5, 0 MiB, 0 %
2026/08/06 10:24:19.225, 6, 0 MiB, 0 %
2026/08/06 10:24:19.225, 7, 0 MiB, 0 %
2026/08/06 10:24:20.225, 0, 27 MiB, 0 %
2026/08/06 10:24:20.228, 1, 27 MiB, 0 %
2026/08/06 10:24:20.232, 2, 27 MiB, 0 %
2026/08/06 10:24:20.233, 3, 629 MiB, 0 %
2026/08/06 10:24:20.235, 4, 0 MiB, 0 %
2026/08/06 10:24:20.236, 5, 0 MiB, 0 %
2026/08/06 10:24:20.238, 6, 0 MiB, 0 %
2026/08/06 10:24:20.238, 7, 0 MiB, 0 %
2026/08/06 10:24:21.239, 0, 629 MiB, 0 %
2026/08/06 10:24:21.239, 1, 725 MiB, 0 %
2026/08/06 10:24:21.239, 2, 725 MiB, 0 %
2026/08/06 10:24:21.239, 3, 629 MiB, 0 %
2026/08/06 10:24:21.239, 4, 0 MiB, 0 %
2026/08/06 10:24:21.239, 5, 0 MiB, 0 %
2026/08/06 10:24:21.239, 6, 0 MiB, 0 %
2026/08/06 10:24:21.239, 7, 0 MiB, 0 %
2026/08/06 10:24:22.239, 0, 821 MiB, 0 %
2026/08/06 10:24:22.250, 1, 821 MiB, 0 %
2026/08/06 10:24:22.261, 2, 821 MiB, 0 %
2026/08/06 10:24:22.262, 3, 821 MiB, 0 %
2026/08/06 10:24:22.273, 4, 0 MiB, 0 %
2026/08/06 10:24:22.273, 5, 0 MiB, 0 %
2026/08/06 10:24:22.273, 6, 0 MiB, 0 %
2026/08/06 10:24:22.273, 7, 0 MiB, 0 %
2026/08/06 10:24:23.273, 0, 2157 MiB, 0 %
2026/08/06 10:24:23.273, 1, 2189 MiB, 1 %
2026/08/06 10:24:23.273, 2, 2189 MiB, 1 %
2026/08/06 10:24:23.273, 3, 2029 MiB, 0 %
2026/08/06 10:24:23.273, 4, 0 MiB, 0 %
2026/08/06 10:24:23.273, 5, 0 MiB, 0 %
2026/08/06 10:24:23.273, 6, 0 MiB, 0 %
2026/08/06 10:24:23.273, 7, 0 MiB, 0 %
2026/08/06 10:24:24.273, 0, 2157 MiB, 0 %
2026/08/06 10:24:24.273, 1, 2189 MiB, 0 %
2026/08/06 10:24:24.273, 2, 2189 MiB, 0 %
2026/08/06 10:24:24.273, 3, 2029 MiB, 0 %
2026/08/06 10:24:24.273, 4, 0 MiB, 0 %
2026/08/06 10:24:24.273, 5, 0 MiB, 0 %
2026/08/06 10:24:24.273, 6, 0 MiB, 0 %
2026/08/06 10:24:24.273, 7, 0 MiB, 0 %
2026/08/06 10:24:25.273, 0, 6101 MiB, 3 %
2026/08/06 10:24:25.273, 1, 6133 MiB, 1 %
2026/08/06 10:24:25.273, 2, 6133 MiB, 1 %
2026/08/06 10:24:25.273, 3, 5973 MiB, 7 %
2026/08/06 10:24:25.273, 4, 0 MiB, 0 %
