model,tp,profile_id,strategy,repeat,phase,requests,normalization_requests,total_calls_per_1000,total_logical_bytes_per_1000,calls_by_12bin_json,logical_bytes_by_12bin_json,canonical_exact_histogram_per_1000_json,raw_op_exact_histogram_per_1000_json
qwen3-8b,2,profile_01_burstgpt_1_c0,balanced,0,decode,32,1000,994625.0,26929408000.0,"[120906.25,458531.25,415187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[990464000.0,8465664000.0,17473280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":120906.25,""16384"":342187.5,""24576"":116343.75,""32768"":118625.0,""40960"":141437.5,""49152"":143718.75,""57344"":2281.25,""65536"":9125.0}","{""all_reduce:8192"":120906.25,""all_reduce:16384"":342187.5,""all_reduce:24576"":116343.75,""all_reduce:32768"":118625.0,""all_reduce:40960"":141437.5,""all_reduce:49152"":143718.75,""all_reduce:57344"":2281.25,""all_reduce:65536"":9125.0}"
qwen3-8b,2,profile_01_burstgpt_1_c0,balanced,0,prefill,32,1000,9125.0,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.5,4562.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120537600000.0,211678976000.0,0.0,0.0]","{""25034752"":2281.25,""27803648"":2281.25,""32268288"":2281.25,""60522496"":2281.25}","{""all_reduce:25034752"":2281.25,""all_reduce:27803648"":2281.25,""all_reduce:32268288"":2281.25,""all_reduce:60522496"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,balanced,1,decode,32,1000,994625.0,26929408000.0,"[120906.25,458531.25,415187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[990464000.0,8465664000.0,17473280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":120906.25,""16384"":342187.5,""24576"":116343.75,""32768"":118625.0,""40960"":141437.5,""49152"":143718.75,""57344"":2281.25,""65536"":9125.0}","{""all_reduce:8192"":120906.25,""all_reduce:16384"":342187.5,""all_reduce:24576"":116343.75,""all_reduce:32768"":118625.0,""all_reduce:40960"":141437.5,""all_reduce:49152"":143718.75,""all_reduce:57344"":2281.25,""all_reduce:65536"":9125.0}"
qwen3-8b,2,profile_01_burstgpt_1_c0,balanced,1,prefill,32,1000,9125.0,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.5,4562.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120537600000.0,211678976000.0,0.0,0.0]","{""25034752"":2281.25,""27803648"":2281.25,""32268288"":2281.25,""60522496"":2281.25}","{""all_reduce:25034752"":2281.25,""all_reduce:27803648"":2281.25,""all_reduce:32268288"":2281.25,""all_reduce:60522496"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,balanced,2,decode,32,1000,994625.0,26929408000.0,"[120906.25,458531.25,415187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[990464000.0,8465664000.0,17473280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":120906.25,""16384"":342187.5,""24576"":116343.75,""32768"":118625.0,""40960"":141437.5,""49152"":143718.75,""57344"":2281.25,""65536"":9125.0}","{""all_reduce:8192"":120906.25,""all_reduce:16384"":342187.5,""all_reduce:24576"":116343.75,""all_reduce:32768"":118625.0,""all_reduce:40960"":141437.5,""all_reduce:49152"":143718.75,""all_reduce:57344"":2281.25,""all_reduce:65536"":9125.0}"
qwen3-8b,2,profile_01_burstgpt_1_c0,balanced,2,prefill,32,1000,9125.0,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.5,4562.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120537600000.0,211678976000.0,0.0,0.0]","{""25034752"":2281.25,""27803648"":2281.25,""32268288"":2281.25,""60522496"":2281.25}","{""all_reduce:25034752"":2281.25,""all_reduce:27803648"":2281.25,""all_reduce:32268288"":2281.25,""all_reduce:60522496"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,latency,0,decode,32,1000,1649343.75,26929408000.0,"[483625.0,1001468.75,164250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3961856000.0,17585408000.0,5382144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":483625.0,""16384"":857750.0,""24576"":143718.75,""32768"":164250.0}","{""all_reduce:8192"":483625.0,""all_reduce:16384"":857750.0,""all_reduce:24576"":143718.75,""all_reduce:32768"":164250.0}"
qwen3-8b,2,profile_01_burstgpt_1_c0,latency,0,prefill,32,1000,18250.0,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15968.75,2281.25,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251540480000.0,80676096000.0,0.0,0.0]","{""11288576"":2281.25,""12746752"":2281.25,""13746176"":2281.25,""13934592"":2281.25,""15056896"":2281.25,""18333696"":2281.25,""25157632"":2281.25,""35364864"":2281.25}","{""all_reduce:11288576"":2281.25,""all_reduce:12746752"":2281.25,""all_reduce:13746176"":2281.25,""all_reduce:13934592"":2281.25,""all_reduce:15056896"":2281.25,""all_reduce:18333696"":2281.25,""all_reduce:25157632"":2281.25,""all_reduce:35364864"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,latency,1,decode,32,1000,1649343.75,26929408000.0,"[483625.0,1001468.75,164250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3961856000.0,17585408000.0,5382144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":483625.0,""16384"":857750.0,""24576"":143718.75,""32768"":164250.0}","{""all_reduce:8192"":483625.0,""all_reduce:16384"":857750.0,""all_reduce:24576"":143718.75,""all_reduce:32768"":164250.0}"
qwen3-8b,2,profile_01_burstgpt_1_c0,latency,1,prefill,32,1000,18250.0,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15968.75,2281.25,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251540480000.0,80676096000.0,0.0,0.0]","{""11288576"":2281.25,""12746752"":2281.25,""13746176"":2281.25,""13934592"":2281.25,""15056896"":2281.25,""18333696"":2281.25,""25157632"":2281.25,""35364864"":2281.25}","{""all_reduce:11288576"":2281.25,""all_reduce:12746752"":2281.25,""all_reduce:13746176"":2281.25,""all_reduce:13934592"":2281.25,""all_reduce:15056896"":2281.25,""all_reduce:18333696"":2281.25,""all_reduce:25157632"":2281.25,""all_reduce:35364864"":2281.25}"
