model,tp,profile_id,strategy,repeat,phase,requests,normalization_requests,total_calls_per_1000,total_logical_bytes_per_1000,calls_by_12bin_json,logical_bytes_by_12bin_json,canonical_exact_histogram_per_1000_json,raw_op_exact_histogram_per_1000_json
deepseek-v2-lite,8,profile_24_mooncake_synthetic_c0,balanced,0,prefill,32,1000,10312.5,1030775680000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.75,8593.75,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118581760000.0,912193920000.0,0.0]","{""68993024"":1718.75,""82722816"":1718.75,""100872192"":1718.75,""100950016"":1718.75,""120078336"":1718.75,""126107648"":1718.75}","{""all_reduce:68993024"":1718.75,""all_reduce:82722816"":1718.75,""all_reduce:100872192"":1718.75,""all_reduce:100950016"":1718.75,""all_reduce:120078336"":1718.75,""all_reduce:126107648"":1718.75}"
deepseek-v2-lite,8,profile_24_mooncake_synthetic_c0,latency,0,decode,32,1000,3284531.25,16016000000.0,"[3141875.0,142656.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[14094080000.0,1921920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":2842812.5,""8192"":299062.5,""12288"":101406.25,""16384"":41250.0}","{""all_reduce:4096"":2842812.5,""all_reduce:8192"":299062.5,""all_reduce:12288"":101406.25,""all_reduce:16384"":41250.0}"
deepseek-v2-lite,8,profile_24_mooncake_synthetic_c0,latency,0,prefill,32,1000,42968.75,1030775680000.0,"[0.0,0.0,0.0,6875.0,1718.75,0.0,1718.75,0.0,5156.25,27500.0,0.0,0.0]","[0.0,0.0,0.0,894080000.0,359040000.0,0.0,3238400000.0,0.0,106853120000.0,919431040000.0,0.0,0.0]","{""81920"":1718.75,""122880"":1718.75,""151552"":1718.75,""163840"":1718.75,""208896"":1718.75,""1884160"":1718.75,""15462400"":1718.75,""19333120"":1718.75,""27373568"":1718.75,""31625216"":1718.75,""33554432"":25781.25}","{""all_reduce:81920"":1718.75,""all_reduce:122880"":1718.75,""all_reduce:151552"":1718.75,""all_reduce:163840"":1718.75,""all_reduce:208896"":1718.75,""all_reduce:1884160"":1718.75,""all_reduce:15462400"":1718.75,""all_reduce:19333120"":1718.75,""all_reduce:27373568"":1718.75,""all_reduce:31625216"":1718.75,""all_reduce:33554432"":25781.25}"
deepseek-v2-lite,8,profile_24_mooncake_synthetic_c0,throughput,0,decode,32,1000,654843.75,16016000000.0,"[18906.25,500156.25,135781.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[154880000.0,10081280000.0,5779840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":18906.25,""12288"":161562.5,""16384"":53281.25,""20480"":39531.25,""24576"":154687.5,""28672"":91093.75,""32768"":25781.25,""36864"":10312.5,""40960"":56718.75,""45056"":6875.0,""49152"":22343.75,""53248"":1718.75,""57344"":3437.5,""61440"":6875.0,""65536"":1718.75}","{""all_reduce:8192"":18906.25,""all_reduce:12288"":161562.5,""all_reduce:16384"":53281.25,""all_reduce:20480"":39531.25,""all_reduce:24576"":154687.5,""all_reduce:28672"":91093.75,""all_reduce:32768"":25781.25,""all_reduce:36864"":10312.5,""all_reduce:40960"":56718.75,""all_reduce:45056"":6875.0,""all_reduce:49152"":22343.75,""all_reduce:53248"":1718.75,""all_reduce:57344"":3437.5,""all_reduce:61440"":6875.0,""all_reduce:65536"":1718.75}"
deepseek-v2-lite,8,profile_24_mooncake_synthetic_c0,throughput,0,prefill,32,1000,5156.25,1030775680000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.75,3437.5]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176253440000.0,854522240000.0]","{""102547456"":1718.75,""236355584"":1718.75,""260820992"":1718.75}","{""all_reduce:102547456"":1718.75,""all_reduce:236355584"":1718.75,""all_reduce:260820992"":1718.75}"
qwen3-30b-a3b,2,profile_01_burstgpt_1_c0,balanced,0,decode,32,1000,1321625.0,17891456000.0,"[615343.75,694156.25,12125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4382848000.0,13111296000.0,397312000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":160656.25,""8192"":454687.5,""12288"":154593.75,""16384"":157625.0,""20480"":187937.5,""24576"":190968.75,""28672"":3031.25,""32768"":12125.0}","{""all_reduce:4096"":3312.5,""all_reduce:8192"":9375.0,""all_reduce:12288"":3187.5,""all_reduce:16384"":3250.0,""all_reduce:20480"":3875.0,""all_reduce:24576"":3937.5,""all_reduce:28672"":62.5,""all_reduce:32768"":250.0,""fused_allreduce_residual_rmsnorm:4096"":157343.75,""fused_allreduce_residual_rmsnorm:8192"":445312.5,""fused_allreduce_residual_rmsnorm:12288"":151406.25,""fused_allreduce_residual_rmsnorm:16384"":154375.0,""fused_allreduce_residual_rmsnorm:20480"":184062.5,""fused_allreduce_residual_rmsnorm:24576"":187031.25,""fused_allreduce_residual_rmsnorm:28672"":2968.75,""fused_allreduce_residual_rmsnorm:32768"":11875.0}"
qwen3-30b-a3b,2,profile_01_burstgpt_1_c0,balanced,0,prefill,32,1000,12125.0,220719232000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9093.75,3031.25,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128989824000.0,91729408000.0,0.0,0.0]","{""12517376"":3031.25,""13901824"":3031.25,""16134144"":3031.25,""30261248"":3031.25}","{""all_reduce:12517376"":3031.25,""all_reduce:13901824"":3031.25,""all_reduce:16134144"":3031.25,""all_reduce:30261248"":3031.25}"
qwen3-30b-a3b,2,profile_01_burstgpt_1_c0,latency,0,decode,32,1000,2191593.75,17891456000.0,"[1782375.0,409218.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[11969024000.0,5922432000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":642625.0,""8192"":1139750.0,""12288"":190968.75,""16384"":218250.0}","{""all_reduce:4096"":13250.0,""all_reduce:8192"":23500.0,""all_reduce:12288"":3937.5,""all_reduce:16384"":4500.0,""fused_allreduce_residual_rmsnorm:4096"":629375.0,""fused_allreduce_residual_rmsnorm:8192"":1116250.0,""fused_allreduce_residual_rmsnorm:12288"":187031.25,""fused_allreduce_residual_rmsnorm:16384"":213750.0}"
qwen3-30b-a3b,2,profile_01_burstgpt_1_c0,latency,0,prefill,32,1000,24250.0,220719232000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,18187.5,6062.5,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,128989824000.0,91729408000.0,0.0,0.0,0.0]","{""5644288"":3031.25,""6373376"":3031.25,""6873088"":3031.25,""6967296"":3031.25,""7528448"":3031.25,""9166848"":3031.25,""12578816"":3031.25,""17682432"":3031.25}","{""all_reduce:5644288"":62.5,""all_reduce:6373376"":62.5,""all_reduce:6873088"":62.5,""all_reduce:6967296"":62.5,""all_reduce:7528448"":62.5,""all_reduce:9166848"":3031.25,""all_reduce:12578816"":3031.25,""all_reduce:17682432"":3031.25,""fused_allreduce_residual_rmsnorm:5644288"":2968.75,""fused_allreduce_residual_rmsnorm:6373376"":2968.75,""fused_allreduce_residual_rmsnorm:6873088"":2968.75,""fused_allreduce_residual_rmsnorm:6967296"":2968.75,""fused_allreduce_residual_rmsnorm:7528448"":2968.75}"
qwen3-30b-a3b,2,profile_01_burstgpt_1_c0,throughput,0,decode,32,1000,769937.5,17891456000.0,"[0.0,700218.75,69718.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,15395840000.0,2495616000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""16384"":163687.5,""20480"":309187.5,""24576"":33343.75,""28672"":194000.0,""32768"":60625.0,""36864"":3031.25,""65536"":6062.5}","{""all_reduce:16384"":3375.0,""all_reduce:20480"":6375.0,""all_reduce:24576"":687.5,""all_reduce:28672"":4000.0,""all_reduce:32768"":1250.0,""all_reduce:36864"":62.5,""all_reduce:65536"":125.0,""fused_allreduce_residual_rmsnorm:16384"":160312.5,""fused_allreduce_residual_rmsnorm:20480"":302812.5,""fused_allreduce_residual_rmsnorm:24576"":32656.25,""fused_allreduce_residual_rmsnorm:28672"":190000.0,""fused_allreduce_residual_rmsnorm:32768"":59375.0,""fused_allreduce_residual_rmsnorm:36864"":2968.75,""fused_allreduce_residual_rmsnorm:65536"":5937.5}"
