evaluation,method,scope,samples,calls_vector_wape,bytes_vector_wape,total_calls_mape,total_bytes_mape,mean_histogram_l1,mean_log_payload_emd,l1_structural_cost_mape,l1_structural_cost_p95_ape
model_holdout,h0,all,1296,0.29458020141845775,0.28426596362328066,0.09184095202585028,0.053599254077021465,0.3149108891593794,0.016898277727666323,0.09201046122959908,0.30397709787779204
model_holdout,h0,decode,648,0.29181592103796317,0.26957389245620195,0.15154057448653588,0.05882351768114041,0.30011183114471834,0.016083037790388287,0.14083154115684224,0.3980327094452419
model_holdout,h0,prefill,648,0.5574556574923547,0.2846430864320434,0.03214132956516469,0.04837499047290253,0.3297099471740405,0.017713517664944358,0.04318938130235592,0.11103099271399097
model_holdout,h0_residual,all,1296,0.30984971121716837,0.27927913843698565,0.10045071045757879,0.0528912457634509,0.309561240498187,0.016630030673089685,0.08709386559122645,0.27706350572377986
model_holdout,h0_residual,decode,648,0.3069812972293595,0.2731962143566508,0.13327654612780548,0.056993742312262334,0.2898778676312766,0.015316412701155177,0.12381411398815713,0.35250041509630053
model_holdout,h0_residual,prefill,648,0.5826279867403922,0.2794352777170489,0.06762487478735209,0.048788749214639465,0.3292446133650975,0.017943648645024193,0.050373617194295756,0.11732803488641472
model_holdout,model_id_direct,all,1296,0.6752696147033694,1.0908131744391336,0.3847226394603848,0.7451273069637809,0.8014697196203656,0.04271162203028568,0.4828802232954876,1.4027690067216894
model_holdout,model_id_direct,decode,648,0.6732101499062447,1.0776770328075778,0.3467534048048406,0.7882064863556607,0.7315104777998717,0.03915749347958313,0.3539187495474934,0.7038498722218476
model_holdout,model_id_direct,prefill,648,0.8711190486581928,1.091150358936272,0.42269187411592907,0.7020481275719008,0.8714289614408596,0.046265750580988224,0.6118416970434817,1.5410669738656244
model_holdout,structure_direct,all,1296,1.8756796475796973,1.8271316924616334,1.3197822731051128,1.7442363343715819,0.9775689794809882,0.06145023707397029,1.2337467078877171,3.2523366579788062
model_holdout,structure_direct,decode,648,1.871202762097142,1.8677923880755527,1.515072614692693,2.1069922501545024,0.778659703853074,0.048527760551609685,1.3467304333000825,3.7368827460660112
model_holdout,structure_direct,prefill,648,2.3014191352675315,1.8260879951121045,1.124491931517533,1.3814804185886609,1.1764782551089026,0.07437271359633091,1.1207629824753516,2.7797653391643764
strategy_holdout,h0,all,1296,0.29458020141845775,0.28426596362328066,0.09184095202585028,0.053599254077021465,0.3149108891593794,0.016898277727666323,0.09201046122959908,0.30397709787779204
strategy_holdout,h0,decode,648,0.29181592103796317,0.26957389245620195,0.1515405744865359,0.05882351768114041,0.30011183114471834,0.016083037790388287,0.14083154115684224,0.3980327094452419
strategy_holdout,h0,prefill,648,0.5574556574923547,0.2846430864320434,0.03214132956516469,0.04837499047290253,0.3297099471740405,0.017713517664944355,0.043189381302355924,0.11103099271399097
strategy_holdout,h0_residual,all,1296,0.3100876560297387,0.2842003757093012,0.09216234495497004,0.04428962525909407,0.31396551792160315,0.01678682580636732,0.08050210938390293,0.2758945550428814
strategy_holdout,h0_residual,decode,648,0.30719690328800425,0.27782889913843345,0.1256778023967875,0.045504009796924406,0.2890521358639615,0.01517292931342713,0.11684145750766602,0.3622773695007958
strategy_holdout,h0_residual,prefill,648,0.5849902855684784,0.2843639216867911,0.058646887513152564,0.04307524072126374,0.33887889997924486,0.018400722299307507,0.04416276126013984,0.0997099984105673
strategy_holdout,model_id_direct,all,1296,0.8157705070796087,1.4668325399019742,0.4794552386378715,0.4107214442633419,0.9337897278251381,0.05120264572669932,0.435499635088609,1.313170256490456
strategy_holdout,model_id_direct,decode,648,0.8086408569409941,0.8668680434721795,0.5138592027454618,0.4236843232850084,0.6256208983360393,0.03320569321665192,0.48214584003172223,2.034571734444008
strategy_holdout,model_id_direct,prefill,648,1.4937806123715685,1.4822327032607332,0.4450512745302812,0.39775856524167547,1.2419585573142367,0.0691995982367467,0.3888534301454958,1.085614227459339
strategy_holdout,structure_direct,all,1296,0.9896455693716515,1.4008163664117164,1.2058497156463288,0.41380077788448894,0.941985628908247,0.05441347677881392,0.6081580373708172,2.1864777079328563
strategy_holdout,structure_direct,decode,648,0.9563372549473594,0.9305557281796553,0.8611368199527316,0.44747331986087174,0.6190420272907509,0.03355386583339811,0.7723041050980535,3.1679495399380913
strategy_holdout,structure_direct,prefill,648,4.157174596861942,1.4128872317596886,1.550562611339926,0.38012823590810607,1.264929230525743,0.07527308772422973,0.4440119696435811,1.7425813273566755
tp_holdout,h0,all,1296,0.29458020141845775,0.28426596362328066,0.09184095202585028,0.053599254077021465,0.3149108891593794,0.016898277727666323,0.09201046122959908,0.30397709787779204
tp_holdout,h0,decode,648,0.29181592103796317,0.26957389245620195,0.15154057448653588,0.05882351768114041,0.30011183114471834,0.016083037790388287,0.14083154115684224,0.3980327094452419
tp_holdout,h0,prefill,648,0.5574556574923547,0.2846430864320434,0.03214132956516469,0.04837499047290253,0.3297099471740405,0.017713517664944358,0.04318938130235591,0.11103099271399097
tp_holdout,h0_residual,all,1296,0.27146094820153627,0.26245659824141443,0.0846112178890431,0.04511325559690623,0.2926159947173893,0.01578575792755516,0.07547169291097482,0.25314033982393136
tp_holdout,h0_residual,decode,648,0.26879658850525506,0.248683732315682,0.11366571442762351,0.04763292983264507,0.271950906371895,0.014243471047097092,0.10554077578189446,0.345565182080019
tp_holdout,h0_residual,prefill,648,0.5248342222177956,0.2628101264692292,0.0555567213504627,0.0425935813611674,0.31328108306288355,0.017328044808013223,0.04540261004005519,0.1104849666327124
tp_holdout,model_id_direct,all,1296,0.4693139840807147,0.3969416397834547,0.30292698851063693,0.2941631735372028,0.49083518340915666,0.025975381183025333,0.2676478608006136,0.6817568081176255
tp_holdout,model_id_direct,decode,648,0.46780487679440297,0.5730135997372838,0.30200411107239267,0.3062378649623498,0.4609974161925081,0.023156013719610912,0.27845081191949317,0.7205060907996615
tp_holdout,model_id_direct,prefill,648,0.6128259335026666,0.39242214410942505,0.30384986594888114,0.28208848211205584,0.5206729506258052,0.028794748646439747,0.25684490968173396,0.5998624865527511
tp_holdout,structure_direct,all,1296,0.46753868971208756,0.40590067403810615,0.30373883137228486,0.23246446561659992,0.49193946296946056,0.026432342841688643,0.24737718180678936,0.6495994655091867
tp_holdout,structure_direct,decode,648,0.4655432523968278,0.4896470172410708,0.28934584367147653,0.22096537548370723,0.4531888894697284,0.022885516357578083,0.2745825809309192,0.6655318708301953
tp_holdout,structure_direct,prefill,648,0.6572992863639776,0.40375103456160544,0.3181318190730931,0.24396355574949258,0.5306900364691928,0.029979169325799204,0.22017178268265955,0.6218740769365873
traffic_segment_holdout,h0,all,1296,0.29458020141845775,0.28426596362328066,0.09184095202585028,0.05359925407702146,0.3149108891593794,0.016898277727666323,0.09201046122959908,0.30397709787779204
traffic_segment_holdout,h0,decode,648,0.29181592103796317,0.26957389245620195,0.15154057448653588,0.0588235176811404,0.30011183114471834,0.016083037790388287,0.14083154115684224,0.3980327094452419
traffic_segment_holdout,h0,prefill,648,0.5574556574923547,0.2846430864320434,0.03214132956516469,0.04837499047290253,0.3297099471740405,0.017713517664944358,0.04318938130235592,0.11103099271399097
traffic_segment_holdout,h0_residual,all,1296,0.32490418516518854,0.2908779475852685,0.1256921002673661,0.0763776295164979,0.3094430658197915,0.01641391632333108,0.11336644930413836,0.3065459485018067
traffic_segment_holdout,h0_residual,decode,648,0.3221887942276174,0.2728773616421794,0.17297343557388464,0.08640674164951083,0.28505455622985343,0.01487886924444892,0.1635095551283845,0.38234003665352334
traffic_segment_holdout,h0_residual,prefill,648,0.5831303897751668,0.29133999486594353,0.07841076496084759,0.06634851738348499,0.3338315754097296,0.017948963402213237,0.06322334347989221,0.13635999497799392
traffic_segment_holdout,model_id_direct,all,1296,1.6260930800762592,1.3514198839980067,1.168644338602751,0.7848257969187634,0.9210974891087856,0.05326779201960602,0.8300098153726144,3.2544958457718245
traffic_segment_holdout,model_id_direct,decode,648,1.6213951756157676,1.1616810455943563,1.1019938963008384,0.8976734598771589,0.7361396337320771,0.03756609500670468,1.0410062132670905,3.897569346530603
