workload_id,model,tp,mode,case_label,phase,batch_size,input_len,output_len,output_lens_json,prefill_chunk_size,repeat_count,calls,logical_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,payload_supports,op_payload_supports,calls_by_payload_json,calls_by_op_payload_json,raw_ops_json,backend_signature,target_post_us,post_repeat_iqr_fraction,intrinsic_us,sync_inclusive_us,continuous_raw_us,curve_min_payload_bytes,curve_max_payload_bytes,curve_extrapolated_calls,curve_extrapolated_call_fraction,pred_total_bytes_tp2_fit_us,pred_continuous_tp2_calibrated_us,pred_continuous_per_tp_calibrated_us
qwen3-30b-a3b-chunk-c4096-b4-l4096-m8,qwen3-30b-a3b,2,chunked_prefill,c4096,prefill,4,4096,8,"[8,8,8,8]",4096,3,97,6509559808,6509559808.0,194,1,1,"{""67108864"":97}","{""all_reduce:67108864"":97}","[""all_reduce""]",nccl:all_reduce,14931.0,0.006325434891124171,14857.984999999999,16980.525,15057.503744959831,8192,134217728,0,0.0,14319.977014307675,14440.546048098184,14440.546048098184
qwen3-30b-a3b-chunk-c4096-b4-l4097-m8,qwen3-30b-a3b,2,chunked_prefill,c4096,prefill,4,4097,8,"[8,8,8,8]",4096,3,194,6511149056,6511149056.0,388,2,3,"{""16384"":97,""67108864"":97}","{""all_reduce:16384"":2,""all_reduce:67108864"":97,""fused_allreduce_residual_rmsnorm:16384"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,15502.69140625,0.003972502002550464,15437.955,78643.237,15786.94374495974,8192,134217728,0,0.0,14322.921069977989,15140.09838344788,15140.09838344788
qwen3-30b-a3b-mixed-balanced,qwen3-30b-a3b,2,mixed_same_coarse,balanced,decode,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,6111,98533376,98533376.0,12222,3,6,"{""8192"":3104,""16384"":1552,""32768"":1455}","{""all_reduce:8192"":64,""all_reduce:16384"":32,""all_reduce:32768"":30,""fused_allreduce_residual_rmsnorm:8192"":3040,""fused_allreduce_residual_rmsnorm:16384"":1520,""fused_allreduce_residual_rmsnorm:32768"":1425}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,44370.80615234375,0.027364745112189354,42027.26,3071807.2180000003,47573.455999996855,8192,134217728,0,0.0,43577.428186599434,38531.30261452475,38531.30261452475
qwen3-30b-a3b-mixed-bimodal,qwen3-30b-a3b,2,mixed_same_coarse,bimodal,decode,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,6111,98533376,98533376.0,12222,3,6,"{""12288"":4656,""24576"":776,""32768"":679}","{""all_reduce:12288"":96,""all_reduce:24576"":16,""all_reduce:32768"":14,""fused_allreduce_residual_rmsnorm:12288"":4560,""fused_allreduce_residual_rmsnorm:24576"":760,""fused_allreduce_residual_rmsnorm:32768"":665}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,42279.43701171875,0.017430446452878782,40991.145000000004,2747538.53,47006.0796313546,8192,134217728,0,0.0,43577.428186599434,38071.76588134131,38071.76588134131
qwen3-30b-a3b-mixed-staircase,qwen3-30b-a3b,2,mixed_same_coarse,staircase,decode,8,512,64,"[16,16,16,24,32,40,48,64]",0,3,6111,98533376,98533376.0,12222,6,12,"{""4096"":1552,""8192"":776,""12288"":776,""16384"":776,""20480"":776,""32768"":1455}","{""all_reduce:4096"":32,""all_reduce:8192"":16,""all_reduce:12288"":16,""all_reduce:16384"":16,""all_reduce:20480"":16,""all_reduce:32768"":30,""fused_allreduce_residual_rmsnorm:4096"":1520,""fused_allreduce_residual_rmsnorm:8192"":760,""fused_allreduce_residual_rmsnorm:12288"":760,""fused_allreduce_residual_rmsnorm:16384"":760,""fused_allreduce_residual_rmsnorm:20480"":760,""fused_allreduce_residual_rmsnorm:32768"":1425}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,44112.15478515625,0.009335783645320882,42826.221000000005,3381596.2350000003,47425.54952711868,8192,134217728,1552,0.25396825396825395,43577.428186599434,38411.50831021529,38411.50831021529
qwen3-30b-a3b-chunk-c1024-b1-l1023-m8,qwen3-30b-a3b,4,chunked_prefill,c1024,prefill,1,1023,8,[8],1024,3,97,406450176,609675264.0,582,1,2,"{""4190208"":97}","{""all_reduce:4190208"":2,""fused_allreduce_residual_rmsnorm:4190208"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_two_shot,1527.6845703125,0.016092476806646088,1370.274,64674.656,3254.231165615928,8192,134217728,0,0.0,1385.40281532189,3120.8941265555304,2801.260318908801
qwen3-30b-a3b-chunk-c1024-b1-l1024-m8,qwen3-30b-a3b,4,chunked_prefill,c1024,prefill,1,1024,8,[8],1024,3,97,406847488,610271232.0,582,1,2,"{""4194304"":97}","{""all_reduce:4194304"":2,""fused_allreduce_residual_rmsnorm:4194304"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_two_shot,1527.03759765625,0.017748442542670797,1376.8569999999997,65955.452,3254.543999999969,8192,134217728,0,0.0,1386.5431673617386,3121.194143039317,2801.529608489597
qwen3-30b-a3b-chunk-c1024-b1-l1025-m8,qwen3-30b-a3b,4,chunked_prefill,c1024,prefill,1,1025,8,[8],1024,3,194,407244800,610867200.0,1164,2,4,"{""4096"":97,""4194304"":97}","{""all_reduce:4096"":2,""all_reduce:4194304"":2,""fused_allreduce_residual_rmsnorm:4096"":95,""fused_allreduce_residual_rmsnorm:4194304"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,2314.95361328125,0.016107698229813172,2123.541,136146.06799999997,5355.952000000034,8192,134217728,97,0.5,1387.6833435917415,5136.500232536411,4610.433323270269
qwen3-30b-a3b-chunk-c1024-b4-l1023-m8,qwen3-30b-a3b,4,chunked_prefill,c1024,prefill,4,1023,8,"[8,8,8,8]",1024,3,97,1625800704,2438701056.0,582,1,1,"{""16760832"":97}","{""all_reduce:16760832"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,4892.48779296875,0.0070969374185052315,4666.866,62286.264,5759.985447173083,8192,134217728,0,0.0,4452.260107312034,5523.979040292127,4958.227565743386
qwen3-30b-a3b-chunk-c1024-b4-l1024-m8,qwen3-30b-a3b,4,chunked_prefill,c1024,prefill,4,1024,8,"[8,8,8,8]",1024,3,97,1627389952,2441084928.0,582,1,1,"{""16777216"":97}","{""all_reduce:16777216"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,4896.91455078125,0.006204081990802364,4670.927000000001,59805.072,5762.5275000000465,8192,134217728,0,0.0,4455.924849326791,5526.416936475069,4960.415778980349
