workload_id,model,mode,case_label,phase,batch_size,input_len,calls_invariant,logical_bytes_invariant,op_payload_histogram_invariant,tp2_rounds,tp4_rounds,tp8_rounds,tp2_target_post_us,tp4_target_post_us,tp8_target_post_us,tp4_over_tp2,tp8_over_tp2,tp8_over_tp4,tp2_backend_signature,tp4_backend_signature,tp8_backend_signature,backend_changed
qwen3-8b-chunk-c1024-b4-l1025-m8,qwen3-8b,chunked_prefill,c1024,prefill,4,1025,True,True,True,292,876,2044,6733.70361328125,9370.06298828125,11195.802734375,1.3915169907092682,1.6626515476999773,1.1948481828112711,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,False
qwen3-8b-chunk-c4096-b1-l4095-m8,qwen3-8b,chunked_prefill,c4096,prefill,1,4095,True,True,True,146,438,1022,6303.0419921875,8798.3447265625,10653.4697265625,1.3958886419395398,1.690210812456473,1.2108493196907044,nccl:all_reduce,nccl:all_reduce,nccl:all_reduce,False
qwen3-8b-chunk-c4096-b1-l4096-m8,qwen3-8b,chunked_prefill,c4096,prefill,1,4096,True,True,True,146,438,1022,6284.48095703125,8790.0830078125,10493.29150390625,1.398696736916342,1.669714901779767,1.193764779533932,nccl:all_reduce,nccl:all_reduce,nccl:all_reduce,False
qwen3-8b-chunk-c4096-b1-l4097-m8,qwen3-8b,chunked_prefill,c4096,prefill,1,4097,True,True,True,292,876,2044,6682.6064453125,9250.337890625,11021.55419921875,1.384241009301637,1.6492897328930385,1.1914758498053175,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,False
qwen3-8b-chunk-c4096-b4-l4095-m8,qwen3-8b,chunked_prefill,c4096,prefill,4,4095,True,True,True,146,438,1022,21303.6640625,25922.70703125,27729.91357421875,1.2168191797992496,1.3016499646664361,1.0697151937407676,nccl:all_reduce,nccl:all_reduce,nccl:all_reduce,False
qwen3-8b-chunk-c4096-b4-l4096-m8,qwen3-8b,chunked_prefill,c4096,prefill,4,4096,True,True,True,146,438,1022,21377.5087890625,25776.99267578125,27712.51171875,1.2057996528093902,1.296339624611859,1.0750870773527923,nccl:all_reduce,nccl:all_reduce,nccl:all_reduce,False
qwen3-8b-chunk-c4096-b4-l4097-m8,qwen3-8b,chunked_prefill,c4096,prefill,4,4097,True,True,True,292,876,2044,21858.9111328125,26396.96240234375,28354.4482421875,1.2076064650228238,1.2971573958972056,1.0741557232990546,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,False
qwen3-8b-mixed-balanced,qwen3-8b,mixed_same_coarse,balanced,decode,8,512,True,True,True,9198,27594,64386,25425.71435546875,32147.4912109375,37482.1162109375,1.2643692429441213,1.474181440368285,1.1659421870589082,sglang_custom:all_reduce_one_shot_push,sglang_custom:all_reduce_one_shot_push,sglang_custom:all_reduce_one_shot_push,False
qwen3-8b-mixed-bimodal,qwen3-8b,mixed_same_coarse,bimodal,decode,8,512,True,True,True,9198,27594,64386,24564.85888671875,33393.40869140625,38337.58154296875,1.3593975379789685,1.5606676887403725,1.1480583458026816,sglang_custom:all_reduce_one_shot_push,sglang_custom:all_reduce_one_shot_push,sglang_custom:all_reduce_one_shot_push,False
qwen3-8b-mixed-staircase,qwen3-8b,mixed_same_coarse,staircase,decode,8,512,True,True,True,9198,27594,64386,25383.18408203125,32638.03173828125,38384.81005859375,1.2858131443559007,1.5122141467573544,1.1760761300312141,sglang_custom:all_reduce_one_shot_push,sglang_custom:all_reduce_one_shot_push,sglang_custom:all_reduce_one_shot_push,False
