scope,method,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
tp4_8_zero_shot,total_bytes_tp2_fit,60,0.25499717544403067,0.2419323555773243,0.4255149662297643,4223.863003537547,5579.36388052611,0.871459234085959
tp4_8_zero_shot,continuous_tp2_calibrated,60,0.6052278615666168,0.24363183037463948,1.918615549505519,15357.46682559228,32725.86884994871,-3.4223578429657477
tp4_8_zero_shot,continuous_per_tp_calibrated,60,0.1976071675459633,0.1118450719565407,0.9995484162735713,1538.9938258113732,2097.235219484083,0.9818379111958744
tp2_all,total_bytes_tp2_fit,30,0.07959081454096055,0.05025955859440176,0.22112216175138816,538.957456318348,689.6220075875663,0.9971448932176593
tp2_all,continuous_tp2_calibrated,30,0.05860138641641169,0.03385675944360736,0.1327768121497056,1114.1452928324586,2048.682468865137,0.9748029653673351
tp2_all,continuous_per_tp_calibrated,30,0.05860138641641169,0.03385675944360736,0.1327768121497056,1114.1452928324586,2048.682468865137,0.9748029653673351
tp2_prefill,total_bytes_tp2_fit,24,0.0950868740191934,0.058411890356273054,0.22162241235687433,517.5011399134426,683.0177454829985,0.9892937000914507
tp2_prefill,continuous_tp2_calibrated,24,0.041440769832217554,0.03143732856106916,0.1213333840210297,315.46395138557114,537.2864023959099,0.993374980977738
tp2_prefill,continuous_per_tp_calibrated,24,0.041440769832217554,0.03143732856106916,0.1213333840210297,315.46395138557114,537.2864023959099,0.993374980977738
tp2_decode,total_bytes_tp2_fit,6,0.017606576628029197,0.015001304304473634,0.028689614134431163,624.78272193797,715.4296640249225,0.994029721008912
tp2_decode,continuous_tp2_calibrated,6,0.12724385275318825,0.13041881277761289,0.1534234829023387,4308.870658620009,4453.177806732918,0.768686589815486
tp2_decode,continuous_per_tp_calibrated,6,0.12724385275318825,0.13041881277761289,0.1534234829023387,4308.870658620009,4453.177806732918,0.768686589815486
tp2_qwen3-8b,total_bytes_tp2_fit,15,0.04817882816457146,0.051706763969727856,0.14121005276677706,443.50713303937,646.4584163912837,0.9951121671477837
tp2_qwen3-8b,continuous_tp2_calibrated,15,0.06128619673521853,0.04007606602157326,0.14058817969149665,1041.3527102194194,1652.5567716295068,0.9680590422586514
tp2_qwen3-8b,continuous_per_tp_calibrated,15,0.06128619673521853,0.04007606602157326,0.14058817969149665,1041.3527102194194,1652.5567716295068,0.9680590422586514
tp2_qwen3-30b-a3b,total_bytes_tp2_fit,15,0.11100280091734964,0.048812353219075656,0.26869715846182396,634.407779597326,730.2386887690108,0.9978388003945292
tp2_qwen3-30b-a3b,continuous_tp2_calibrated,15,0.05591657609760485,0.03244549375184271,0.1321408491119142,1186.937875445498,2379.7596166445396,0.9770474266785966
tp2_qwen3-30b-a3b,continuous_per_tp_calibrated,15,0.05591657609760485,0.03244549375184271,0.1321408491119142,1186.937875445498,2379.7596166445396,0.9770474266785966
tp4_all,total_bytes_tp2_fit,30,0.2066146875276264,0.21932085623130765,0.32469950393933483,3160.6968821182754,4084.7092745831173,0.9262070773957862
tp4_all,continuous_tp2_calibrated,30,0.48551340664235704,0.12881223449117357,1.5797421406125352,12227.57219592973,25842.78815632247,-1.953732375207946
tp4_all,continuous_per_tp_calibrated,30,0.17769881814344185,0.11104974816920518,0.8341883551154912,1571.7979103648217,2039.0946405184422,0.9816106163021329
tp4_prefill,total_bytes_tp2_fit,24,0.21325980445343218,0.22038176104128593,0.32718137047607226,2199.849897782909,2895.602701958059,0.8658354826291335
tp4_prefill,continuous_tp2_calibrated,24,0.24894644233477625,0.11413649753810867,1.0437943971363932,897.0082222399845,1132.704570893287,0.9794698069855424
tp4_prefill,continuous_per_tp_calibrated,24,0.20261620801997515,0.11239490925372381,0.8344743245183726,1165.9111485284102,1549.1617084528714,0.9615980538965747
tp4_decode,total_bytes_tp2_fit,6,0.1800342198244033,0.18013606413880404,0.24335990107565383,7004.084819459743,7063.0155924349665,0.3339339082772048
tp4_decode,continuous_tp2_calibrated,6,1.43178126387268,1.426893674983594,1.676382920225848,57549.82809068871,57741.80824916305,-43.51616622010495
tp4_decode,continuous_per_tp_calibrated,6,0.07802925863730856,0.06946244267723241,0.11158922647922477,3195.344957710468,3345.1347908879097,0.8505953070269935
tp4_qwen3-8b,total_bytes_tp2_fit,15,0.2513300141794757,0.24771264920911726,0.32263128182538703,3863.643357376566,4624.8425874684735,0.8385601251414191
tp4_qwen3-8b,continuous_tp2_calibrated,15,0.41379293476649986,0.09945423929385981,1.624429753192904,11054.986548400526,23725.502228364774,-3.248618443636973
tp4_qwen3-8b,continuous_per_tp_calibrated,15,0.11211931076897054,0.1115283041478785,0.2103295604093672,1530.4888332222488,1952.6857717432192,0.9712206073358769
tp4_qwen3-30b-a3b,total_bytes_tp2_fit,15,0.161899360875777,0.1339842283578313,0.28367695613055466,2457.750406859985,3461.2903312014423,0.9625237344504488
tp4_qwen3-30b-a3b,continuous_tp2_calibrated,15,0.557233878518214,0.340576555042369,1.263142413338179,13400.157843458932,27799.27954816419,-1.4173933929278784
tp4_qwen3-30b-a3b,continuous_per_tp_calibrated,15,0.24327832551791317,0.09664932716316761,0.881708449908608,1613.106987507395,2121.987790448771,0.9859147029432361
tp8_all,total_bytes_tp2_fit,30,0.30337966336043487,0.31995682237397755,0.43409847988747335,5287.029124956816,6750.833486672102,0.8219669457364531
tp8_all,continuous_tp2_calibrated,30,0.7249423164908765,0.24768498603334982,1.9220100986352906,18487.361455254835,38394.208994007495,-4.7586051284985365
tp8_all,continuous_per_tp_calibrated,30,0.21751551694848473,0.12163968007217507,1.1615891586630507,1506.189741257924,2153.8069037631626,0.9818782814974414
tp8_prefill,total_bytes_tp2_fit,24,0.31752780895243243,0.31995682237397755,0.4366587531043507,4001.3823277959295,5303.204571174383,0.6733716530190375
tp8_prefill,continuous_tp2_calibrated,24,0.43053830963559575,0.24294181297219486,1.6940421680587818,1864.1800377836053,2140.4247780312594,0.9467919856529772
tp8_prefill,continuous_per_tp_calibrated,24,0.2692923008521438,0.1485730478579212,1.167473859749458,1756.8377408459437,2379.262203453609,0.9342551523476507
tp8_decode,total_bytes_tp2_fit,6,0.24678708099244476,0.2476814669846602,0.3453354134440051,10429.616313600369,10741.175397923986,-1.5470864528918602
tp8_decode,continuous_tp2_calibrated,6,1.9025583439120004,1.9179994234771491,1.948605139763867,84980.08712513975,85745.26662420492,-161.31564404885225
tp8_decode,continuous_per_tp_calibrated,6,0.010408381333848448,0.007586966512600353,0.025333773420631023,503.5977429058451,742.2037202531558,0.9878385229979127
tp8_qwen3-8b,total_bytes_tp2_fit,15,0.34932660293224593,0.34553697361045155,0.43196491887340893,6098.0794250849,7330.16108494609,0.6790547910634404
tp8_qwen3-8b,continuous_tp2_calibrated,15,0.5710133749321006,0.22481533964552838,1.933364543292847,15830.876318797069,32930.497713519275,-5.47739600475486
tp8_qwen3-8b,continuous_per_tp_calibrated,15,0.1290694278651282,0.1255971763388905,0.29008283222227954,1536.2642148317245,2323.8753516264637,0.9677425881740522
tp8_qwen3-30b-a3b,total_bytes_tp2_fit,15,0.257432723788624,0.23471756897079996,0.43096520253217,4475.978824828736,6116.881885265462,0.8914063755677769
tp8_qwen3-30b-a3b,continuous_tp2_calibrated,15,0.8788712580496528,0.5203293543863134,1.9191248017001281,21143.846591712598,43171.899296775846,-4.4093670352753165
tp8_qwen3-30b-a3b,continuous_per_tp_calibrated,15,0.3059616060318412,0.09565783513556984,1.2242042907043542,1476.1152676841236,1969.1042906607827,0.9887466564787343
