pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
2,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,1,64,54,0.18518518518518517,62160896,62160896,0.0,0.20138888888888887,64,54,62160896,62160896
2,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,1,1152,402,1.8656716417910448,10043392,10043392,0.0,0.7213930348258707,1152,402,10043392,10043392
2,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,prefill,1,64,54,0.18518518518518517,62160896,62160896,0.0,0.2071759259259259,64,54,62160896,62160896
2,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,decode,1,1074,388,1.768041237113402,10043392,10043392,0.0,0.7474226804123711,1074,388,10043392,10043392
2,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,prefill,1,100,94,0.06382978723404255,2398896128,2398896128,0.0,0.09999999999999998,100,94,2398896128,2398896128
2,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,decode,1,1228,1168,0.05136986301369863,37273600,37273600,0.0,0.16190152157422694,1228,1168,37273600,37273600
2,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,prefill,1,100,94,0.06382978723404255,2398896128,2398896128,0.0,0.09999999999999998,100,94,2398896128,2398896128
2,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,decode,1,1238,1114,0.11131059245960502,37273600,37273600,0.0,0.2808172096652097,1238,1114,37273600,37273600
2,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,prefill,1,100,94,0.06382978723404255,2398896128,2398896128,0.0,0.11999999999999997,100,94,2398896128,2398896128
2,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,decode,1,1172,1156,0.01384083044982699,37273600,37273600,0.0,0.2155603056319898,1172,1156,37273600,37273600
2,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,1,28,8,2.5,94420992,94420992,0.0,0.9285714285714286,28,8,94420992,94420992
