pp_size,max_microbatch,profile_id,arrival_mode,phase,repeats,exact_histograms_identical,max_distribution_tvd_vs_r0,min_calls,max_calls,min_bytes,max_bytes
4,1,profile_24_mooncake_synthetic_c0,draining,decode,3,0,0.10255660354366208,3302,3572,37273600,37273600
4,1,profile_24_mooncake_synthetic_c0,draining,prefill,3,1,0.0,100,100,2398896128,2398896128
4,1,profile_24_mooncake_synthetic_c0,profiled,decode,3,0,0.0011428571428571512,3500,3500,37273600,37273600
4,1,profile_24_mooncake_synthetic_c0,profiled,prefill,3,1,0.0,100,100,2398896128,2398896128
4,4,profile_02_burstgpt_1_c1,draining,decode,3,0,0.01111368969340656,556,558,5799936,5799936
4,4,profile_02_burstgpt_1_c1,draining,prefill,3,0,0.125,32,32,94420992,94420992
4,4,profile_02_burstgpt_1_c1,profiled,decode,3,0,0.4903902798232695,388,560,5799936,5799936
4,4,profile_02_burstgpt_1_c1,profiled,prefill,3,0,0.7857142857142857,26,28,94420992,94420992
4,4,profile_10_burstgpt_2_c4,draining,decode,3,0,0.13980813564363798,452,486,10043392,10043392
4,4,profile_10_burstgpt_2_c4,draining,prefill,3,0,0.19047619047619047,42,42,62160896,62160896
4,4,profile_10_burstgpt_2_c4,profiled,decode,3,0,0.09329791655373053,990,1118,10043392,10043392
4,4,profile_10_burstgpt_2_c4,profiled,prefill,3,1,0.0,64,64,62160896,62160896
4,4,profile_24_mooncake_synthetic_c0,draining,decode,3,0,0.3338072603913589,1058,1178,37273600,37273600
4,4,profile_24_mooncake_synthetic_c0,draining,prefill,3,0,0.15856236786469344,86,88,2398896128,2398896128
4,4,profile_24_mooncake_synthetic_c0,profiled,decode,3,0,0.24042630940260798,1262,1622,37273600,37273600
4,4,profile_24_mooncake_synthetic_c0,profiled,prefill,3,0,0.14734693877551017,98,100,2398896128,2398896128
4,16,profile_02_burstgpt_1_c1,draining,decode,3,0,0.030229905229905193,518,528,5799936,5799936
4,16,profile_02_burstgpt_1_c1,draining,prefill,3,0,1.0,6,8,94420992,94420992
4,16,profile_02_burstgpt_1_c1,profiled,decode,3,0,0.0537883169462117,532,546,5799936,5799936
4,16,profile_02_burstgpt_1_c1,profiled,prefill,3,0,0.6666666666666667,20,24,94420992,94420992
4,16,profile_10_burstgpt_2_c4,draining,decode,3,1,0.0,276,276,10043392,10043392
4,16,profile_10_burstgpt_2_c4,draining,prefill,3,1,0.0,6,6,62160896,62160896
