model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v07,1,qwen3-8b__p1d4__l2__r1,5,273.1135,161.1015,0.012422386352581834
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v08,0,qwen3-8b__p1d4__l2__r0,5,263.1195,160.2335,0.018161077144486674
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v08,1,qwen3-8b__p1d4__l2__r1,5,265.904,161.961,0.023627001499871854
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v09,0,qwen3-8b__p1d4__l2__r0,5,235.3155,160.6845,0.010389562697385191
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v09,1,qwen3-8b__p1d4__l2__r1,5,239.3595,161.2045,0.00962909178797784
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v00,0,qwen3-8b__p1d4__l3__r0,5,107.667,83.3285,0.12543983546484536
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v00,1,qwen3-8b__p1d4__l3__r1,7,107.0655,81.5595,0.13192263593853482
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v01,0,qwen3-8b__p1d4__l3__r0,5,113.726,89.0255,0.12325194693198029
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v01,1,qwen3-8b__p1d4__l3__r1,7,115.721,84.561,0.13544112222815113
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v02,0,qwen3-8b__p1d4__l3__r0,5,149.08749999999998,102.9765,0.017313493551137475
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v02,1,qwen3-8b__p1d4__l3__r1,7,148.005,100.4935,0.025167886774066735
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v03,0,qwen3-8b__p1d4__l3__r0,5,305.58299999999997,139.195,0.006537590615435535
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v03,1,qwen3-8b__p1d4__l3__r1,7,303.77700000000004,136.5045,0.018423059771187397
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v04,0,qwen3-8b__p1d4__l3__r0,5,400.466,163.44,0.007650576129185102
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v04,1,qwen3-8b__p1d4__l3__r1,7,399.289,160.9085,0.009383534576654728
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v05,0,qwen3-8b__p1d4__l3__r0,5,203.2865,136.447,0.00800691708156833
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v05,1,qwen3-8b__p1d4__l3__r1,7,202.93099999999998,133.6455,0.04323672141229572
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v06,0,qwen3-8b__p1d4__l3__r0,5,123.2485,100.878,0.010887543910372206
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v06,1,qwen3-8b__p1d4__l3__r1,7,125.506,99.904,0.08274535769675365
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v07,0,qwen3-8b__p1d4__l3__r0,5,271.5565,159.894,0.011776862451962666
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v07,1,qwen3-8b__p1d4__l3__r1,7,275.092,157.1865,0.019651707748514876
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v08,0,qwen3-8b__p1d4__l3__r0,5,267.7505,160.266,0.018142341517058864
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v08,1,qwen3-8b__p1d4__l3__r1,7,263.5945,157.7805,0.03552974144920854
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v09,0,qwen3-8b__p1d4__l3__r0,5,235.1205,160.986,0.010722373161726924
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v09,1,qwen3-8b__p1d4__l3__r1,7,238.62849999999997,157.8115,0.03817119967322516
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v00,0,qwen3-8b__p4d1__l1__r0,5,99.7945,87.402,0.024574430558786244
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v00,1,qwen3-8b__p4d1__l1__r1,5,80.7465,71.4825,0.09081112773096466
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v01,0,qwen3-8b__p4d1__l1__r0,5,127.27250000000001,89.5565,0.019652691201042734
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v01,1,qwen3-8b__p4d1__l1__r1,5,117.4675,78.312,0.059286224477209895
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v02,0,qwen3-8b__p4d1__l1__r0,5,198.5785,104.29400000000001,0.016551689746483644
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v02,1,qwen3-8b__p4d1__l1__r1,5,189.58749999999998,96.612,0.03484284623202408
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v03,0,qwen3-8b__p4d1__l1__r0,5,342.157,138.291,0.0070765390621434655
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v03,1,qwen3-8b__p4d1__l1__r1,5,331.9115,135.0445,0.028373650554278703
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v04,0,qwen3-8b__p4d1__l1__r0,5,438.3805,164.647,0.011568413932150735
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v04,1,qwen3-8b__p4d1__l1__r1,5,430.424,161.3545,0.01622268778575014
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v05,0,qwen3-8b__p4d1__l1__r0,5,191.7135,137.572,0.030091373242662076
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v05,1,qwen3-8b__p4d1__l1__r1,5,182.73250000000002,128.35950000000003,0.018671218819132303
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v06,0,qwen3-8b__p4d1__l1__r0,5,141.429,100.045,0.03657963444577893
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v06,1,qwen3-8b__p4d1__l1__r1,5,140.7525,97.6195,0.034383282907033186
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v07,0,qwen3-8b__p4d1__l1__r0,5,275.9,151.162,0.018866271328873106
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v07,1,qwen3-8b__p4d1__l1__r1,5,269.485,150.511,0.014286784277809488
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v08,0,qwen3-8b__p4d1__l1__r0,5,229.6865,151.55399999999997,0.017541407544096672
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v08,1,qwen3-8b__p4d1__l1__r1,5,226.2825,150.68,0.011607309121878856
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v09,0,qwen3-8b__p4d1__l1__r0,5,200.75900000000001,151.46699999999998,0.020727927427746515
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v09,1,qwen3-8b__p4d1__l1__r1,5,198.716,150.401,0.027953124805684588
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v00,0,qwen3-8b__p4d1__l2__r0,5,87.8315,79.2915,0.10099092928216481
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v00,1,qwen3-8b__p4d1__l2__r1,5,88.472,81.09450000000001,0.10012349809523155
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v01,0,qwen3-8b__p4d1__l2__r0,5,108.806,89.2815,0.06995312894312887
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v01,1,qwen3-8b__p4d1__l2__r1,5,112.2415,87.3415,0.09448587493281693
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v02,0,qwen3-8b__p4d1__l2__r0,5,186.1845,102.312,0.07818580008475301
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v02,1,qwen3-8b__p4d1__l2__r1,5,182.2065,102.345,0.08191948435088105
