model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v04,433.6095,420.308,433.6095,0.030676219040403938,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v05,147.868,157.196,157.196,0.05933993231379935,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v06,113.1505,111.83099999999999,113.1505,0.011661459737252642,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v07,224.99450000000002,227.9235,227.9235,0.012850803010659164,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v08,190.127,203.6875,203.6875,0.06657502301319418,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v09,177.7865,185.873,185.873,0.043505511827968565,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v00,85.37950000000001,92.818,92.818,0.08014070546661198,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v01,104.74000000000001,109.66550000000001,109.66550000000001,0.04491385166711499,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v02,181.8115,172.8865,181.8115,0.04908930403192308,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v03,325.813,329.1465,329.1465,0.010127709090025307,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v04,429.527,429.76250000000005,429.76250000000005,0.000547977080364291,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v05,150.394,150.25349999999997,150.394,0.0009342128010428034,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v06,124.3885,128.856,128.856,0.0346704848823493,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v07,242.1895,258.18550000000005,258.18550000000005,0.061955454508483374,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v08,203.416,196.853,203.416,0.032263932040744035,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v09,183.3445,190.3145,190.3145,0.03662358884898417,False
