evaluation,outer_id,method,selected_alpha,inner_validation_mape,train_workload_groups,test_workload_groups
workload_cv,fold0,pattern_demand_only,1.0,0.19908895294321574,25,5
workload_cv,fold0,pattern_demand_plus_tp,0.0001,0.12058519951331303,25,5
workload_cv,fold0,pattern_demand_plus_phase,1.0,0.1920169809423195,25,5
workload_cv,fold0,pattern_demand_plus_tp_phase,1.0,0.12342840456831089,25,5
workload_cv,fold1,pattern_demand_only,0.1,0.17662098249538138,25,5
workload_cv,fold1,pattern_demand_plus_tp,0.1,0.11855906465653329,25,5
workload_cv,fold1,pattern_demand_plus_phase,0.1,0.1731564411575564,25,5
workload_cv,fold1,pattern_demand_plus_tp_phase,0.1,0.10672809396454788,25,5
workload_cv,fold2,pattern_demand_only,0.01,0.21425384482957932,25,5
workload_cv,fold2,pattern_demand_plus_tp,0.01,0.13017565810383994,25,5
workload_cv,fold2,pattern_demand_plus_phase,0.01,0.19772600491691275,25,5
workload_cv,fold2,pattern_demand_plus_tp_phase,0.01,0.1119396075963703,25,5
workload_cv,fold3,pattern_demand_only,1.0,0.19755138676632628,25,5
workload_cv,fold3,pattern_demand_plus_tp,1.0,0.145419948545931,25,5
workload_cv,fold3,pattern_demand_plus_phase,1.0,0.18749403473005435,25,5
workload_cv,fold3,pattern_demand_plus_tp_phase,1.0,0.13439993759316884,25,5
workload_cv,fold4,pattern_demand_only,0.0001,0.19399190553737575,25,5
workload_cv,fold4,pattern_demand_plus_tp,0.0001,0.11468364898531506,25,5
workload_cv,fold4,pattern_demand_plus_phase,1.0,0.1952414122483876,25,5
workload_cv,fold4,pattern_demand_plus_tp_phase,0.0001,0.13461381266620773,25,5
workload_cv,fold5,pattern_demand_only,0.1,0.1889104471551758,25,5
workload_cv,fold5,pattern_demand_plus_tp,0.01,0.10704946836743846,25,5
workload_cv,fold5,pattern_demand_plus_phase,0.1,0.18278891557288235,25,5
workload_cv,fold5,pattern_demand_plus_tp_phase,0.1,0.09858609958267232,25,5
leave_one_model_out,qwen3-8b,pattern_demand_only,1.0,0.16811529882110826,15,15
leave_one_model_out,qwen3-8b,pattern_demand_plus_tp,1.0,0.1145841951591699,15,15
leave_one_model_out,qwen3-8b,pattern_demand_plus_phase,1.0,0.1688803763871949,15,15
leave_one_model_out,qwen3-8b,pattern_demand_plus_tp_phase,1.0,0.10371381092666902,15,15
leave_one_model_out,qwen3-30b-a3b,pattern_demand_only,0.001,0.19423898574741566,15,15
leave_one_model_out,qwen3-30b-a3b,pattern_demand_plus_tp,0.001,0.08786253698884897,15,15
leave_one_model_out,qwen3-30b-a3b,pattern_demand_plus_phase,1.0,0.19184653229291865,15,15
leave_one_model_out,qwen3-30b-a3b,pattern_demand_plus_tp_phase,1.0,0.10339260296567378,15,15
