evaluation,scope,method,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2,diagnostic_dimension,diagnostic_value,backend_used_as_predictive_feature
workload_cv_posthoc,backend_transition=false,pattern_demand_plus_tp_phase,54,0.08946711329047492,0.06123091876467415,0.3169843980859999,2244.4240380724195,3794.019401578757,0.9289716493777415,backend_transition,false,False
workload_cv_posthoc,backend_transition=true,pattern_demand_plus_tp_phase,36,0.16127164384953765,0.08074556915509845,0.44080091224687157,530.2264950773324,813.8491792789366,0.7632991512227664,backend_transition,true,False
workload_cv_posthoc,observed_backend_family=flashinfer_mnnvl+nccl+sglang_custom,pattern_demand_plus_tp_phase,3,0.2743462650674717,0.26051239411276933,0.3371560337004148,5666.188726669544,6112.129586115626,-1.0297221993105383,observed_backend_family,flashinfer_mnnvl+nccl+sglang_custom,False
workload_cv_posthoc,observed_backend_family=flashinfer_mnnvl+sglang_custom,pattern_demand_plus_tp_phase,24,0.21548545602268052,0.19754711264387964,0.5079354726051195,1726.7731877943752,2307.983046828292,0.9889879680025905,observed_backend_family,flashinfer_mnnvl+sglang_custom,False
workload_cv_posthoc,observed_backend_family=nccl,pattern_demand_plus_tp_phase,24,0.05314304028391629,0.04748235835321518,0.09910889172426823,853.0705040745161,1180.1686205726198,0.9758867497771342,observed_backend_family,nccl,False
workload_cv_posthoc,observed_backend_family=nccl+sglang_custom,pattern_demand_plus_tp_phase,9,0.07035522099397024,0.06102985691023135,0.1351875120754515,928.7875642660001,1084.9633366050061,0.9819191781654875,observed_backend_family,nccl+sglang_custom,False
workload_cv_posthoc,observed_backend_family=sglang_custom,pattern_demand_plus_tp_phase,30,0.09112278669208437,0.05025327361845229,0.3657394809027115,1767.1049671812864,4152.161721912029,0.902643646061161,observed_backend_family,sglang_custom,False
