timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 04:49:46.305, 5, P0, 0 MiB, 0 %, 244.89 W
2026/08/12 04:49:46.305, 6, P0, 0 MiB, 0 %, 243.07 W
2026/08/12 04:49:46.305, 7, P0, 0 MiB, 0 %, 243.67 W
2026/08/12 04:49:47.305, 0, P0, 4 MiB, 0 %, 243.19 W
2026/08/12 04:49:47.305, 1, P0, 4 MiB, 0 %, 240.43 W
2026/08/12 04:49:47.305, 2, P0, 0 MiB, 0 %, 236.70 W
2026/08/12 04:49:47.305, 3, P0, 0 MiB, 0 %, 239.12 W
2026/08/12 04:49:47.305, 4, P0, 0 MiB, 0 %, 236.04 W
2026/08/12 04:49:47.305, 5, P0, 0 MiB, 0 %, 244.95 W
2026/08/12 04:49:47.305, 6, P0, 0 MiB, 0 %, 243.08 W
2026/08/12 04:49:47.305, 7, P0, 0 MiB, 0 %, 243.71 W
2026/08/12 04:49:48.305, 0, P0, 4 MiB, 0 %, 243.25 W
2026/08/12 04:49:48.305, 1, P0, 4 MiB, 0 %, 240.47 W
2026/08/12 04:49:48.305, 2, P0, 0 MiB, 0 %, 236.68 W
2026/08/12 04:49:48.306, 3, P0, 0 MiB, 0 %, 239.16 W
2026/08/12 04:49:48.306, 4, P0, 0 MiB, 0 %, 236.08 W
2026/08/12 04:49:48.306, 5, P0, 0 MiB, 0 %, 244.91 W
2026/08/12 04:49:48.306, 6, P0, 0 MiB, 0 %, 243.02 W
2026/08/12 04:49:48.306, 7, P0, 0 MiB, 0 %, 243.64 W
2026/08/12 04:49:49.306, 0, P0, 4 MiB, 0 %, 243.24 W
2026/08/12 04:49:49.306, 1, P0, 4 MiB, 0 %, 240.48 W
2026/08/12 04:49:49.306, 2, P0, 0 MiB, 0 %, 236.66 W
2026/08/12 04:49:49.306, 3, P0, 0 MiB, 0 %, 239.12 W
2026/08/12 04:49:49.306, 4, P0, 0 MiB, 0 %, 236.03 W
2026/08/12 04:49:49.306, 5, P0, 0 MiB, 0 %, 244.95 W
2026/08/12 04:49:49.306, 6, P0, 0 MiB, 0 %, 243.04 W
2026/08/12 04:49:49.306, 7, P0, 0 MiB, 0 %, 243.69 W
2026/08/12 04:49:50.306, 0, P0, 4 MiB, 0 %, 243.23 W
2026/08/12 04:49:50.343, 1, P0, 4 MiB, 0 %, 240.45 W
2026/08/12 04:49:50.343, 2, P0, 1 MiB, 0 %, 236.67 W
2026/08/12 04:49:50.343, 3, P0, 1 MiB, 0 %, 239.11 W
2026/08/12 04:49:50.343, 4, P0, 1 MiB, 0 %, 236.07 W
2026/08/12 04:49:50.343, 5, P0, 1 MiB, 0 %, 244.97 W
2026/08/12 04:49:50.343, 6, P0, 1 MiB, 0 %, 243.09 W
2026/08/12 04:49:50.343, 7, P0, 1 MiB, 0 %, 243.64 W
2026/08/12 04:49:51.343, 0, P0, 4 MiB, 0 %, 243.34 W
2026/08/12 04:49:51.343, 1, P0, 4 MiB, 0 %, 240.52 W
2026/08/12 04:49:51.343, 2, P0, 0 MiB, 0 %, 236.11 W
2026/08/12 04:49:51.343, 3, P0, 0 MiB, 0 %, 238.68 W
2026/08/12 04:49:51.343, 4, P0, 0 MiB, 0 %, 235.66 W
2026/08/12 04:49:51.343, 5, P0, 0 MiB, 0 %, 244.92 W
2026/08/12 04:49:51.343, 6, P0, 0 MiB, 0 %, 243.07 W
2026/08/12 04:49:51.343, 7, P0, 0 MiB, 0 %, 243.70 W
2026/08/12 04:49:52.343, 0, P0, 4 MiB, 0 %, 243.20 W
2026/08/12 04:49:52.343, 1, P0, 4 MiB, 0 %, 240.45 W
2026/08/12 04:49:52.343, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:49:52.343, 3, P0, 0 MiB, 0 %, 238.56 W
2026/08/12 04:49:52.343, 4, P0, 0 MiB, 0 %, 235.54 W
2026/08/12 04:49:52.343, 5, P0, 0 MiB, 0 %, 244.85 W
2026/08/12 04:49:52.344, 6, P0, 0 MiB, 0 %, 243.03 W
2026/08/12 04:49:52.344, 7, P0, 0 MiB, 0 %, 243.66 W
2026/08/12 04:49:53.344, 0, P0, 4 MiB, 0 %, 243.23 W
2026/08/12 04:49:53.344, 1, P0, 4 MiB, 0 %, 240.47 W
2026/08/12 04:49:53.344, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:49:53.344, 3, P0, 0 MiB, 0 %, 238.58 W
2026/08/12 04:49:53.344, 4, P0, 0 MiB, 0 %, 235.55 W
2026/08/12 04:49:53.344, 5, P0, 0 MiB, 0 %, 244.86 W
2026/08/12 04:49:53.344, 6, P0, 0 MiB, 0 %, 243.07 W
