evaluation,curve_id,topology,scenario,phase,representation,samples,mape,median_ape,p95_ape,max_ape,signed_bias
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,decode,onebin_calls_bytes,648,3.2038180034636954e-06,1.2837886160369722e-06,1.1753515127686564e-05,6.676544511311209e-05,-1.3081884856111263e-06
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,decode,residual_predicted_12bin,648,0.13293191545319183,0.08950649806709988,0.39142933236635385,0.7634368580073218,0.049358301578101386
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,decode,threebin_calls_bytes,648,3.2038180034636954e-06,1.2837886160369722e-06,1.1753515127686564e-05,6.676544511311209e-05,-1.3081884856111263e-06
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,decode,total_bytes_data_only,648,0.9929096278670075,0.9950131267722759,0.9986401528770055,0.9990884610105414,-0.9956805171286264
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,decode,twelvebin_exact,648,5.870524217380167e-07,1.874283557982816e-07,2.7267806286291328e-06,5.462523703745818e-06,-2.716935804368155e-07
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,h0_predicted_12bin,648,0.04081696590474754,0.03765215990665559,0.09341922195820955,0.11520983758042232,0.0014425827837329646
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,onebin_calls_bytes,648,0.001879750571395083,1.1223799555180804e-08,0.013371529201336585,0.05184111491841639,-0.000414995993331998
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,residual_predicted_12bin,648,0.044951214708256665,0.03885953846323223,0.09587883279053475,0.12872425334198703,-0.0016483209925080623
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,threebin_calls_bytes,648,0.0007547987447565264,2.3646972185906906e-09,0.005100210193994834,0.026745281633138357,-0.00011675553361862675
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,total_bytes_data_only,648,0.11708735806767952,0.06134223061946832,0.4422250436656867,0.8593861205648433,-0.04248233177150266
model_holdout,l2_nominal,L2_same_rack_two_node_proxy,nominal,prefill,twelvebin_exact,648,6.58125550304222e-05,3.6135183866438086e-10,0.0003513156280666607,0.0019417519230662628,-8.991764787581813e-06
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,h0_predicted_12bin,648,0.12795962823881044,0.11136990826639162,0.45771752877627714,0.6285725019002381,-0.01132212586248634
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,onebin_calls_bytes,648,1.9817506630668702e-05,7.888299166057476e-06,8.26502915352332e-05,0.0003558791039269585,-1.3107730220837248e-05
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,residual_predicted_12bin,648,0.1177330191895829,0.08168030684925401,0.36199272812084604,0.7108725224459835,0.038360367396166606
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,threebin_calls_bytes,648,1.7056512867103716e-05,7.810255120311807e-06,6.243803582714691e-05,0.0003558791039269585,-8.378053166309817e-06
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,total_bytes_data_only,648,0.7955347928457467,0.8552390820027747,0.9709463382030398,0.9918608129643249,-0.7894637650606654
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,combined,twelvebin_exact,648,3.0668985467289687e-06,1.0946838380018117e-06,1.2471267574232775e-05,3.827423373365071e-05,-1.460398475925928e-06
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,h0_predicted_12bin,648,0.1507825068215545,0.11749230620769097,0.47731705262376833,0.6513383465401344,-0.014783438115143528
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,onebin_calls_bytes,648,2.0128766080740366e-05,8.129993354483054e-06,7.500324666143321e-05,0.00042389248076991166,-8.083196960674369e-06
