slice_type,slice_value,points,max_edge_wape,r61_graph_wape,phase65_wape,phase67_wape,max_edge_signed_bias,r61_graph_signed_bias,phase65_signed_bias,phase67_signed_bias
configuration,P1D4,60,0.6678145036496993,0.024141683054916326,0.0743408385083694,0.01221977230280992,-0.6678145036496993,0.02274153108343687,-0.07434083850836942,0.008798134608069894
configuration,P2D2_ALL_TO_ALL,60,0.41406014104716937,0.024036456633795413,0.054896093613668775,0.030828957670154592,-0.4140601410471693,-0.02374434965158411,-0.05465628723087325,0.030828957670154637
configuration,P2D2_MATCHING,60,0.03237683498653443,0.07389360595125961,0.03939475487380885,0.0162028570271388,0.03237683498653443,-0.07389360595125977,-0.03939475487380885,0.011903569970508723
configuration,P4D1,60,0.6666632272470491,0.02766851952291232,0.057655674048289314,0.011776581987091932,-0.6666632272470491,0.026286111457003387,-0.057655674048289404,0.009929071832057622
configuration_topology,P1D4/L1,20,0.6698528412997786,0.02094255505464161,0.08006608484694033,0.011711634793728625,-0.6698528412997785,0.01696970969869918,-0.08006608484694024,0.008054557257414573
configuration_topology,P1D4/L2,20,0.6672367313404496,0.02473960375663658,0.07232293124162967,0.012487469269844514,-0.6672367313404496,0.024512821697987124,-0.07232293124162963,0.009234941443941698
configuration_topology,P1D4/L3,20,0.6663535843912466,0.026743180288425237,0.07063216573399611,0.012460407381589413,-0.6663535843912467,0.026743180288425133,-0.07063216573399614,0.009105228545420115
configuration_topology,P2D2_ALL_TO_ALL/L1,20,0.41444410192324016,0.02444324324033042,0.05558552067454267,0.03488091880038811,-0.4144441019232402,-0.02444324324033048,-0.05521202043934247,0.034880918800388114
configuration_topology,P2D2_ALL_TO_ALL/L2,20,0.4188075220735422,0.03162972830397941,0.0622954476474702,0.020985947740075474,-0.41880752207354227,-0.031629728303979435,-0.0622954476474703,0.02098594774007543
configuration_topology,P2D2_ALL_TO_ALL/L3,20,0.40886493952733144,0.015934022841617726,0.046707882554307634,0.036757887696762234,-0.4088649395273315,-0.015054075945788026,-0.046358564908266786,0.036757887696762255
configuration_topology,P2D2_MATCHING/L1,20,0.049023152132862076,0.05943614644467502,0.024156946885621457,0.036919670909601396,0.04902315213286217,-0.059436146444674966,-0.024156946885621446,0.032516759728493785
configuration_topology,P2D2_MATCHING/L2,20,0.022891755576193773,0.08230708206936133,0.04799592839238508,0.0069327547294504065,0.022891755576193756,-0.08230708206936138,-0.04799592839238507,0.0018510215978500364
configuration_topology,P2D2_MATCHING/L3,20,0.025744789508606244,0.07947807487408251,0.04554693089905205,0.005416085847278753,0.025744789508606314,-0.07947807487408252,-0.04554693089905205,0.0019991279476668043
configuration_topology,P4D1/L1,20,0.6696362166766573,0.02177161025085334,0.06562667647837345,0.010049676065669354,-0.6696362166766574,0.017636989953226916,-0.06562667647837345,0.007085746037341389
configuration_topology,P4D1/L2,20,0.6661166468101514,0.02796134222520343,0.05610110254909709,0.011817083571626488,-0.6661166468101514,0.027961342225203516,-0.056101102549097025,0.009962582550523555
configuration_topology,P4D1/L3,20,0.6642211651458756,0.03330535753737235,0.05119746677972529,0.01347267498182241,-0.6642211651458756,0.03330535753737235,-0.051197466779725274,0.012754910564047206
model,deepseek-v2-lite,120,0.5558319398276628,0.016658927981569295,0.05349656137685773,0.00962490962501932,-0.5504220721899133,-0.0005580994736553579,-0.0534965613768577,0.007565072197356705
model,qwen3-8b,120,0.46747024357802164,0.20079298371609677,0.1514748286991393,0.09550657079541364,-0.4418182704761549,0.0647889488891319,-0.15085338653421532,0.09037100357204506
model_configuration,deepseek-v2-lite/P1D4,30,0.6749436872845138,0.010268371270382796,0.057315414411611046,0.0051093204874314724,-0.6749436872845139,0.00875842442931489,-0.05731541441161108,0.0014193703008151053
model_configuration,deepseek-v2-lite/P2D2_ALL_TO_ALL,30,0.42122183794712253,0.01782759948420888,0.05243512855702733,0.02196122444084951,-0.4212218379471225,-0.017509612330166874,-0.05243512855702729,0.021961224440849653
model_configuration,deepseek-v2-lite/P2D2_MATCHING,30,0.02551085742799532,0.043540727097571875,0.031932015243637125,0.015380166073771377,0.02551085742799532,-0.04354072709757184,-0.03193201524363705,0.014662021324820118
model_configuration,deepseek-v2-lite/P4D1,30,0.6736615891266305,0.014228726064472464,0.05682874215238328,0.005449799306326049,-0.6736615891266305,0.012737203696530796,-0.05682874215238332,0.003456464060975249
model_configuration,qwen3-8b/P1D4,30,0.5769000505543445,0.20106019408230305,0.29145645787809255,0.10289534908262142,-0.5769000505543445,0.20106019408230288,-0.2914564578780926,0.1028953490826213
model_configuration,qwen3-8b/P2D2_ALL_TO_ALL,30,0.33322676472128065,0.0941152233754452,0.0826727668417219,0.13091820010747357,-0.33322676472128065,-0.09411522337544512,-0.07972628914112975,0.13091820010747368
model_configuration,qwen3-8b/P2D2_MATCHING,30,0.10388111054995514,0.3899972627419769,0.11711388320247738,0.024770598493167446,0.10388111054995516,-0.3899972627419769,-0.11711388320247736,-0.016823740028001914
model_configuration,qwen3-8b/P4D1,30,0.577998480919238,0.19794206327426694,0.06813236960111616,0.09193285157040126,-0.577998480919238,0.19794206327426678,-0.06813236960111618,0.09193285157040114
overall,all,240,0.549100629540348,0.03068608585899452,0.060960452935666785,0.016167293190118674,-0.5421487374900912,0.004419976746694092,-0.06091311206043163,0.01387314958123079
topology,L1,80,0.554144821334548,0.025973618611247924,0.06432454535989504,0.0183459108439967,-0.543821784168959,0.0010074374251197154,-0.06425103687175254,0.015571850460833907
topology,L2,80,0.5477595643958715,0.033452182983685255,0.06208601618760333,0.013343533982168788,-0.5428058875797968,0.002990352109285169,-0.06208601618760338,0.0110231445034383
topology,L3,80,0.5454105305410464,0.03261566687953029,0.05647332104017187,0.016824911572373702,-0.5398194986685948,0.009260459072235714,-0.05640461607228117,0.015036160622035959
