model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v07,0,qwen3-8b__p1d4__l2__r0,5,708.497,280.646,0.004427136556138622
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v07,1,qwen3-8b__p1d4__l2__r1,5,706.416,278.444,0.00851842308625116
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v08,0,qwen3-8b__p1d4__l2__r0,5,693.727,280.8295,0.008142246569470222
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v08,1,qwen3-8b__p1d4__l2__r1,5,694.846,278.2065,0.005687308100017537
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v09,0,qwen3-8b__p1d4__l2__r0,5,642.659,277.977,0.0011984759194355104
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v09,1,qwen3-8b__p1d4__l2__r1,5,643.566,276.963,0.00143304957545454
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v00,0,qwen3-8b__p1d4__l3__r0,5,453.593,180.247,0.005979893328772133
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v00,1,qwen3-8b__p1d4__l3__r1,5,451.814,177.272,0.008377383794735037
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v01,0,qwen3-8b__p1d4__l3__r0,5,496.22749999999996,185.5225,0.003494417535406708
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v01,1,qwen3-8b__p1d4__l3__r1,5,496.4525,186.20499999999998,0.0066875281133242795
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v02,0,qwen3-8b__p1d4__l3__r0,5,607.0775,231.7705,0.0030813580644411444
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v02,1,qwen3-8b__p1d4__l3__r1,5,608.2745,232.7295,0.005304044878905948
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v03,0,qwen3-8b__p1d4__l3__r0,5,702.2909999999999,255.89100000000002,0.003095607753890525
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v03,1,qwen3-8b__p1d4__l3__r1,5,702.7695,255.7305,0.0031986563654289126
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v04,0,qwen3-8b__p1d4__l3__r0,5,799.4765,278.96500000000003,0.001994468746125817
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v04,1,qwen3-8b__p1d4__l3__r1,5,800.0495000000001,278.543,0.0033962577722157325
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v05,0,qwen3-8b__p1d4__l3__r0,5,625.816,253.6475,0.010194206103642309
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v05,1,qwen3-8b__p1d4__l3__r1,5,623.088,253.459,0.011795216803178472
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v06,0,qwen3-8b__p1d4__l3__r0,5,568.22,231.35,0.004890022918617189
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v06,1,qwen3-8b__p1d4__l3__r1,5,566.383,230.069,0.008048890760997945
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v07,0,qwen3-8b__p1d4__l3__r0,5,707.406,279.003,0.0047875971833463695
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v07,1,qwen3-8b__p1d4__l3__r1,5,706.805,280.662,0.0056878694562392555
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v08,0,qwen3-8b__p1d4__l3__r0,5,695.3295,278.7985,0.006112988572962451
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v08,1,qwen3-8b__p1d4__l3__r1,5,693.322,280.558,0.00825590445652138
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v09,0,qwen3-8b__p1d4__l3__r0,5,643.226,276.812,0.002123434538047137
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v09,1,qwen3-8b__p1d4__l3__r1,5,643.04,277.732,0.01185819344900498
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v00,0,qwen3-8b__p4d1__l1__r0,5,486.202,176.864,0.010214326469157285
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v00,1,qwen3-8b__p4d1__l1__r1,5,486.657,178.93,0.0025279203683914128
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v01,0,qwen3-8b__p4d1__l1__r0,5,536.557,186.13,0.012101133600154051
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v01,1,qwen3-8b__p4d1__l1__r1,5,533.3475000000001,187.1415,0.004366397700528807
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v02,0,qwen3-8b__p4d1__l1__r0,5,651.2094999999999,231.40800000000002,0.011100696034574531
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v02,1,qwen3-8b__p4d1__l1__r1,5,646.1210000000001,235.16,0.011185551346579005
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v03,0,qwen3-8b__p4d1__l1__r0,5,744.3435,257.08050000000003,0.009191932459210144
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v03,1,qwen3-8b__p4d1__l1__r1,5,741.3515,257.655,0.005955985283757434
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v04,0,qwen3-8b__p4d1__l1__r0,5,839.077,280.1885,0.009863274200260898
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v04,1,qwen3-8b__p4d1__l1__r1,5,839.9965,280.42550000000006,0.009557470575766612
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v05,0,qwen3-8b__p4d1__l1__r0,5,599.5055,250.14249999999998,0.011106692514100434
