model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase67_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v00,36|36|36|36,4,21233664,195.63076355|195.63076355|195.63076355|195.63076355,195.6307635499622,782.5230541998488,782.5230541998488,580.1154272264666,320.1919426506872,468.72330834828523,179.366,453.617,257.98623645003784,126.49842722646662,133.4250573493128,15.10630834828521,15.10630834828521,0.0035955442587028894
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v01,40|40|40|40,4,23592960,214.989533465|214.989533465|214.989533465|214.989533465,214.98953346452723,859.9581338581089,859.9581338581089,648.389609217973,361.3955618999314,534.6775521355721,186.809,497.67100000000005,282.68146653547285,150.71860921797293,136.27543810006864,37.006552135572065,37.006552135572065,0.005929620170755422
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v02,48|48|48|48,4,28311552,248.489|248.489|248.489|248.489,248.489,993.956,993.956,766.5349606506823,432.6965417799555,665.1190427531667,232.941,608.1245,359.6355,158.41046065068224,175.4279582200445,56.994542753166684,56.994542753166684,0.005428986991972727
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v03,56|56|56|56,4,33030144,273.987604286|273.987604286|273.987604286|273.987604286,273.98760428591487,1095.9504171436595,1095.9504171436595,856.4630065559206,486.96831560756385,791.7000056479253,255.46050000000002,701.899,427.91139571408513,154.56400655592063,214.93068439243615,89.80100564792531,89.80100564792531,0.0008505497229658113
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v04,64|64|64|64,4,37748736,296.0755|296.0755|296.0755|296.0755,296.07550000000003,1184.3020000000001,1184.3020000000001,934.3622232131866,533.980664482863,917.9849588188483,278.94550000000004,798.5899999999999,502.5144999999999,135.77222321318663,264.60933551713697,119.39495881884841,119.39495881884841,0.0009422857786848583
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v05,36|40|48|56,4,26542080,195.63076355|214.989533465|248.489|273.987604286,273.98760428591487,933.0969013004043,933.0969013004044,718.020979557264,440.04331208023245,679.982576119811,254.914,628.5515,354.56389571408516,89.46947955726398,188.50818791976758,51.431076119810996,51.431076119810996,0.018292852693852526
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v06,36|36|48|48,4,24772608,195.63076355|195.63076355|248.489|248.489,248.489,888.2395270999244,888.2395270999244,676.6652226861568,402.235143154041,611.879153942766,230.914,572.399,323.90999999999997,104.26622268615677,170.163856845959,39.48015394276604,39.48015394276604,0.012388211719447463
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v07,40|48|56|64,4,30670848,214.989533465|248.489|273.987604286|296.0755,296.07550000000003,1033.541637750442,1033.541637750442,806.2006048851596,490.5402113019114,782.2140073858113,280.646,708.497,412.4214999999999,97.70360488515962,217.95678869808853,73.71700738581137,73.71700738581137,0.002937203686112861
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v08,36|48|48|64,4,28901376,195.63076355|248.489|248.489|296.0755,296.07550000000003,988.6842635499622,988.6842635499622,768.0672813397908,477.61489967025886,752.2828584785585,280.8295,694.846,398.77049999999997,73.22128133979083,217.23110032974114,57.43685847855852,57.43685847855852,0.001610428785659021
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v09,40|40|40|64,4,27131904,214.989533465|214.989533465|214.989533465|296.0755,296.07550000000003,941.0441003935817,941.0441003935817,727.5683045767466,463.8877485395,724.0724972949815,277.977,643.566,347.4905,84.00230457674661,179.6782514605,80.5064972949815,80.5064972949815,0.0014093348623141046
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v00,36|36|36|36,4,21233664,198.299082525|198.299082525|198.299082525|198.299082525,198.29908252499186,793.1963300999674,793.1963300999674,589.5260094130704,325.87124973310347,471.2426673148776,180.247,453.593,255.29391747500816,135.93300941307035,127.72175026689655,17.649667314877604,17.649667314877604,0.003922018196929839
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v01,40|40|40|40,4,23592960,217.854039948|217.854039948|217.854039948|217.854039948,217.8540399480032,871.4161597920128,871.4161597920128,658.4921021879185,367.4924386644687,537.3821463619528,186.20499999999998,496.4525,278.59846005199677,162.0396021879185,128.9600613355313,40.92964636195279,40.92964636195279,0.00045321556442967404
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v02,48|48|48|48,4,28311552,251.693|251.693|251.693|251.693,251.69299999999998,1006.7719999999999,1006.7719999999999,777.8347736070933,439.5160037941846,668.1441781303463,232.7295,608.2745,356.5815,169.56027360709334,168.7584962058154,59.8696781303463,59.8696781303463,0.0019678615493498456
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v03,56|56|56|56,4,33030144,278.306413028|278.306413028|278.306413028|278.306413028,278.306413028244,1113.225652112976,1113.225652112976,871.6945081111119,496.1605603532049,795.7777151091278,255.89100000000002,702.7695,424.463086971756,168.92500811111188,206.60893964679508,93.00821510912783,93.00821510912783,0.0006808775850404061
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v04,64|64|64|64,4,37748736,301.36|301.36|301.36|301.36,301.36,1205.44,1205.44,952.999508346818,545.2283071215004,922.9744494245618,278.96500000000003,800.0495000000001,498.68950000000007,152.95000834681787,254.8211928784997,122.92494942456176,122.92494942456176,0.0007162056847733705
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v05,36|40|48|56,4,26542080,198.299082525|217.854039948|251.693|278.306413028,278.306413028244,946.1525355012391,946.1525355012391,729.6653919391644,448.019710917238,685.6249263082559,253.6475,625.816,347.50958697175605,103.84939193916432,177.79628908276203,59.80892630825588,59.80892630825588,0.004359108747619213
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v06,36|36|48|48,4,24772608,198.299082525|198.299082525|251.693|251.693,251.69299999999998,899.9841650499836,899.9841650499836,687.0542690983198,408.74590033182733,615.3015536084254,231.35,568.22,316.52700000000004,118.83426909831974,159.4740996681727,47.08155360842534,47.08155360842534,0.003232902748935252
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v07,40|48|56|64,4,30670848,217.854039948|251.693|278.306413028|301.36,301.36,1049.2134529762473,1049.213452976247,820.1910778442407,500.2128143199303,793.524635837938,280.662,707.406,406.04599999999994,112.78507784424073,207.19318568006963,86.11863583793809,86.11863583793809,0.0008495828421019883
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v08,36|48|48|64,4,28901376,198.299082525|251.693|251.693|301.36,301.36,1003.0450825249918,1003.0450825249918,780.9432743479468,486.90974907716657,759.7853483060866,280.558,695.3295,393.96950000000004,85.61377434794679,208.4197509228335,64.45584830608652,64.45584830608652,0.002887120422763668
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v09,40|40|40|64,4,27131904,217.854039948|217.854039948|217.854039948|301.36,301.36,954.9221198440096,954.9221198440096,740.0338689584541,473.0434829308207,731.7540106464712,277.732,643.226,341.866,96.80786895845415,170.1825170691793,88.52801064647122,88.52801064647122,0.00028916741549631927
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v00,36|36|36|36,4,21233664,200.413046583|200.413046583|200.413046583|200.413046583,200.41304658287942,801.6521863315177,801.6521863315177,596.9815020631033,449.5517940552972,512.6714411898874,178.93,486.657,286.24395341712057,110.32450206310335,37.10520594470279,26.014441189887464,26.014441189887464,0.0009349500777754848
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v01,40|40|40|40,4,23592960,220.012698379|220.012698379|220.012698379|220.012698379,220.01269837867588,880.0507935147035,880.0507935147035,666.1052221952161,515.4830951842466,581.7259129563163,187.1415,536.557,316.54430162132417,129.5482221952161,21.073904815753394,45.16891295631626,45.16891295631626,0.005981657121237696
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v02,48|48|48|48,4,28311552,253.929|253.929|253.929|253.929,253.929,1015.716,1015.716,785.720660551705,629.5741983667727,712.5843567228856,235.16,651.2094999999999,397.28049999999996,134.51116055170507,21.635301633227186,61.374856722885625,61.374856722885625,0.007813921633514008
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v03,56|56|56|56,4,33030144,280.051854315|280.051854315|280.051854315|280.051854315,280.0518543146644,1120.2074172586576,1120.2074172586576,877.8503008898099,717.4489112500496,832.1075076907063,257.655,744.3435,464.29164568533554,133.50680088980994,26.894588749950344,87.76400769070631,87.76400769070631,0.004019649530089216
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v04,64|64|64|64,4,37748736,302.6805|302.6805|302.6805|302.6805,302.6805,1210.722,1210.722,957.656625390807,793.5694499394227,947.1235077291449,280.42550000000006,839.9965,537.316,117.66012539080702,46.427050060577244,107.1270077291449,107.1270077291449,0.0010946474181737316
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v05,36|40|48|56,4,26542080,200.413046583|220.012698379|253.929|280.051854315,280.0518543146644,954.4065992762197,954.4065992762197,736.9027677606092,557.0407110222404,646.5990050822147,256.618,599.5055,319.4536456853356,137.39726776060922,42.464788977759554,47.09350508221473,47.09350508221473,0.014537814915793134
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v06,36|36|48|48,4,24772608,200.413046583|200.413046583|253.929|253.929,253.929,908.6840931657589,908.6840931657588,694.7326701547054,526.0234695395499,599.9580741360728,231.208,562.411,308.48199999999997,132.32167015470543,36.38753046045008,37.547074136072865,37.547074136072865,0.004244227086596713
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v07,40|48|56|64,4,30670848,220.012698379|253.929|280.051854315|302.6805,302.6805,1056.6740526933404,1056.6740526933402,826.7002258946918,644.5318620858629,757.2320517267572,275.96,686.441,383.76050000000004,140.25922589469178,41.90913791413709,70.79105172675713,70.79105172675713,0.01503552381049504
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v08,36|48|48|64,4,28901376,200.413046583|253.929|253.929|302.6805,302.6805,1010.9515465828795,1010.9515465828795,787.8314523676706,600.2964656364867,709.4311669353042,276.06050000000005,648.8595,346.17900000000003,138.9719523676706,48.56303436351334,60.571666935304165,60.571666935304165,0.004542585875678773
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v09,40|40|40|64,4,27131904,220.012698379|220.012698379|220.012698379|302.6805,302.6805,962.7185951360276,962.7185951360277,746.8285453573183,553.632275269921,657.3581357584587,275.546,609.307,306.6265,137.52154535731825,55.67472473007899,48.05113575845871,48.05113575845871,0.0079943279824456
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v00,36|36|36|36,4,21233664,195.63076355|195.63076355|195.63076355|195.63076355,195.6307635499622,782.5230541998488,782.5230541998488,580.1154272264666,433.4646642423709,504.6880568109108,178.779,485.277,289.6462364500378,94.83842722646665,51.812335757629114,19.411056810910793,19.411056810910793,0.007346319730792924
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v01,40|40|40|40,4,23592960,214.989533465|214.989533465|214.989533465|214.989533465,214.98953346452723,859.9581338581089,859.9581338581089,648.389609217973,498.5856624121941,573.3404083693626,189.63799999999998,530.531,315.54146653547275,117.85860921797303,31.945337587805852,42.8094083693627,42.8094083693627,0.005708431741029072
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v02,48|48|48|48,4,28311552,248.489|248.489|248.489|248.489,248.489,993.956,993.956,766.5349606506823,611.2745733592301,703.503001495121,235.66,648.939,400.44999999999993,117.59596065068229,37.664426640769875,54.56400149512103,54.56400149512103,0.019270686458973778
