model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v03,739.5899999999999,740.0654999999999,740.0654999999999,0.0006425106966883485,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v04,831.2125,836.527,836.527,0.006353052561363908,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v05,593.4105,593.9965,593.9965,0.0009865377994651699,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v06,561.185,564.843,564.843,0.006476135846598109,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v07,690.62,685.345,690.62,0.007638064347977147,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v08,647.2745,645.0705,647.2745,0.0034050468541553095,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v09,601.461,609.541,609.541,0.013255876142868224,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v00,479.527,472.362,479.527,0.014941807239216903,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v01,534.5595000000001,517.2325000000001,534.5595000000001,0.03241360409832768,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v02,642.5425,633.759,642.5425,0.013669912885139898,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v03,736.6795,737.7049999999999,737.7049999999999,0.001390122067764168,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v04,838.038,821.9385,838.038,0.019210942701882294,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v05,501.86800000000005,580.5625,580.5625,0.13554871353213468,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v06,551.309,563.966,563.966,0.02244284229900391,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v07,681.526,673.154,681.526,0.01228419752144446,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v08,641.5015,638.406,641.5015,0.004825397914112462,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v09,593.208,549.548,593.208,0.07359981659047074,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v00,176.503,175.22250000000003,176.503,0.007254834195452547,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v01,187.6805,187.5515,187.6805,0.0006873383223083415,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v02,233.1575,233.6075,233.6075,0.001926308016651814,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v03,257.798,256.80100000000004,257.798,0.003867369025360776,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v04,280.807,279.6825,280.807,0.004004529801607552,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v05,187.747,186.418,187.747,0.007078675025433204,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v06,229.4035,227.731,229.4035,0.007290647265625911,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v07,253.3415,252.76299999999998,253.3415,0.0022834790194264246,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v08,277.09450000000004,276.10450000000003,277.09450000000004,0.0035727883447704985,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v09,279.194,276.515,279.194,0.009595478412859983,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v00,174.947,171.6055,174.947,0.019100070307007243,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v01,186.59449999999998,183.3555,186.59449999999998,0.017358496633073196,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v02,231.805,227.3725,231.805,0.019121675546256572,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v03,255.60449999999997,250.856,255.60449999999997,0.018577528955867284,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v04,278.61199999999997,274.2625,278.61199999999997,0.01561131609550191,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v05,184.0815,173.89499999999998,184.0815,0.05533690240464155,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v06,227.5975,211.684,227.5975,0.06991948505585519,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v07,251.678,236.2465,251.678,0.061314457362185014,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v08,276.25800000000004,259.318,276.25800000000004,0.061319491200255025,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v09,275.4205,260.26599999999996,275.4205,0.055023137348164136,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v00,173.6985,174.20049999999998,174.20049999999998,0.002881736849205262,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v01,185.43599999999998,185.887,185.887,0.0024262051676557364,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v02,231.39800000000002,231.5935,231.5935,0.0008441514982069072,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v03,253.18650000000002,253.89350000000002,253.89350000000002,0.002784632139066158,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v04,276.805,277.507,277.507,0.0025296659183371884,False
