model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
qwen3-8b,L3,192,28311552,794.334,788.359,794.334,0.007522024740222513,False
qwen3-8b,L3,256,37748736,980.6925,986.4895,986.4895,0.0058763930077309744,False
qwen3-8b,L3,384,56623104,1387.449,1386.406,1387.449,0.0007517393432119812,False
qwen3-8b,L3,512,75497472,1820.9595,1824.905,1824.905,0.0021620303522649335,False
qwen3-8b,L3,768,113246208,2719.708,2718.279,2719.708,0.0005254240528762968,False
qwen3-8b,L3,1024,150994944,3661.7195,3644.8765,3661.7195,0.004599751564804541,False
qwen3-8b,L3,1536,226492416,5500.255,5465.201,5500.255,0.006373159062625294,False
qwen3-8b,L3,2048,301989888,7340.387,7307.194,7340.387,0.004521968664594837,False
qwen3-8b,L3,3072,452984832,11150.485,11173.161,11173.161,0.0020295062426827536,False
qwen3-8b,L3,4096,603979776,14828.791,14840.835,14840.835,0.0008115446334387432,False
deepseek-v2-lite,L1,1,1990656,82.751,83.4885,83.4885,0.00883355192631317,False
deepseek-v2-lite,L1,2,3981312,139.50799999999998,139.84949999999998,139.84949999999998,0.0024419107683616775,False
deepseek-v2-lite,L1,3,5971968,204.723,204.75,204.75,0.00013186813186806746,False
deepseek-v2-lite,L1,4,7962624,257.9,256.444,257.9,0.005645599069406594,False
deepseek-v2-lite,L1,6,11943936,358.956,358.13800000000003,358.956,0.002278830831633915,False
deepseek-v2-lite,L1,8,15925248,460.16700000000003,461.95000000000005,461.95000000000005,0.003859725078471729,False
deepseek-v2-lite,L1,12,23887872,664.515,664.861,664.861,0.0005204095292098704,False
deepseek-v2-lite,L1,16,31850496,850.031,838.718,850.031,0.013308926380331999,False
deepseek-v2-lite,L1,24,47775744,1177.449,1172.4050000000002,1177.449,0.0042838373466705295,False
deepseek-v2-lite,L1,32,63700992,1541.579,1540.794,1541.579,0.000509218145810143,False
deepseek-v2-lite,L1,48,95551488,2295.5825,2277.3895,2295.5825,0.007925221594083313,False
deepseek-v2-lite,L1,64,127401984,3032.557,3067.682,3067.682,0.011450013397738098,False
deepseek-v2-lite,L2,1,1990656,79.146,79.26849999999999,79.26849999999999,0.0015453805736198878,False
deepseek-v2-lite,L2,2,3981312,135.2385,134.899,135.2385,0.0025103798104828645,False
deepseek-v2-lite,L2,3,5971968,197.48950000000002,198.799,198.799,0.0065870552668775275,False
deepseek-v2-lite,L2,4,7962624,251.1095,252.9015,252.9015,0.007085762638813932,False
deepseek-v2-lite,L2,6,11943936,352.5455,351.5525,352.5455,0.002816657708012143,False
deepseek-v2-lite,L2,8,15925248,454.642,455.1875,455.1875,0.0011984072497597234,False
deepseek-v2-lite,L2,12,23887872,662.789,658.563,662.789,0.006376086507168947,False
deepseek-v2-lite,L2,16,31850496,848.57,842.841,848.57,0.006751358167269691,False
deepseek-v2-lite,L2,24,47775744,1170.2465,1170.0505,1170.2465,0.00016748608092390167,False
