evaluation,method,bin_count,scope,samples,mape,median_ape,p95_ape,max_ape
workload_time_cv,exact,0,all,162,0.04425131816914883,0.03965901908929086,0.10762465511011433,0.15237182447630085
workload_time_cv,exact,0,prefill,108,0.043644376045829165,0.04494753218399296,0.10301323629106646,0.15237182447630085
workload_time_cv,exact,0,decode,54,0.04546520241578817,0.033024505715351475,0.1116682699325041,0.14902065396055836
workload_time_cv,center_8,8,all,162,0.2262404269480836,0.16622321359785652,0.4599524116190165,0.47009219327328305
workload_time_cv,center_8,8,prefill,108,0.314192097697049,0.3898865487577341,0.4607132430893645,0.47009219327328305
workload_time_cv,center_8,8,decode,54,0.050337085450152926,0.04011144593173528,0.14306397610335495,0.1880547915868802
workload_time_cv,mean_payload_8,8,all,162,0.046562139814900476,0.044124830358282685,0.11772731359916142,0.16329522455304518
workload_time_cv,mean_payload_8,8,prefill,108,0.043644376045829165,0.04494753218399296,0.10301323629106646,0.15237182447630085
workload_time_cv,mean_payload_8,8,decode,54,0.05239766735304308,0.04101195121608177,0.1415958239388215,0.16329522455304518
workload_time_cv,oracle_8,8,all,162,0.13171497986787595,0.09116546036416534,0.4368412717239081,0.5067267252802392
workload_time_cv,oracle_8,8,prefill,108,0.1725617785866822,0.13103478963081017,0.47262375511770377,0.5067267252802392
workload_time_cv,oracle_8,8,decode,54,0.050021382430263425,0.04061151876126344,0.13665245124428266,0.17659886396419872
workload_time_cv,center_12,12,all,162,0.11911663565730486,0.07050002996630719,0.3638701973971299,0.5069619821865482
workload_time_cv,center_12,12,prefill,108,0.1526958167953232,0.10059485599369153,0.41732484714319723,0.5069619821865482
workload_time_cv,center_12,12,decode,54,0.051958273381268134,0.041369960127359814,0.13317037340013763,0.15922912039402837
workload_time_cv,mean_payload_12,12,all,162,0.04465643710963998,0.04141170637461927,0.10789617296430445,0.15237182447630085
workload_time_cv,mean_payload_12,12,prefill,108,0.043644376045829165,0.04494753218399296,0.10301323629106646,0.15237182447630085
workload_time_cv,mean_payload_12,12,decode,54,0.04668055923726159,0.03612254833036625,0.10925574079422022,0.15189582836345314
workload_time_cv,oracle_12,12,all,162,0.1090819309960016,0.058955846907700726,0.3360367779004791,0.49859343815560003
workload_time_cv,oracle_12,12,prefill,108,0.13908952510235656,0.08734869670793569,0.4014504158784436,0.49859343815560003
workload_time_cv,oracle_12,12,decode,54,0.0490667427832917,0.03718100630361913,0.13289791659304634,0.15012633468566203
workload_time_cv,center_16,16,all,162,0.06903453884890459,0.03788880918871764,0.2310136915381199,0.28847865040820725
workload_time_cv,center_16,16,prefill,108,0.07705773734392042,0.037138466876950625,0.23703447093175475,0.28847865040820725
workload_time_cv,center_16,16,decode,54,0.05298814185887294,0.04240588202601314,0.12123390180429808,0.14591212987432156
workload_time_cv,mean_payload_16,16,all,162,0.04459346628560458,0.04090285854137919,0.10802652618210574,0.15237182447630085
workload_time_cv,mean_payload_16,16,prefill,108,0.043644376045829165,0.04494753218399296,0.10301323629106646,0.15237182447630085
workload_time_cv,mean_payload_16,16,decode,54,0.0464916467651554,0.03601892154189843,0.10934322484089799,0.1512042442031621
workload_time_cv,oracle_16,16,all,162,0.044610959273593126,0.040850512655675825,0.10865492200087691,0.15237580488461874
workload_time_cv,oracle_16,16,prefill,108,0.04233615393584553,0.043138181992952274,0.1001658263040129,0.15237580488461874
workload_time_cv,oracle_16,16,decode,54,0.049160569949088295,0.03838982099220016,0.13183829237864272,0.14780255007504006
workload_time_cv,center_24,24,all,162,0.0968990843849428,0.08144039532220718,0.22374636094023082,0.2261254292170771
workload_time_cv,center_24,24,prefill,108,0.12302979700707482,0.12308792565306324,0.2244458361757305,0.2261254292170771
workload_time_cv,center_24,24,decode,54,0.044637659140678736,0.038240299463018185,0.11162387455979125,0.16037235509388145
workload_time_cv,mean_payload_24,24,all,162,0.04425102286221113,0.03964890013583813,0.10764158948311771,0.15237182447630085
workload_time_cv,mean_payload_24,24,prefill,108,0.043644376045829165,0.04494753218399296,0.10301323629106646,0.15237182447630085
workload_time_cv,mean_payload_24,24,decode,54,0.04546431649497504,0.03302409569238812,0.11164665237781206,0.1490338447170422
workload_time_cv,oracle_24,24,all,162,0.044264387566476354,0.04059680596190084,0.10739505959390581,0.15237316900327935
workload_time_cv,oracle_24,24,prefill,108,0.04364447726909503,0.04519316412003215,0.10489960546894618,0.15237316900327935
workload_time_cv,oracle_24,24,decode,54,0.045504208161239,0.0338946935730192,0.10913524484638831,0.14883172064584635
