evaluation,method,bin_count,scope,samples,mape,median_ape,p95_ape,max_ape
binning_vs_exact_structural_cost,center,8,all,162,0.17847110767694668,0.0823862260383159,0.7397036408905353,0.8683343999797706
binning_vs_exact_structural_cost,center,8,prefill,108,0.2563764155183232,0.1183812299636928,0.7841828404334756,0.8683343999797706
binning_vs_exact_structural_cost,center,8,decode,54,0.022660491994193534,0.00597238524225613,0.08770999259039104,0.12234457672820016
binning_vs_exact_structural_cost,mean_payload,8,all,162,0.003224560232473523,0.0,0.027546820681358174,0.07419778317258904
binning_vs_exact_structural_cost,mean_payload,8,prefill,108,0.0,0.0,0.0,0.0
binning_vs_exact_structural_cost,mean_payload,8,decode,54,0.009673680697420571,8.098204898936009e-05,0.05284905927428683,0.07419778317258904
binning_vs_exact_structural_cost,oracle,8,all,162,0.11433258064002166,0.05621266161811135,0.4292800867064071,0.5888729152745998
binning_vs_exact_structural_cost,oracle,8,prefill,108,0.16108431667509912,0.07944135060943149,0.4883666245209238,0.5888729152745998
binning_vs_exact_structural_cost,oracle,8,decode,54,0.02082910856986678,0.018915178120631374,0.04988447220656608,0.08602233285771098
binning_vs_exact_structural_cost,center,12,all,162,0.10443747371279664,0.05823029238776686,0.3384661127167285,0.3858760956845538
binning_vs_exact_structural_cost,center,12,prefill,108,0.1501835051325933,0.08953304282284079,0.35324182208683474,0.3858760956845538
binning_vs_exact_structural_cost,center,12,decode,54,0.01294541087320334,0.0037429209539762303,0.047397387998853985,0.0703026481715008
binning_vs_exact_structural_cost,mean_payload,12,all,162,0.0006416337432852873,0.0,0.006996352729891612,0.014836569856435637
binning_vs_exact_structural_cost,mean_payload,12,prefill,108,0.0,0.0,0.0,0.0
binning_vs_exact_structural_cost,mean_payload,12,decode,54,0.001924901229855862,0.0,0.00964274443301274,0.014836569856435637
binning_vs_exact_structural_cost,oracle,12,all,162,0.08916738761680856,0.008653996678494421,0.37764318582783146,0.4292800867064071
binning_vs_exact_structural_cost,oracle,12,prefill,108,0.12788131667687272,0.0782583274941941,0.3933620980270984,0.4292800867064071
binning_vs_exact_structural_cost,oracle,12,decode,54,0.011739529496680313,0.004823285496666763,0.04017151846635502,0.06457343102042654
binning_vs_exact_structural_cost,center,16,all,162,0.14749457672009061,0.12665090796168046,0.34431682012100145,0.3805079918165996
binning_vs_exact_structural_cost,center,16,prefill,108,0.21282972511251438,0.23678760417006772,0.37442645881300224,0.3805079918165996
binning_vs_exact_structural_cost,center,16,decode,54,0.016824279935243,0.009536171996567047,0.05116497117873546,0.058333333333333334
binning_vs_exact_structural_cost,mean_payload,16,all,162,0.0005697515754740506,0.0,0.0027909689622182383,0.014836569856435637
binning_vs_exact_structural_cost,mean_payload,16,prefill,108,0.0,0.0,0.0,0.0
binning_vs_exact_structural_cost,mean_payload,16,decode,54,0.0017092547264221517,0.0,0.010881725647525204,0.014836569856435637
binning_vs_exact_structural_cost,oracle,16,all,162,0.005458815052122575,0.0006070254806580514,0.030036241767611348,0.06357169530328877
binning_vs_exact_structural_cost,oracle,16,prefill,108,0.0024026244707479275,0.000353857041755272,0.011838174835869538,0.042713695475480956
binning_vs_exact_structural_cost,oracle,16,decode,54,0.011571196214871873,0.004592967100498552,0.04001351355618458,0.06357169530328877
binning_vs_exact_structural_cost,center,24,all,162,0.06358626823767607,0.06753579554564337,0.14985842422374,0.16428489342599634
binning_vs_exact_structural_cost,center,24,prefill,108,0.09008720599706706,0.09449825846871471,0.15340125015038159,0.16428489342599634
binning_vs_exact_structural_cost,center,24,decode,54,0.010584392718894125,0.0012771762504689187,0.05204421592498967,0.08955227307109895
binning_vs_exact_structural_cost,mean_payload,24,all,162,7.895355899138148e-06,0.0,0.0,0.0003062985858886044
binning_vs_exact_structural_cost,mean_payload,24,prefill,108,0.0,0.0,0.0,0.0
binning_vs_exact_structural_cost,mean_payload,24,decode,54,2.3686067697414443e-05,0.0,0.0002315390374198613,0.0003062985858886044
binning_vs_exact_structural_cost,oracle,24,all,162,0.0008177458564232542,3.082307317886523e-06,0.0034004706602567096,0.018394948114837117
binning_vs_exact_structural_cost,oracle,24,prefill,108,0.0006189366798821173,0.0,0.0029498525073745206,0.005847953216374414
binning_vs_exact_structural_cost,oracle,24,decode,54,0.0012153642095055275,6.245567553914354e-06,0.004760214805610656,0.018394948114837117
