profile_id,policy,phase,check_request_count,check_total_calls,check_logical_bytes,check_calls_12bin,check_logical_bytes_12bin,check_exact_histogram
profile_14_burstgpt_3_c3,mb16,prefill,True,True,True,True,True,True
profile_14_burstgpt_3_c3,mb16,decode,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,mb16,prefill,True,True,True,True,True,True
profile_18_mooncake_conversation_c2,mb16,decode,True,True,True,True,True,True
