method,path,sha256,bytes,feature_columns,event_targets,best_epoch,best_validation_loss
structured_event_bounded_residual,checkpoints/tp_structured_event_bounded_residual.pt,8eb37dbd35242b835c5e215a206bed0d9257086470a3f03ce970ada989817f76,71177,91,62,42,0.2964911460876465
structured_event_direct_control,checkpoints/tp_structured_event_direct_control.pt,f07e9b9611cd1d3620b4cfb02ecf339090b1882a635e96b96746b72db1ac4b18,71141,91,62,245,0.21366971731185913
