slice_type,slice_value,points,max_edge_wape,graph_wape,max_edge_signed_bias,graph_signed_bias
configuration,P1D4,60,0.44061833478006607,0.19651879131354089,-0.4406183347800661,0.19636243572644438
configuration,P2D2_ALL_TO_ALL,60,0.2391345088511345,0.0759413079428474,-0.23226273978286718,-0.06614603175738357
configuration,P2D2_MATCHING,60,0.0982639570494305,0.3055722935483651,0.0982639570494306,-0.30557229354836507
configuration,P4D1,60,0.4362762090174629,0.23415307564768378,-0.4234806093496597,0.2330152833500269
configuration_topology,P1D4/L1,20,0.4389137672070598,0.208917540753492,-0.4389137672070598,0.20891754075349192
configuration_topology,P1D4/L2,20,0.4429576566347854,0.18488936545546258,-0.44295765663478553,0.1844187323111759
configuration_topology,P1D4/L3,20,0.4399984612838737,0.19565210883572726,-0.43999846128387365,0.19565210883572728
configuration_topology,P2D2_ALL_TO_ALL/L1,20,0.23864823241086744,0.07762494688234786,-0.22998096507761784,-0.058825670741890775
configuration_topology,P2D2_ALL_TO_ALL/L2,20,0.24723399251282846,0.08102765873194427,-0.24066795073463873,-0.08027567345538773
configuration_topology,P2D2_ALL_TO_ALL/L3,20,0.23143213576691563,0.06908941596833969,-0.22606991976536495,-0.05926550044908609
configuration_topology,P2D2_MATCHING/L1,20,0.10319262781649975,0.30361761371552165,0.10319262781649971,-0.30361761371552165
configuration_topology,P2D2_MATCHING/L2,20,0.09565662911090489,0.30683187009050206,0.09565662911090482,-0.30683187009050217
configuration_topology,P2D2_MATCHING/L3,20,0.09591555410695014,0.306279764931431,0.09591555410695006,-0.306279764931431
configuration_topology,P4D1/L1,20,0.4395470499662715,0.23009527453704887,-0.4296597030847422,0.2288563661726068
configuration_topology,P4D1/L2,20,0.4352551751395682,0.2315697798963536,-0.4217112758055104,0.22959413369266807
configuration_topology,P4D1/L3,20,0.4339358299647324,0.24089703386653025,-0.41890013930557074,0.24069886571444485
model,deepseek-v2-lite,120,0.36974695964278653,0.10688905574574582,-0.346694711871447,0.03587373068232574
model,qwen3-8b,120,0.14961446604481857,0.8015610693212725,-0.032142808761852014,0.3090263814670215
model_configuration,deepseek-v2-lite/P1D4,30,0.47889406321305394,0.10036020253654102,-0.4788940632130539,0.1001828068733247
model_configuration,deepseek-v2-lite/P2D2_ALL_TO_ALL,30,0.26664664638213126,0.0454929300788599,-0.26228154029968953,-0.03402971295602949
model_configuration,deepseek-v2-lite/P2D2_MATCHING,30,0.0762722199235575,0.18205480133585392,0.07627221992355752,-0.182054801335854
model_configuration,deepseek-v2-lite/P4D1,30,0.46872683697707673,0.12292528652911473,-0.46872683697707673,0.12164832224891861
model_configuration,qwen3-8b/P1D4,30,0.1561790601046449,0.9111042574903084,-0.15617906010464486,0.9111042574903084
model_configuration,qwen3-8b/P2D2_ALL_TO_ALL,30,0.07756464775397189,0.25475475624637334,-0.05597205992049746,-0.25475475624637334
model_configuration,qwen3-8b/P2D2_MATCHING,30,0.20572404982501902,0.9091263055208313,0.205724049825019,-0.9091263055208313
model_configuration,qwen3-8b/P4D1,30,0.17097802275252882,1.143489275617052,-0.053572756108012994,1.1434892756170523
overall,all,240,0.34121534892521355,0.1969262471834046,-0.3059252993085508,0.07127734135006945
topology,L1,80,0.34276258223865064,0.1997839607433384,-0.3065934660573148,0.07663571353549122
topology,L2,80,0.3428229070259714,0.19354326294816498,-0.3082125985131809,0.06257733375783919
topology,L3,80,0.3380396919119219,0.19741422151109272,-0.30296051112406364,0.07454950484746806
