model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,graph_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,graph_absolute_error_us,graph_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v00,1|1|1|1,4,589824,85.2085|85.2085|85.2085|85.2085,85.2085,340.834,340.834,190.68005758285858,83.0775,108.126,22.917500000000004,82.55405758285858,82.55405758285858,0.004934058413332627
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v01,2|2|2|2,4,1179648,95.2945|95.2945|95.2945|95.2945,95.2945,381.178,381.178,226.2511916272917,80.789,113.46549999999999,18.170999999999992,112.7856916272917,112.7856916272917,0.013162591272236913
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v02,4|4|4|4,4,2359296,98.729|98.729|98.729|98.729,98.729,394.916,394.916,238.36392808134738,84.1265,114.31700000000001,15.588000000000008,124.04692808134737,124.04692808134737,0.01337508856950419
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v03,8|8|8|8,4,4718592,109.7725|109.7725|109.7725|109.7725,109.77250000000001,439.09000000000003,439.09000000000003,277.3119569153448,92.46549999999999,115.44300000000001,5.670500000000004,161.8689569153448,161.8689569153448,0.016328404493992872
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v04,16|16|16|16,4,9437184,132.832|132.832|132.832|132.832,132.832,531.328,531.328,358.63781111895435,113.7675,202.16750000000002,69.33550000000002,156.47031111895433,156.47031111895433,6.677631172182386e-05
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v05,1|2|4|8,4,2211840,85.2085|95.2945|98.729|109.7725,109.77250000000001,389.0045,389.0045,234.73419549989546,89.6475,115.804,6.031499999999994,118.93019549989546,118.93019549989546,0.026259887395944845
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v06,1|1|8|8,4,2654208,85.2085|85.2085|109.7725|109.7725,109.77250000000001,389.962,389.962,235.5481677384733,92.28399999999999,115.297,5.524499999999989,120.2511677384733,120.2511677384733,0.019180898028569704
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v07,2|4|8|16,4,4423680,95.2945|98.729|109.7725|132.832,132.832,436.628,436.62800000000004,278.1331938935488,112.5395,159.434,26.602000000000004,118.69919389354882,118.69919389354882,0.0006805323833058963
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v08,1|4|4|16,4,3686400,85.2085|98.729|98.729|132.832,132.832,415.4985,415.4985,260.1709730945603,111.387,158.809,25.977000000000004,101.36197309456028,101.36197309456028,0.0011208432771442254
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v09,2|2|2|16,4,3244032,95.2945|95.2945|95.2945|132.832,132.832,418.7155,418.7155,262.9057497958711,111.503,159.4875,26.655500000000018,103.41824979587108,103.41824979587108,0.004382788619797866
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v00,1|1|1|1,4,589824,94.6865|94.6865|94.6865|94.6865,94.6865,378.746,378.746,224.10690752070678,80.098,83.31899999999999,11.367500000000007,140.7879075207068,140.7879075207068,0.0835523710078132
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v01,2|2|2|2,4,1179648,98.975|98.975|98.975|98.975,98.975,395.9,395.9,239.23151671657743,79.624,85.83,13.144999999999996,153.40151671657742,153.40151671657742,0.031620645461959675
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v02,4|4|4|4,4,2359296,102.9795|102.9795|102.9795|102.9795,102.9795,411.918,411.918,253.35451952055655,83.78999999999999,99.22149999999999,3.7580000000000098,154.13301952055656,154.13301952055656,0.005089622712819253
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v03,8|8|8|8,4,4718592,112.3035|112.3035|112.3035|112.3035,112.3035,449.214,449.214,286.23824486561847,90.1865,142.452,30.1485,143.78624486561847,143.78624486561847,0.0006739112121978185
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v04,16|16|16|16,4,9437184,135.1405|135.1405|135.1405|135.1405,135.1405,540.562,540.562,366.779389836144,113.7255,241.8315,106.691,124.94788983614399,124.94788983614399,0.0009469403282863687
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v05,1|2|4|8,4,2211840,94.6865|98.975|102.9795|112.3035,112.3035,408.9445,408.94449999999995,252.00508031061872,88.2915,101.8655,10.438000000000002,150.13958031061873,150.13958031061873,0.06222420741075252
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v06,1|1|8|8,4,2654208,94.6865|94.6865|112.3035|112.3035,112.3035,413.98,413.97999999999996,256.2857666890615,88.5155,108.8535,3.450000000000003,147.43226668906152,147.43226668906152,0.004786249408608695
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v07,2|4|8|16,4,4423680,98.975|102.9795|112.3035|135.1405,135.1405,449.3985,449.3985,289.28115675875995,110.539,143.51749999999998,8.376999999999981,145.76365675875996,145.76365675875996,0.0037800268259965608
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v08,1|4|4|16,4,3686400,94.6865|102.9795|102.9795|135.1405,135.1405,435.786,435.78599999999994,277.70914934607947,111.314,131.5115,3.6289999999999907,146.19764934607946,146.19764934607946,0.042467768978378374
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v09,2|2|2|16,4,3244032,98.975|98.975|98.975|135.1405,135.1405,432.0655,432.06549999999993,274.5463465120022,110.28200000000001,120.2235,14.917000000000002,154.32284651200217,154.32284651200217,0.028983518197357398
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v00,1|1|1|1,4,589824,83.1415|83.1415|83.1415|83.1415,83.14150000000001,332.56600000000003,332.56600000000003,183.3901969770839,82.8455,84.499,1.3574999999999875,98.8911969770839,98.8911969770839,0.03172818613238024
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v01,2|2|2|2,4,1179648,93.5185|93.5185|93.5185|93.5185,93.51849999999999,374.07399999999996,374.07399999999996,219.98762489489891,80.39699999999999,85.5355,7.98299999999999,134.45212489489893,134.45212489489893,0.033728685750361025
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v02,4|4|4|4,4,2359296,96.791|96.791|96.791|96.791,96.791,387.164,387.164,231.529022491608,82.9175,94.35499999999999,2.436000000000007,137.174022491608,137.174022491608,0.08387472841926753
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v03,8|8|8|8,4,4718592,107.497|107.497|107.497|107.497,107.497,429.988,429.988,269.28676203946657,93.8095,129.2595,21.762500000000003,140.02726203946656,140.02726203946656,0.07064471083363313
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v04,16|16|16|16,4,9437184,130.2485|130.2485|130.2485|130.2485,130.2485,520.994,520.994,349.52636705750353,116.6225,234.851,104.60249999999999,114.67536705750354,114.67536705750354,0.022258793873562353
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v05,1|2|4|8,4,2211840,83.1415|93.5185|96.791|107.497,107.497,380.948,380.94800000000004,227.5977817994044,93.0545,93.669,13.828000000000003,133.92878179940442,133.92878179940442,0.04128366909009389
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v06,1|1|8|8,4,2654208,83.1415|83.1415|107.497|107.497,107.497,381.27700000000004,381.27700000000004,227.87746521088445,92.60499999999999,95.413,12.084000000000003,132.46446521088444,132.46446521088444,0.024488277278777386
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v07,2|4|8|16,4,4423680,93.5185|96.791|107.497|130.2485,130.2485,428.055,428.05499999999995,270.5187786698375,115.98400000000001,119.7165,10.53200000000001,150.8022786698375,150.8022786698375,0.005801205347633708
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v08,1|4|4|16,4,3686400,83.1415|96.791|96.791|130.2485,130.2485,406.972,406.972,252.5960875931403,107.09049999999999,120.8905,9.358000000000004,131.7055875931403,131.7055875931403,0.04340705018177609
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v09,2|2|2|16,4,3244032,93.5185|93.5185|93.5185|130.2485,130.2485,410.804,410.804,255.85367675056116,106.56049999999999,117.09800000000001,13.150499999999994,138.75567675056115,138.75567675056115,0.08462996806094049
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v00,1|1|1|1,4,589824,85.2085|85.2085|85.2085|85.2085,85.2085,340.834,340.834,190.68005758285858,83.72,85.976,0.7674999999999983,104.70405758285858,104.70405758285858,0.007467200148878709
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v01,2|2|2|2,4,1179648,95.2945|95.2945|95.2945|95.2945,95.2945,381.178,381.178,226.2511916272917,82.421,86.1,9.194500000000005,140.1511916272917,140.1511916272917,0.012694541231126474
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v02,4|4|4|4,4,2359296,98.729|98.729|98.729|98.729,98.729,394.916,394.916,238.36392808134738,83.84899999999999,95.17150000000001,3.5574999999999903,143.19242808134737,143.19242808134737,0.0034569172493867147
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v03,8|8|8|8,4,4718592,109.7725|109.7725|109.7725|109.7725,109.77250000000001,439.09000000000003,439.09000000000003,277.3119569153448,92.685,130.1405,20.367999999999995,147.1714569153448,147.1714569153448,0.002247570894533137
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v04,16|16|16|16,4,9437184,132.832|132.832|132.832|132.832,132.832,531.328,531.328,358.63781111895435,118.539,232.7225,99.8905,125.91531111895435,125.91531111895435,0.03166646972252356
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v05,1|2|4|8,4,2211840,85.2085|95.2945|98.729|109.7725,109.77250000000001,389.0045,389.0045,234.73419549989546,92.5415,93.5445,16.22800000000001,141.18969549989546,141.18969549989546,0.009455392887876921
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v06,1|1|8|8,4,2654208,85.2085|85.2085|109.7725|109.7725,109.77250000000001,389.962,389.962,235.5481677384733,90.8385,96.689,13.083500000000015,138.8591677384733,138.8591677384733,0.012354042341941741
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v07,2|4|8|16,4,4423680,95.2945|98.729|109.7725|132.832,132.832,436.628,436.62800000000004,278.1331938935488,113.756,130.6255,2.2065000000000055,147.50769389354883,147.50769389354883,0.07033083126954526
